"Ticker"	"Sector"	"Nombre"	"%Var"	"bars"	"Último"	"Volumen"	"Spread"	"Inserción"	"Anterior"	"Apertura"
"TLRY"	"Health Care"	"TILRAY BRANDS INC."	"-1,03%"	"75"	"0,4424(c)"	"14,7M"	""	"19:46:32"	"0,4470"	"0,4400"
"GOSS"	"Health Care"	"GOSSAMER BIO INC."	"+3,45%"	"75"	"1,20(c)"	"1.931k"	""	"19:46:32"	"1,16"	"1,16"
"ULCC"	"Industrials"	"FRONTIER GROUP HLD."	"-2,13%"	"73"	"3,67(c)"	"1.870k"	""	"19:46:32"	"3,75"	"3,75"
"LCID"	"Consumer Discret."	"LUCID GROUP INC."	"-3,76%"	"69"	"2,56(c)"	"86,6M"	""	"19:46:32"	"2,66"	"2,67"
"GRAB"	"Industrials"	"GRAB HOLDINGS LTD."	"-0,20%"	"67"	"4,95(c)"	"12,7M"	""	"19:46:32"	"4,96"	"4,99"
"BYND"	"Consumer Staples"	"BEYOND MEAT INC."	"-2,73%"	"67"	"2,85(c)"	"1.576k"	""	"19:46:32"	"2,93"	"2,91"
"UNIT"	"Real Estate"	"UNITI GROUP INC."	"-4,55%"	"65"	"4,20(c)"	"2.993k"	""	"19:46:32"	"4,40"	"4,55"
"LESL"	"Consumer Discret."	"LESLIE S INC."	"+4,55%"	"63"	"0,8620(c)"	"4.538k"	""	"19:46:32"	"0,8245"	"0,8403"
"GERN"	"Health Care"	"GERON CORP."	"-2,03%"	"61"	"1,45(c)"	"11,9M"	""	"19:46:32"	"1,48"	"1,48"

