"Ticker"	"Nombre"	"%Var"	"Var"	"Último"	"Inserción"	"Volumen"	"Comentar"
"IREN"	"IREN LTD."	"+7,32%"	"+3,44"	"50,46(c)"	"14:39:36"	"40,8M"	""
"INKT"	"MINK THERAPEUTICS INC."	"-2,85%"	"-0,44"	"15,02(c)"	"14:39:37"	"31.421"	""
"ETHZ"	"ETHZILLA CORP."	"-1,94%"	"-0,05"	"2,53(c)"	"14:39:37"	"8.556k"	""
"ONDS"	"ONDAS HOLDINGS INC."	"+7,60%"	"+0,70"	"9,91(c)"	"14:39:36"	"72,9M"	""
"ARQ"	"ARQ INC."	"-0,99%"	"-0,07"	"7,00(c)"	"14:39:36"	"201.998"	""
"ABCL"	"ABCELLERA BIOLOGICS INC."	"-1,34%"	"-0,08"	"5,90(c)"	"14:39:16"	"9.112k"	""
"IMRX"	"IMMUNEERING CORP."	"-7,35%"	"-0,48"	"6,05(c)"	"14:39:37"	"3.545k"	""
"BGLC"	"BIONEXUS GENE LAB CORP"	"-1,31%"	"-0,07"	"5,29(c)"	"14:39:16"	"17.621"	"-44'97  (la anterior vela demasiado grande)"
"USAR"	"USA RARE EARTH INC."	"+14,31%"	"+3,25"	"25,96(c)"	"14:39:37"	"41,5M"	""
"AMPG"	"AMPLITECH GROUP INC."	"-3,36%"	"-0,15"	"4,32(c)"	"14:39:36"	"1.126k"	""
"CRGO"	"FREIGHTOS LTD."	"-5,16%"	"-0,19"	"3,49(c)"	"14:39:37"	"125.484"	""
"SWIN"	"SOLOWIN HLD."	"+7,34%"	"+0,19"	"2,78(c)"	"14:39:37"	"985.156"	""
"METCB"	"RAMACO RESOURCES INC."	"+2,95%"	"+0,50"	"17,47(c)"	"14:39:36"	"91.108"	""
"OPEN"	"OPENDOOR TECHNOLOGIES INC"	"+1,25%"	"+0,10"	"8,11(c)"	"14:39:37"	"240M"	""
"HSAI"	"HESAI GROUP ADS"	"-0,98%"	"-0,27"	"27,35(c)"	"14:39:37"	"1.767k"	""
"MNY"	"MONEYHERO LTD."	"-4,58%"	"-0,07"	"1,46(c)"	"14:39:37"	"292.769"	""
"SWAG"	"STRAN & COMPANY INC."	"+1,74%"	"+0,03"	"1,75(c)"	"14:39:37"	"24.105"	""
"SLDP"	"SOLID POWER INC."	"+11,34%"	"+0,44"	"4,32(c)"	"14:39:37"	"17,7M"	""
"NB"	"NIOCORP DEVELOPMENTS"	"+17,46%"	"+1,18"	"7,94(c)"	"14:39:37"	"16,5M"	"+37'48"
"AEHR"	"AEHR TEST SYSTEMS"	"-3,81%"	"-1,23"	"31,02(c)"	"14:39:37"	"1.561k"	""
"MBOT"	"MICROBOT MEDICAL INC."	"-3,15%"	"-0,10"	"3,07(c)"	"14:39:36"	"3.509k"	""
"PGEN"	"PRECIGEN INC."	"-2,40%"	"-0,08"	"3,25(c)"	"14:39:34"	"3.743k"	""
"OSS"	"ONE STOP SYSTEMS INC."	"+3,87%"	"+0,21"	"5,64(c)"	"14:39:37"	"882.965"	""
"INVZ"	"INNOVIZ TECHNOLOGIES"	"+8,96%"	"+0,19"	"2,31(c)"	"14:39:36"	"21,3M"	""
"COEP"	"COEPTIS THERAPEUTICS HLD."	"+2,29%"	"+0,38"	"17,00(c)"	"14:39:36"	"48.141"	""
"TOYO"	"TOYO CO. LTD"	"+2,00%"	"+0,12"	"6,11(c)"	"14:39:36"	"105.423"	""
"WIMI"	"WIMI HOLOGRAM CLOUD INC."	"+0,21%"	"+0,01"	"4,70(c)"	"14:39:37"	"472.117"	""
"SBLX"	"STABLEX TECHNOLOGIES INC."	"-2,44%"	"-0,14"	"5,59(c)"	"14:39:36"	"114.567"	""
"BNR"	"BURNING ROCK BIOTECH"	"+0,11%"	"+0,01"	"9,02(c)"	"14:39:36"	"6.607"	""
"WULF"	"TERAWULF INC."	"+2,94%"	"+0,34"	"11,92(c)"	"14:39:36"	"37M"	""
"SUIG"	"SUI GROUP HOLDINGS"	"+3,94%"	"+0,17"	"4,49(c)"	"14:39:36"	"2.052k"	""
"FFAI"	"FARADAY FUTURE INTELLIGENT ELECTRIC"	"+9,22%"	"+0,13"	"1,54(c)"	"14:39:37"	"13,5M"	"n"
