"Ticker"	"Nombre"	"%Var"	"Var"	"Último"	"Inserción"	"Volumen"	"Comentar"
"ATON"	"ALPHATON CAPITAL"	"-3,36%"	"-0,20"	"5,75(c)"	"21:32:58"	"33.090"	""
"AHCO"	"ADAPTHEALTH CORP."	"-3,71%"	"-0,35"	"9,09(c)"	"21:32:58"	"1.374k"	""
"OFIX"	"ORTHOFIX MEDICAL INC."	"+2,81%"	"+0,40"	"14,61(c)"	"21:32:58"	"191.254"	""
"BBCP"	"CONCRETE PUMPING HLD."	"+0,00%"	"+0,00"	"7,06(c)"	"21:32:58"	"51.465"	""
"SSRM"	"SSR MINING INC."	"-0,64%"	"-0,15"	"23,35(c)"	"21:32:58"	"2.580k"	""
"PNBK"	"PATRIOT NATIONAL BANCORP INC."	"+0,76%"	"+0,01"	"1,33(c)"	"21:32:58"	"148.134"	""
"BAER"	"BRIDGER AEROSPACE GROUP HLD."	"-3,78%"	"-0,07"	"1,78(c)"	"21:32:58"	"186.380"	""
"ALXO"	"ALX ONCOLOGY HLD."	"+14,14%"	"+0,27"	"2,18(c)"	"21:32:58"	"1.073k"	""
"FTLF"	"FITLIFE BRANDS INC."	"+2,13%"	"+0,42"	"20,15(c)"	"21:32:58"	"3.555"	""
"SFWL"	"SHENGFENG DEVELOPMENT"	"+0,00%"	"+0,00"	"1,00(c)"	"21:32:58"	"21.195"	""
"ALTI"	"ALTI GLOBAL INC."	"+5,78%"	"+0,20"	"3,66(c)"	"21:32:58"	"218.026"	""
"GV"	"VISIONARY HOLDINGS INC."	"-1,42%"	"-0,03"	"2,09(c)"	"21:32:58"	"120.860"	""
"INLF"	"INLIF LTD."	"+0,82%"	"+0,0060"	"0,7385(c)"	"21:32:58"	"278.868"	""
"FLYW"	"FLYWIRE CORP."	"-0,29%"	"-0,04"	"13,55(c)"	"21:32:58"	"1.154k"	""

