symbol,date,open,high,low,close,volume,adjclose,splits
CBIO,2025-01-02,25.0,29.0,24.0,26.0,5515,26.0,0.0
CBIO,2025-01-03,26.0,30.0,26.0,28.0,6025,28.0,0.0
CBIO,2025-01-06,29.0,30.0,28.0,28.0,5118,28.0,0.0
CBIO,2025-01-07,29.0,30.0,28.0,28.0,4364,28.0,0.0
CBIO,2025-01-08,27.0,30.0,26.0,28.0,5471,28.0,0.0
CBIO,2025-01-10,26.0,27.0,26.0,27.0,1567,27.0,0.0
CBIO,2025-01-13,26.0,26.0,24.0,25.0,2490,25.0,0.0
CBIO,2025-01-14,25.0,26.0,24.0,25.0,1056,25.0,0.0
CBIO,2025-01-15,25.0,26.0,24.0,25.0,1816,25.0,0.0
CBIO,2025-01-16,25.0,26.0,25.0,25.0,1449,25.0,0.0
CBIO,2025-01-17,25.0,28.0,25.0,26.0,2256,26.0,0.0
CBIO,2025-01-21,27.0,27.0,25.0,26.0,1382,26.0,0.0
CBIO,2025-01-22,26.0,27.0,26.0,26.0,1882,26.0,0.0
CBIO,2025-01-23,25.0,27.0,25.0,27.0,1287,27.0,0.0
CBIO,2025-01-24,27.0,27.0,26.0,27.0,2384,27.0,0.0
CBIO,2025-01-27,27.0,27.0,25.0,26.0,1997,26.0,0.0
CBIO,2025-01-28,26.0,27.0,25.0,25.0,840,25.0,0.0
CBIO,2025-01-29,25.0,26.0,24.0,25.0,1778,25.0,0.0
CBIO,2025-01-30,25.0,29.0,25.0,29.0,10944,29.0,0.0
CBIO,2025-01-31,30.0,30.0,26.0,27.0,3592,27.0,0.0
CBIO,2025-02-03,24.0,27.0,23.0,26.0,2423,26.0,0.0
CBIO,2025-02-04,26.0,27.0,26.0,27.0,2707,27.0,0.0
CBIO,2025-02-05,26.0,29.0,26.0,28.0,2685,28.0,0.0
CBIO,2025-02-06,29.0,29.0,26.0,27.0,1996,27.0,0.0
CBIO,2025-02-07,27.0,27.0,26.0,27.0,2483,27.0,0.0
CBIO,2025-02-10,27.0,28.0,26.0,26.0,1431,26.0,0.0
CBIO,2025-02-11,25.0,28.0,25.0,28.0,3263,28.0,0.0
CBIO,2025-02-12,27.0,28.0,26.0,26.0,1250,26.0,0.0
CBIO,2025-02-13,25.0,29.0,25.0,28.0,7302,28.0,0.0
CBIO,2025-02-14,29.0,30.0,26.0,29.0,131356,29.0,0.0
CBIO,2025-02-18,35.0,37.0,31.0,36.0,470125,36.0,0.0
CBIO,2025-02-19,32.0,33.0,29.0,31.0,42607,31.0,0.0
CBIO,2025-02-20,28.0,31.0,25.0,30.0,22999,30.0,0.0
CBIO,2025-02-21,28.0,31.0,28.0,29.0,11198,29.0,0.0
CBIO,2025-02-24,28.0,29.0,28.0,28.0,10308,28.0,0.0
CBIO,2025-02-25,27.0,28.0,27.0,27.0,5671,27.0,0.0
CBIO,2025-02-26,26.0,29.0,26.0,28.0,3755,28.0,0.0
CBIO,2025-02-27,28.0,29.0,25.0,26.0,4699,26.0,0.0
CBIO,2025-02-28,25.0,28.0,25.0,27.0,4428,27.0,0.0
CBIO,2025-03-03,26.0,27.0,26.0,26.0,3984,26.0,0.0
CBIO,2025-03-04,26.0,26.0,24.0,25.0,3117,25.0,0.0
CBIO,2025-03-05,25.0,27.0,24.0,27.0,1600,27.0,0.0
CBIO,2025-03-06,27.0,27.0,25.0,27.0,3836,27.0,0.0
CBIO,2025-03-07,26.0,28.0,25.0,27.0,1503,27.0,0.0
CBIO,2025-03-10,27.0,27.0,26.0,26.0,1709,26.0,0.0
CBIO,2025-03-11,26.0,27.0,25.0,26.0,1598,26.0,0.0
CBIO,2025-03-12,26.0,26.0,24.0,26.0,2766,26.0,0.0
CBIO,2025-03-13,25.0,27.0,25.0,26.0,2381,26.0,0.0
CBIO,2025-03-14,27.0,27.0,26.0,26.0,1721,26.0,0.0
CBIO,2025-03-17,26.0,28.0,26.0,27.0,2302,27.0,0.0
CBIO,2025-03-18,26.0,28.0,26.0,27.0,1537,27.0,0.0
CBIO,2025-03-19,28.0,28.0,27.0,28.0,1975,28.0,0.0
CBIO,2025-03-20,28.0,28.0,27.0,27.0,1727,27.0,0.0
CBIO,2025-03-21,28.0,28.0,26.0,27.0,6050,27.0,0.0
CBIO,2025-03-24,26.0,27.0,26.0,26.0,2068,26.0,0.0
CBIO,2025-03-25,26.0,27.0,25.0,26.0,1065,26.0,0.0
CBIO,2025-03-26,26.0,26.0,24.0,24.0,1908,24.0,0.0
CBIO,2025-03-27,24.0,25.0,24.0,24.0,840,24.0,0.0
CBIO,2025-03-28,25.0,25.0,22.0,22.0,4892,22.0,0.0
CBIO,2025-03-31,22.0,22.0,21.0,21.0,2021,21.0,0.0
CBIO,2025-04-01,21.0,21.0,20.0,20.0,2294,20.0,0.0
CBIO,2025-04-02,20.0,22.0,19.0,21.0,2351,21.0,0.0
CBIO,2025-04-03,21.0,21.0,18.0,19.0,2622,19.0,0.0
CBIO,2025-04-04,18.0,20.0,18.0,18.0,8835,18.0,0.0
CBIO,2025-04-07,18.0,18.0,17.0,18.0,5005,18.0,0.0
CBIO,2025-04-08,19.0,20.0,18.0,18.0,3981,18.0,0.0
