Date,Open,High,Low,Close,Volume
2025-02-28 10:05:00,1.98,1.98,1.98,1.98,100
2025-02-28 10:44:00,1.99,1.99,1.99,1.99,140
2025-02-28 11:16:00,1.97,1.97,1.97,1.97,300
2025-02-28 12:11:00,1.96,1.97,1.96,1.96,551
2025-02-28 12:14:00,1.95,1.95,1.92,1.92,620
2025-02-28 12:15:00,1.85,1.85,1.76,1.76,4000
2025-02-28 12:16:00,1.77,1.84,1.75,1.75,2242
2025-02-28 12:17:00,1.75,1.75,1.74,1.74,200
2025-02-28 12:18:00,1.7,1.73,1.7,1.7,1408
2025-02-28 12:19:00,1.73,1.74,1.5,1.5,6132
2025-02-28 12:20:00,1.49,1.49,1.49,1.49,378
2025-02-28 12:21:00,1.44,1.45,1.44,1.44,1123
2025-02-28 12:22:00,1.43,1.45,1.4,1.4,3913
2025-02-28 12:23:00,1.26,1.38,1.26,1.38,2442
2025-02-28 12:24:00,1.37,1.37,1.35,1.35,1911
2025-02-28 12:25:00,1.37,1.37,1.35,1.35,1988
2025-02-28 12:26:00,1.37,1.37,1.37,1.37,2119
2025-02-28 12:27:00,1.37,1.37,1.37,1.37,2015
2025-02-28 12:28:00,1.35,1.37,1.35,1.37,450
2025-02-28 12:29:00,1.37,1.37,1.37,1.37,1086
2025-02-28 12:30:00,1.36,1.37,1.36,1.37,857
2025-02-28 12:31:00,1.35,1.35,1.35,1.35,879
2025-02-28 12:32:00,1.35,1.35,1.33,1.33,1836
2025-02-28 12:33:00,1.31,1.31,1.29,1.29,1267
2025-02-28 12:34:00,1.31,1.31,1.25,1.25,1884
2025-02-28 12:35:00,1.26,1.26,1.23,1.23,1651
2025-02-28 12:36:00,1.23,1.24,1.22,1.24,1746
2025-02-28 12:37:00,1.26,1.26,1.26,1.26,459
2025-02-28 12:38:00,1.26,1.26,1.26,1.26,1954
2025-02-28 12:39:00,1.26,1.26,1.26,1.26,3126
2025-02-28 12:40:00,1.25,1.25,1.25,1.25,192
2025-02-28 12:41:00,1.26,1.26,1.26,1.26,1818
2025-02-28 12:42:00,1.26,1.28,1.24,1.25,7404
2025-02-28 12:43:00,1.26,1.26,1.26,1.26,512
2025-02-28 12:44:00,1.26,1.26,1.25,1.25,1238
2025-02-28 12:45:00,1.25,1.25,1.25,1.25,2152
2025-02-28 12:46:00,1.25,1.25,1.25,1.25,4759
2025-02-28 12:47:00,1.25,1.25,1.25,1.25,604
2025-02-28 12:49:00,1.25,1.25,1.25,1.25,130
2025-02-28 12:50:00,1.25,1.26,1.25,1.25,2582
2025-02-28 12:51:00,1.25,1.25,1.25,1.25,1405
2025-02-28 12:52:00,1.26,1.26,1.26,1.26,500
2025-02-28 12:53:00,1.26,1.26,1.25,1.25,7633
2025-02-28 12:54:00,1.25,1.25,1.25,1.25,2120
2025-02-28 12:55:00,1.25,1.29,1.25,1.25,733
2025-02-28 12:56:00,1.25,1.25,1.25,1.25,422
2025-02-28 12:57:00,1.25,1.26,1.25,1.25,3201
2025-02-28 12:58:00,1.25,1.25,1.24,1.25,1940
2025-02-28 13:00:00,1.25,1.26,1.24,1.24,4303
2025-02-28 13:01:00,1.24,1.24,1.23,1.23,2416
2025-02-28 13:02:00,1.24,1.24,1.23,1.23,3458
2025-02-28 13:03:00,1.22,1.22,1.19,1.19,8002
2025-02-28 13:04:00,1.19,1.2,1.19,1.2,1335
2025-02-28 13:05:00,1.2,1.2,1.2,1.2,3938
2025-02-28 13:06:00,1.19,1.19,1.19,1.19,1369
2025-02-28 13:07:00,1.18,1.19,1.18,1.19,2409
2025-02-28 13:08:00,1.18,1.18,1.13,1.13,6024
2025-02-28 13:09:00,1.12,1.12,1.03,1.04,20654
2025-02-28 13:10:00,1.03,1.04,1.0,1.02,13204
2025-02-28 13:11:00,1.01,1.03,1.0,1.0,14936
2025-02-28 13:12:00,1.02,1.02,1.0,1.0,5100
2025-02-28 13:13:00,1.0,1.02,1.0,1.0,3403
2025-02-28 13:14:00,1.0,1.01,1.0,1.01,5562
2025-02-28 13:15:00,1.01,1.02,1.0,1.0,11049
2025-02-28 13:16:00,1.0,1.03,1.0,1.03,16749
2025-02-28 13:17:00,1.03,1.03,1.02,1.03,14898
2025-02-28 13:18:00,1.03,1.03,1.02,1.02,10015
2025-02-28 13:19:00,1.02,1.02,1.02,1.02,15850
2025-02-28 13:20:00,1.02,1.02,1.01,1.01,1513
