Date,Open,High,Low,Close,Volume
2025-02-28 13:15:00,8.9,8.9,8.9,8.9,213
2025-02-28 14:00:00,7.16,7.16,7.16,7.16,432
2025-02-28 14:01:00,7.16,7.16,7.16,7.16,461
2025-02-28 14:21:00,7.02,7.02,7.02,7.02,100
2025-02-28 15:28:00,7.02,7.02,7.02,7.02,136
2025-02-28 15:30:00,7.03,7.03,7.02,7.02,544
2025-02-28 15:33:00,6.8,6.8,6.8,6.8,160
2025-02-28 15:35:00,6.82,6.82,6.82,6.82,140
2025-02-28 15:37:00,6.73,6.73,6.73,6.73,210
2025-02-28 15:38:00,6.77,6.8,6.61,6.8,1018
2025-02-28 15:44:00,6.97,6.97,6.97,6.97,144
2025-02-28 15:48:00,6.97,6.97,6.97,6.97,502
2025-02-28 17:26:00,6.64,6.64,6.64,6.64,144
2025-02-28 17:29:00,6.64,6.64,6.64,6.64,501
2025-02-28 17:55:00,6.82,6.82,6.82,6.82,118
2025-02-28 17:56:00,6.94,6.94,6.94,6.94,100
2025-02-28 18:38:00,6.8,6.8,6.8,6.8,200
2025-02-28 18:57:00,6.61,6.61,6.61,6.61,100
2025-02-28 20:17:00,6.5,6.94,6.5,6.94,705
