Date,Open,High,Low,Close,Volume
2025-02-28 15:34:00,6.21,6.21,6.21,6.21,1000
2025-02-28 15:35:00,6.5,6.5,6.5,6.5,502
2025-02-28 15:36:00,6.6,6.6,6.6,6.6,1233
2025-02-28 15:43:00,6.65,6.66,6.65,6.66,1243
2025-02-28 15:49:00,6.77,6.77,6.66,6.66,364
2025-02-28 15:54:00,6.66,6.66,6.66,6.66,100
2025-02-28 15:59:00,6.66,6.66,6.66,6.66,100
2025-02-28 16:00:00,6.66,6.66,6.66,6.66,130
2025-02-28 16:05:00,6.5,6.5,6.5,6.5,100
2025-02-28 16:54:00,6.5,6.5,6.5,6.5,100
2025-02-28 17:11:00,6.6,6.6,6.6,6.6,1000
2025-02-28 17:20:00,6.5,6.5,6.5,6.5,100
2025-02-28 17:24:00,6.63,6.63,6.59,6.59,427
2025-02-28 17:30:00,6.59,6.59,6.59,6.59,300
2025-02-28 17:33:00,6.59,6.59,6.59,6.59,300
2025-02-28 17:37:00,6.59,6.59,6.59,6.59,388
2025-02-28 17:40:00,6.64,6.64,6.64,6.64,212
2025-02-28 17:44:00,6.68,6.68,6.67,6.67,300
2025-02-28 17:45:00,6.68,6.68,6.68,6.68,1566
2025-02-28 17:48:00,6.7,6.7,6.7,6.7,1201
2025-02-28 17:59:00,6.7,6.7,6.7,6.7,165
2025-02-28 18:05:00,6.7,6.7,6.7,6.7,200
2025-02-28 18:10:00,6.79,6.79,6.79,6.79,1500
2025-02-28 18:22:00,6.88,6.88,6.85,6.85,1787
2025-02-28 18:23:00,6.85,6.92,6.85,6.86,1716
2025-02-28 18:24:00,6.85,6.85,6.85,6.85,103
2025-02-28 18:27:00,6.85,6.85,6.85,6.85,102
2025-02-28 18:29:00,6.85,6.85,6.85,6.85,101
2025-02-28 18:34:00,6.85,6.85,6.85,6.85,150
2025-02-28 18:39:00,7.12,7.12,7.12,7.12,101
2025-02-28 18:46:00,6.85,6.85,6.85,6.85,195
2025-02-28 18:49:00,6.85,6.85,6.85,6.85,241
2025-02-28 19:05:00,6.85,6.85,6.81,6.81,665
2025-02-28 19:06:00,6.82,6.82,6.82,6.82,298
2025-02-28 19:11:00,6.76,6.76,6.76,6.76,135
2025-02-28 19:14:00,6.84,6.84,6.84,6.84,363
2025-02-28 19:15:00,6.76,6.76,6.76,6.76,357
