Date,Open,High,Low,Close,Volume
2025-02-28 15:30:00,3.41,3.45,3.41,3.45,13301
2025-02-28 15:31:00,3.42,3.46,3.42,3.46,550
2025-02-28 15:33:00,3.42,3.47,3.42,3.47,655
2025-02-28 15:35:00,3.47,3.47,3.47,3.47,300
2025-02-28 15:52:00,3.45,3.45,3.45,3.45,250
2025-02-28 15:58:00,3.42,3.42,3.36,3.36,3513
2025-02-28 16:16:00,3.4,3.4,3.4,3.4,160
2025-02-28 16:24:00,3.42,3.42,3.42,3.42,159
2025-02-28 16:29:00,3.43,3.43,3.43,3.43,140
2025-02-28 16:31:00,3.45,3.45,3.45,3.45,208
2025-02-28 16:33:00,3.4,3.4,3.4,3.4,300
2025-02-28 16:40:00,3.49,3.49,3.49,3.49,395
2025-02-28 16:42:00,3.43,3.43,3.43,3.43,502
2025-02-28 16:49:00,3.46,3.46,3.46,3.46,1000
2025-02-28 16:56:00,3.47,3.47,3.47,3.47,320
2025-02-28 17:37:00,3.44,3.44,3.44,3.44,250
2025-02-28 17:43:00,3.44,3.44,3.44,3.44,300
2025-02-28 17:53:00,3.44,3.44,3.44,3.44,213
2025-02-28 18:02:00,3.44,3.44,3.44,3.44,100
2025-02-28 18:03:00,3.43,3.43,3.43,3.43,103
2025-02-28 18:09:00,3.43,3.43,3.42,3.43,733
2025-02-28 18:25:00,3.45,3.45,3.45,3.45,101
2025-02-28 18:58:00,3.41,3.41,3.41,3.41,216
2025-02-28 19:03:00,3.41,3.41,3.4,3.41,3783
2025-02-28 19:05:00,3.41,3.41,3.41,3.41,103
2025-02-28 19:13:00,3.4,3.4,3.4,3.4,100
2025-02-28 19:18:00,3.41,3.41,3.41,3.41,226
2025-02-28 19:21:00,3.41,3.41,3.41,3.41,345
2025-02-28 19:35:00,3.45,3.45,3.45,3.45,542
2025-02-28 19:45:00,3.46,3.46,3.46,3.46,200
2025-02-28 20:24:00,3.46,3.48,3.46,3.48,1099
2025-02-28 20:25:00,3.48,3.48,3.48,3.48,176
2025-02-28 20:46:00,3.46,3.46,3.46,3.46,100
2025-02-28 21:26:00,3.43,3.43,3.43,3.43,105
2025-02-28 21:37:00,3.46,3.46,3.46,3.46,107
2025-02-28 21:41:00,3.48,3.48,3.48,3.48,356
2025-02-28 21:42:00,3.49,3.5,3.49,3.5,2384
2025-02-28 21:47:00,3.5,3.5,3.5,3.5,372
2025-02-28 21:59:00,3.5,3.5,3.5,3.5,366
