Date,Open,High,Low,Close,Volume
2025-02-26 12:03:00,0.47,0.47,0.47,0.47,108
2025-02-26 14:09:00,0.56,0.56,0.56,0.56,311
2025-02-26 14:12:00,0.53,0.53,0.53,0.53,501
2025-02-26 14:22:00,0.51,0.51,0.51,0.51,1000
2025-02-26 14:26:00,0.51,0.51,0.51,0.51,311
2025-02-26 14:45:00,0.51,0.51,0.5,0.5,1130
2025-02-26 14:57:00,0.48,0.48,0.48,0.48,326
2025-02-26 15:18:00,0.5,0.5,0.5,0.5,110
2025-02-26 16:01:00,0.49,0.49,0.49,0.49,216
2025-02-26 16:04:00,0.5,0.5,0.49,0.49,1402
2025-02-26 16:13:00,0.49,0.49,0.49,0.49,2110
2025-02-26 16:16:00,0.48,0.48,0.48,0.48,390
2025-02-26 16:25:00,0.48,0.48,0.48,0.48,678
2025-02-26 16:26:00,0.48,0.48,0.48,0.48,221
2025-02-26 16:33:00,0.48,0.48,0.48,0.48,473
2025-02-26 16:35:00,0.48,0.48,0.48,0.48,1000
2025-02-26 16:37:00,0.48,0.48,0.48,0.48,237
2025-02-26 16:39:00,0.48,0.48,0.48,0.48,120
2025-02-26 17:07:00,0.48,0.48,0.48,0.48,161
2025-02-26 17:14:00,0.48,0.48,0.48,0.48,2648
2025-02-26 17:20:00,0.48,0.48,0.48,0.48,4825
2025-02-26 17:50:00,0.48,0.49,0.48,0.49,8220
2025-02-26 18:03:00,0.49,0.49,0.48,0.48,2381
2025-02-26 18:13:00,0.48,0.48,0.48,0.48,2482
2025-02-26 18:31:00,0.48,0.48,0.48,0.48,828
2025-02-26 18:37:00,0.49,0.49,0.49,0.49,1000
2025-02-26 18:39:00,0.49,0.49,0.49,0.49,190
2025-02-26 18:41:00,0.48,0.48,0.48,0.48,288
2025-02-26 18:51:00,0.48,0.48,0.48,0.48,110
2025-02-26 18:53:00,0.49,0.49,0.49,0.49,10353
2025-02-26 19:03:00,0.5,0.5,0.5,0.5,200
2025-02-26 19:09:00,0.5,0.5,0.5,0.5,1000
2025-02-26 19:10:00,0.5,0.5,0.5,0.5,900
2025-02-26 19:12:00,0.5,0.5,0.5,0.5,4615
2025-02-26 19:20:00,0.5,0.52,0.49,0.52,30000
2025-02-26 19:30:00,0.52,0.52,0.52,0.52,5000
2025-02-26 19:47:00,0.51,0.52,0.51,0.52,9942
2025-02-26 19:50:00,0.52,0.52,0.52,0.52,1437
2025-02-26 19:51:00,0.52,0.52,0.52,0.52,654
2025-02-26 20:23:00,0.52,0.52,0.52,0.52,100
2025-02-26 20:27:00,0.52,0.52,0.52,0.52,500
2025-02-26 20:32:00,0.52,0.52,0.52,0.52,100
2025-02-26 20:37:00,0.52,0.52,0.52,0.52,100
2025-02-26 20:38:00,0.52,0.52,0.52,0.52,10154
2025-02-26 20:42:00,0.54,0.54,0.54,0.54,100
2025-02-26 20:45:00,0.52,0.52,0.52,0.52,473
2025-02-26 20:46:00,0.54,0.54,0.54,0.54,100
2025-02-26 20:48:00,0.54,0.54,0.54,0.54,1500
2025-02-26 20:50:00,0.54,0.56,0.53,0.56,11511
2025-02-26 20:51:00,0.55,0.55,0.55,0.55,197
2025-02-26 20:52:00,0.56,0.56,0.56,0.56,1631
2025-02-26 20:53:00,0.56,0.56,0.56,0.56,5322
2025-02-26 20:55:00,0.54,0.54,0.54,0.54,1627
2025-02-26 20:56:00,0.55,0.55,0.55,0.55,611
2025-02-26 20:57:00,0.56,0.56,0.56,0.56,1211
2025-02-26 20:58:00,0.56,0.57,0.55,0.56,3450
2025-02-26 20:59:00,0.57,0.58,0.56,0.57,4066
2025-02-26 21:00:00,0.58,0.58,0.57,0.58,2941
2025-02-26 21:01:00,0.57,0.64,0.57,0.64,31726
2025-02-26 21:02:00,0.65,0.66,0.64,0.64,82461
2025-02-26 21:03:00,0.64,0.64,0.59,0.64,61370
2025-02-26 21:04:00,0.64,0.64,0.61,0.64,42760
2025-02-26 21:05:00,0.62,0.68,0.62,0.68,134456
2025-02-26 21:06:00,0.67,0.68,0.64,0.65,76388
2025-02-26 21:07:00,0.65,0.69,0.64,0.69,241711
