Date,Open,High,Low,Close,Volume
2025-02-26 10:01:00,5.2,5.2,5.2,5.2,267
2025-02-26 10:02:00,5.22,5.22,5.22,5.22,564
2025-02-26 10:03:00,5.33,5.33,5.13,5.13,334
2025-02-26 10:06:00,6.54,6.75,6.54,6.75,780
2025-02-26 10:07:00,7.99,7.99,7.03,7.06,1715
2025-02-26 10:08:00,7.14,10.48,6.94,10.48,11218
2025-02-26 10:09:00,10.06,15.0,9.91,12.0,39883
2025-02-26 10:10:00,11.96,13.26,11.85,12.03,27769
2025-02-26 10:11:00,12.03,13.5,11.95,12.76,31408
2025-02-26 10:12:00,12.76,14.16,12.6,13.39,48021
2025-02-26 10:13:00,13.39,13.9,13.03,13.61,22350
2025-02-26 10:14:00,13.48,13.5,12.89,12.89,33426
2025-02-26 10:15:00,12.75,12.75,11.81,12.37,28998
2025-02-26 10:16:00,12.2,12.55,12.02,12.52,10489
2025-02-26 10:17:00,12.63,12.63,12.14,12.29,8269
2025-02-26 10:18:00,12.12,12.37,11.8,12.37,12897
2025-02-26 10:19:00,12.99,14.26,12.99,13.54,41234
2025-02-26 10:20:00,13.74,14.16,13.22,13.98,29395
2025-02-26 10:21:00,14.0,14.26,13.54,13.55,24806
2025-02-26 10:22:00,13.68,13.68,12.83,13.23,19777
2025-02-26 10:23:00,13.4,13.88,13.4,13.4,15075
2025-02-26 10:24:00,13.56,13.56,12.99,13.2,12147
2025-02-26 10:25:00,13.01,13.4,13.0,13.14,9237
2025-02-26 10:26:00,13.05,13.58,12.98,13.58,12960
2025-02-26 10:27:00,13.5,13.5,13.01,13.01,8389
2025-02-26 10:28:00,13.22,13.85,13.13,13.13,13824
2025-02-26 10:29:00,13.39,13.39,13.15,13.17,6115
2025-02-26 10:30:00,13.04,13.45,13.02,13.11,14260
2025-02-26 10:31:00,13.1,13.3,12.96,13.3,11964
2025-02-26 10:32:00,13.36,13.56,13.24,13.49,10091
2025-02-26 10:33:00,13.35,13.46,13.05,13.28,9133
2025-02-26 10:34:00,13.2,13.23,12.97,13.07,7083
2025-02-26 10:35:00,13.06,13.06,13.06,13.06,2597
2025-02-26 10:36:00,13.0,13.0,12.2,12.35,17205
2025-02-26 10:37:00,12.49,12.5,10.67,11.6,26140
2025-02-26 10:38:00,11.46,12.0,11.4,11.86,13476
2025-02-26 10:39:00,11.6,12.1,11.11,11.2,11822
2025-02-26 10:40:00,11.24,11.6,11.13,11.53,14136
