Date,Open,High,Low,Close,Volume
2025-02-26 14:24:00,5.02,5.02,5.02,5.02,110
2025-02-26 15:30:00,5.25,5.25,5.25,5.25,952
2025-02-26 15:56:00,5.24,5.25,5.24,5.24,2792
2025-02-26 15:57:00,5.22,5.22,5.22,5.22,135
2025-02-26 16:03:00,5.25,5.25,5.25,5.25,200
2025-02-26 16:06:00,5.06,5.06,5.06,5.06,200
2025-02-26 16:09:00,5.08,5.08,5.08,5.08,200
2025-02-26 16:21:00,5.3,5.31,5.3,5.31,1165
2025-02-26 16:23:00,5.25,5.25,5.25,5.25,1135
2025-02-26 16:41:00,5.26,5.26,5.26,5.26,100
2025-02-26 16:59:00,5.35,5.35,5.35,5.35,100
2025-02-26 17:00:00,5.36,5.36,5.36,5.36,150
2025-02-26 17:02:00,5.36,5.36,5.36,5.36,100
2025-02-26 17:03:00,5.31,5.31,5.31,5.31,100
2025-02-26 17:50:00,5.34,5.34,5.34,5.34,100
2025-02-26 18:01:00,5.41,5.41,5.41,5.41,100
2025-02-26 18:04:00,5.48,5.48,5.48,5.48,100
2025-02-26 18:07:00,5.42,5.42,5.42,5.42,200
2025-02-26 18:28:00,5.44,5.44,5.44,5.44,100
2025-02-26 18:31:00,5.46,5.46,5.46,5.46,100
2025-02-26 18:32:00,5.45,5.45,5.45,5.45,100
2025-02-26 18:34:00,5.48,5.48,5.48,5.48,457
2025-02-26 18:39:00,5.47,5.47,5.41,5.41,200
2025-02-26 18:49:00,5.41,5.41,5.41,5.41,100
2025-02-26 19:01:00,5.43,5.43,5.43,5.43,215
2025-02-26 19:17:00,5.45,5.45,5.45,5.45,135
2025-02-26 19:26:00,5.44,5.44,5.44,5.44,200
2025-02-26 19:33:00,5.44,5.44,5.44,5.44,300
2025-02-26 19:35:00,5.5,5.5,5.5,5.5,100
2025-02-26 19:50:00,5.5,5.5,5.5,5.5,348
2025-02-26 19:56:00,5.5,5.5,5.5,5.5,1296
2025-02-26 20:29:00,5.5,5.5,5.5,5.5,732
2025-02-26 20:33:00,5.36,5.36,5.36,5.36,1020
2025-02-26 20:42:00,5.5,5.5,5.44,5.44,3000
2025-02-26 21:17:00,5.44,5.44,5.44,5.44,100
2025-02-26 21:28:00,5.38,5.38,5.38,5.38,139
2025-02-26 21:34:00,5.44,5.44,5.44,5.44,100
2025-02-26 21:49:00,5.44,5.44,5.44,5.44,719
2025-02-26 21:53:00,5.43,5.43,5.43,5.43,561
