Date,Open,High,Low,Close,Volume
2025-02-26 10:32:00,2.42,2.43,2.42,2.43,2000
2025-02-26 10:33:00,2.38,2.38,2.37,2.37,500
2025-02-26 10:39:00,2.42,2.43,2.42,2.43,1211
2025-02-26 10:40:00,2.42,2.42,2.42,2.42,100
2025-02-26 11:06:00,2.38,2.42,2.38,2.42,500
2025-02-26 11:12:00,2.38,2.38,2.36,2.36,1027
2025-02-26 11:22:00,2.37,2.38,2.37,2.38,359
2025-02-26 11:31:00,2.38,2.38,2.37,2.38,927
2025-02-26 11:32:00,2.38,2.38,2.38,2.38,104
2025-02-26 11:36:00,2.38,2.38,2.38,2.38,460
2025-02-26 11:38:00,2.38,2.38,2.38,2.38,233
2025-02-26 11:43:00,2.38,2.38,2.38,2.38,400
2025-02-26 12:03:00,2.39,2.39,2.38,2.38,230
2025-02-26 12:09:00,2.39,2.39,2.39,2.39,149
2025-02-26 12:13:00,2.42,2.42,2.42,2.42,368
2025-02-26 12:14:00,2.42,2.42,2.42,2.42,500
2025-02-26 12:23:00,2.41,2.41,2.41,2.41,300
2025-02-26 12:24:00,2.4,2.4,2.4,2.4,1351
2025-02-26 12:25:00,2.4,2.4,2.4,2.4,170
2025-02-26 12:32:00,2.4,2.4,2.4,2.4,500
2025-02-26 12:39:00,2.4,2.4,2.4,2.4,158
2025-02-26 12:58:00,2.41,2.41,2.38,2.38,700
2025-02-26 13:01:00,2.39,2.39,2.38,2.38,485
2025-02-26 13:04:00,2.39,2.4,2.39,2.4,2840
2025-02-26 13:07:00,2.4,2.4,2.4,2.4,500
2025-02-26 13:15:00,2.38,2.38,2.38,2.38,989
2025-02-26 13:24:00,2.39,2.39,2.39,2.39,1500
2025-02-26 13:28:00,2.38,2.38,2.37,2.37,500
2025-02-26 13:29:00,2.37,2.37,2.37,2.37,110
2025-02-26 13:39:00,2.37,2.37,2.37,2.37,824
2025-02-26 13:40:00,2.36,2.36,2.36,2.36,585
2025-02-26 13:58:00,2.36,2.37,2.36,2.37,1431
2025-02-26 14:00:00,2.4,2.42,2.35,2.35,8356
2025-02-26 14:03:00,2.37,2.37,2.36,2.36,800
2025-02-26 14:04:00,2.37,2.37,2.37,2.37,169
2025-02-26 14:05:00,2.37,2.37,2.37,2.37,216
2025-02-26 14:06:00,2.37,2.37,2.37,2.37,176
2025-02-26 14:09:00,2.36,2.36,2.36,2.36,110
2025-02-26 14:13:00,2.36,2.36,2.36,2.36,401
2025-02-26 14:14:00,2.37,2.37,2.37,2.37,156
2025-02-26 14:15:00,2.37,2.37,2.37,2.37,795
2025-02-26 14:17:00,2.37,2.37,2.36,2.36,601
2025-02-26 14:18:00,2.38,2.38,2.38,2.38,599
2025-02-26 14:19:00,2.36,2.36,2.36,2.36,1671
2025-02-26 14:20:00,2.37,2.37,2.37,2.37,111
2025-02-26 14:22:00,2.37,2.37,2.37,2.37,296
2025-02-26 14:23:00,2.36,2.37,2.36,2.36,2539
2025-02-26 14:25:00,2.37,2.37,2.34,2.34,1401
2025-02-26 14:28:00,2.37,2.37,2.37,2.37,225
2025-02-26 14:31:00,2.37,2.37,2.37,2.37,204
2025-02-26 14:33:00,2.37,2.37,2.37,2.37,2999
2025-02-26 14:34:00,2.38,2.38,2.38,2.38,1071
2025-02-26 14:37:00,2.38,2.38,2.38,2.38,301
