Date,Open,High,Low,Close,Volume
2025-02-26 10:02:00,0.59,0.59,0.59,0.59,153
2025-02-26 12:44:00,0.59,0.59,0.59,0.59,466
2025-02-26 13:22:00,0.59,0.59,0.59,0.59,114
2025-02-26 13:23:00,0.59,0.59,0.59,0.59,201
2025-02-26 13:24:00,0.59,0.59,0.59,0.59,200
2025-02-26 14:00:00,0.6,0.6,0.6,0.6,2515
2025-02-26 14:36:00,0.57,0.57,0.57,0.57,2000
2025-02-26 14:42:00,0.6,0.6,0.6,0.6,400
2025-02-26 14:48:00,0.58,0.58,0.58,0.58,280
2025-02-26 14:59:00,0.57,0.57,0.57,0.57,170
2025-02-26 15:00:00,0.6,0.72,0.6,0.69,41538
2025-02-26 15:01:00,0.68,0.68,0.65,0.68,24901
2025-02-26 15:02:00,0.66,0.69,0.65,0.68,22051
2025-02-26 15:03:00,0.66,0.67,0.62,0.62,20056
2025-02-26 15:04:00,0.64,0.69,0.62,0.66,37915
2025-02-26 15:05:00,0.68,0.69,0.63,0.63,11199
2025-02-26 15:06:00,0.65,0.66,0.65,0.66,1850
2025-02-26 15:07:00,0.66,0.66,0.66,0.66,372
2025-02-26 15:08:00,0.64,0.64,0.64,0.64,969
2025-02-26 15:09:00,0.66,0.66,0.64,0.64,12118
2025-02-26 15:10:00,0.65,0.65,0.64,0.65,6771
2025-02-26 15:11:00,0.64,0.64,0.64,0.64,2511
2025-02-26 15:12:00,0.64,0.67,0.64,0.67,1582
2025-02-26 15:13:00,0.64,0.64,0.64,0.64,581
2025-02-26 15:14:00,0.64,0.64,0.64,0.64,1531
2025-02-26 15:16:00,0.64,0.64,0.64,0.64,2200
2025-02-26 15:17:00,0.64,0.64,0.64,0.64,1517
2025-02-26 15:18:00,0.64,0.64,0.64,0.64,1058
2025-02-26 15:20:00,0.63,0.63,0.62,0.62,5461
2025-02-26 15:21:00,0.62,0.62,0.61,0.61,2115
2025-02-26 15:22:00,0.62,0.62,0.62,0.62,128
2025-02-26 15:23:00,0.62,0.64,0.62,0.64,4118
2025-02-26 15:24:00,0.64,0.64,0.62,0.64,12852
2025-02-26 15:25:00,0.63,0.64,0.63,0.64,4052
2025-02-26 15:26:00,0.64,0.64,0.64,0.64,2815
2025-02-26 15:27:00,0.64,0.64,0.61,0.61,6627
2025-02-26 15:29:00,0.64,0.64,0.64,0.64,1000
2025-02-26 15:30:00,0.62,0.62,0.62,0.62,2759
2025-02-26 15:31:00,0.62,0.62,0.62,0.62,1542
2025-02-26 15:32:00,0.62,0.64,0.62,0.62,9417
2025-02-26 15:33:00,0.63,0.64,0.62,0.64,2900
2025-02-26 15:34:00,0.63,0.64,0.61,0.61,31502
2025-02-26 15:35:00,0.63,0.63,0.6,0.6,6420
2025-02-26 15:37:00,0.62,0.64,0.62,0.64,4078
2025-02-26 15:38:00,0.62,0.63,0.62,0.63,1131
2025-02-26 15:39:00,0.64,0.64,0.62,0.63,4215
2025-02-26 15:40:00,0.62,0.62,0.62,0.62,888
2025-02-26 15:41:00,0.64,0.64,0.64,0.64,504
2025-02-26 15:42:00,0.64,0.64,0.63,0.63,1100
2025-02-26 15:43:00,0.64,0.64,0.63,0.63,605
2025-02-26 15:45:00,0.63,0.63,0.63,0.63,849
2025-02-26 15:46:00,0.63,0.65,0.63,0.65,14881
2025-02-26 15:47:00,0.64,0.65,0.64,0.65,3024
2025-02-26 15:48:00,0.65,0.65,0.65,0.65,1603
2025-02-26 15:49:00,0.65,0.65,0.65,0.65,7436
2025-02-26 15:50:00,0.65,0.67,0.65,0.66,13877
2025-02-26 15:51:00,0.67,0.67,0.66,0.66,5914
2025-02-26 15:52:00,0.65,0.67,0.64,0.67,6823
2025-02-26 15:53:00,0.67,0.67,0.65,0.67,1334
2025-02-26 15:54:00,0.65,0.65,0.65,0.65,500
2025-02-26 15:55:00,0.65,0.65,0.65,0.65,669
2025-02-26 15:56:00,0.65,0.65,0.65,0.65,1325
2025-02-26 15:57:00,0.67,0.67,0.66,0.66,730
2025-02-26 15:59:00,0.66,0.66,0.65,0.65,5101
2025-02-26 16:00:00,0.65,0.65,0.64,0.64,3200
2025-02-26 16:01:00,0.63,0.63,0.62,0.62,1676
2025-02-26 16:03:00,0.63,0.63,0.63,0.63,1500
2025-02-26 16:04:00,0.65,0.65,0.65,0.65,500
2025-02-26 16:08:00,0.63,0.63,0.63,0.63,2500
2025-02-26 16:09:00,0.62,0.62,0.62,0.62,100
