Date,Open,High,Low,Close,Volume
2025-02-26 13:02:00,1.25,1.25,1.25,1.25,1000
2025-02-26 14:00:00,1.24,1.68,1.24,1.64,56966
2025-02-26 14:01:00,1.6,1.6,1.31,1.42,124923
2025-02-26 14:02:00,1.38,1.42,1.27,1.37,59808
2025-02-26 14:03:00,1.35,1.38,1.16,1.2,86228
2025-02-26 14:04:00,1.2,1.25,1.18,1.25,26255
2025-02-26 14:05:00,1.23,1.25,1.2,1.2,5710
2025-02-26 14:06:00,1.25,1.25,1.24,1.25,1917
2025-02-26 14:07:00,1.22,1.22,1.15,1.19,18841
2025-02-26 14:08:00,1.17,1.17,1.13,1.13,15076
2025-02-26 14:09:00,1.14,1.16,1.14,1.16,2873
2025-02-26 14:10:00,1.18,1.2,1.14,1.16,7901
2025-02-26 14:11:00,1.17,1.22,1.14,1.15,12892
2025-02-26 14:12:00,1.18,1.19,1.18,1.19,3522
2025-02-26 14:13:00,1.19,1.19,1.18,1.18,3066
2025-02-26 14:15:00,1.18,1.19,1.17,1.19,1162
2025-02-26 14:16:00,1.19,1.19,1.18,1.19,3799
2025-02-26 14:18:00,1.23,1.23,1.23,1.23,121
2025-02-26 14:19:00,1.21,1.25,1.2,1.25,1451
2025-02-26 14:20:00,1.21,1.21,1.2,1.2,1201
2025-02-26 14:24:00,1.24,1.24,1.24,1.24,100
2025-02-26 14:25:00,1.24,1.24,1.24,1.24,100
2025-02-26 14:29:00,1.23,1.23,1.23,1.23,400
2025-02-26 14:35:00,1.22,1.22,1.22,1.22,900
2025-02-26 14:36:00,1.21,1.22,1.21,1.22,1360
2025-02-26 14:37:00,1.25,1.25,1.25,1.25,110
2025-02-26 14:38:00,1.25,1.25,1.25,1.25,400
2025-02-26 14:39:00,1.22,1.22,1.22,1.22,140
2025-02-26 14:41:00,1.2,1.2,1.19,1.2,2229
2025-02-26 14:42:00,1.18,1.2,1.18,1.2,417
2025-02-26 14:46:00,1.21,1.22,1.21,1.22,305
2025-02-26 14:48:00,1.22,1.22,1.22,1.22,100
2025-02-26 14:50:00,1.22,1.22,1.22,1.22,600
2025-02-26 14:51:00,1.22,1.22,1.2,1.2,1501
2025-02-26 14:52:00,1.21,1.21,1.21,1.21,719
2025-02-26 14:55:00,1.23,1.23,1.23,1.23,200
2025-02-26 14:58:00,1.24,1.24,1.24,1.24,752
2025-02-26 15:01:00,1.24,1.25,1.24,1.25,1000
2025-02-26 15:03:00,1.25,1.25,1.25,1.25,464
2025-02-26 15:04:00,1.25,1.25,1.25,1.25,3000
2025-02-26 15:05:00,1.25,1.25,1.25,1.25,300
2025-02-26 15:15:00,1.23,1.23,1.23,1.23,4300
2025-02-26 15:21:00,1.25,1.25,1.25,1.25,1000
2025-02-26 15:23:00,1.28,1.28,1.28,1.28,5125
2025-02-26 15:24:00,1.29,1.29,1.24,1.24,3082
2025-02-26 15:25:00,1.28,1.28,1.28,1.28,2504
2025-02-26 15:27:00,1.27,1.27,1.27,1.27,440
2025-02-26 15:28:00,1.23,1.23,1.23,1.23,1760
2025-02-26 15:30:00,1.2,1.27,1.2,1.24,17911
2025-02-26 15:31:00,1.27,1.27,1.26,1.26,1229
2025-02-26 15:32:00,1.26,1.3,1.26,1.3,14069
2025-02-26 15:33:00,1.3,1.3,1.27,1.27,10883
2025-02-26 15:34:00,1.27,1.28,1.27,1.28,3262
2025-02-26 15:35:00,1.27,1.28,1.26,1.26,1954
2025-02-26 15:36:00,1.26,1.26,1.25,1.25,3102
2025-02-26 15:37:00,1.26,1.26,1.24,1.24,2102
2025-02-26 15:39:00,1.28,1.28,1.25,1.25,1590
2025-02-26 15:40:00,1.26,1.26,1.25,1.25,1444
2025-02-26 15:41:00,1.26,1.28,1.26,1.26,2770
2025-02-26 15:42:00,1.28,1.28,1.27,1.27,5927
2025-02-26 15:43:00,1.27,1.27,1.27,1.27,500
2025-02-26 15:44:00,1.29,1.29,1.26,1.27,4883
2025-02-26 15:45:00,1.27,1.29,1.27,1.29,2200
2025-02-26 15:46:00,1.3,1.32,1.3,1.32,1498
2025-02-26 15:47:00,1.32,1.33,1.32,1.33,3355
2025-02-26 15:48:00,1.34,1.34,1.32,1.32,10622
2025-02-26 15:49:00,1.33,1.34,1.33,1.34,3994
2025-02-26 15:50:00,1.34,1.35,1.34,1.34,328
2025-02-26 15:51:00,1.35,1.37,1.34,1.35,18433
2025-02-26 15:52:00,1.36,1.39,1.36,1.39,23258
2025-02-26 15:53:00,1.39,1.4,1.35,1.35,20346
2025-02-26 15:54:00,1.35,1.35,1.32,1.33,4518
2025-02-26 15:55:00,1.33,1.36,1.32,1.36,12490
2025-02-26 15:56:00,1.33,1.34,1.33,1.34,8419
2025-02-26 15:57:00,1.34,1.34,1.34,1.34,400
2025-02-26 15:58:00,1.36,1.36,1.36,1.36,5010
2025-02-26 15:59:00,1.37,1.37,1.35,1.37,19086
2025-02-26 16:00:00,1.36,1.36,1.36,1.36,1220
2025-02-26 16:02:00,1.36,1.5,1.36,1.39,61382
2025-02-26 16:03:00,1.39,1.43,1.39,1.4,56482
2025-02-26 16:04:00,1.41,1.41,1.4,1.4,1283
2025-02-26 16:05:00,1.4,1.4,1.4,1.4,1500
2025-02-26 16:06:00,1.4,1.4,1.38,1.38,4977
2025-02-26 16:08:00,1.37,1.38,1.37,1.38,445
2025-02-26 16:09:00,1.39,1.41,1.39,1.41,16164
2025-02-26 16:10:00,1.41,1.44,1.4,1.43,25132
2025-02-26 16:11:00,1.43,1.44,1.42,1.43,7881
2025-02-26 16:12:00,1.44,1.44,1.44,1.44,697
2025-02-26 16:13:00,1.44,1.45,1.44,1.45,7012
2025-02-26 16:14:00,1.46,1.46,1.44,1.44,10871
2025-02-26 16:15:00,1.44,1.46,1.44,1.46,21020
2025-02-26 16:16:00,1.47,1.49,1.46,1.48,22634
2025-02-26 16:17:00,1.47,1.49,1.47,1.47,16745
2025-02-26 16:18:00,1.49,1.5,1.49,1.5,9100
2025-02-26 16:19:00,1.51,1.51,1.49,1.51,16276
2025-02-26 16:20:00,1.51,1.51,1.49,1.49,6161
2025-02-26 16:21:00,1.5,1.51,1.47,1.5,15044
2025-02-26 16:22:00,1.51,1.51,1.47,1.48,10014
2025-02-26 16:23:00,1.49,1.49,1.44,1.47,10514
2025-02-26 16:24:00,1.48,1.5,1.47,1.5,3799
2025-02-26 16:25:00,1.48,1.5,1.48,1.5,5787
2025-02-26 16:26:00,1.49,1.51,1.48,1.5,8935
2025-02-26 16:27:00,1.5,1.5,1.5,1.5,2548
2025-02-26 16:28:00,1.5,1.5,1.47,1.49,8604
2025-02-26 16:29:00,1.48,1.49,1.48,1.48,3870
2025-02-26 16:30:00,1.49,1.5,1.49,1.49,3314
2025-02-26 16:31:00,1.5,1.54,1.5,1.54,10387
2025-02-26 16:32:00,1.53,1.54,1.51,1.52,10718
2025-02-26 16:33:00,1.51,1.51,1.49,1.49,4011
2025-02-26 16:34:00,1.52,1.52,1.5,1.5,3260
2025-02-26 16:35:00,1.51,1.58,1.5,1.58,22341
2025-02-26 16:36:00,1.59,1.63,1.57,1.63,163683
2025-02-26 16:37:00,1.64,1.67,1.6,1.65,95115
2025-02-26 16:38:00,1.66,1.66,1.61,1.65,73789
2025-02-26 16:39:00,1.64,1.66,1.62,1.64,62298
2025-02-26 16:40:00,1.65,1.65,1.59,1.6,47661
2025-02-26 16:41:00,1.6,1.6,1.56,1.6,53966
2025-02-26 16:42:00,1.6,1.6,1.57,1.58,18598
2025-02-26 16:43:00,1.59,1.6,1.57,1.57,15191
2025-02-26 16:44:00,1.57,1.58,1.57,1.57,7831
2025-02-26 16:45:00,1.58,1.59,1.56,1.56,9186
2025-02-26 16:46:00,1.56,1.57,1.56,1.56,7087
2025-02-26 16:47:00,1.55,1.57,1.55,1.56,36677
2025-02-26 16:48:00,1.55,1.57,1.55,1.56,7234
2025-02-26 16:49:00,1.57,1.57,1.54,1.55,20706
2025-02-26 16:50:00,1.55,1.56,1.55,1.56,3591
2025-02-26 16:51:00,1.56,1.56,1.54,1.55,5514
2025-02-26 16:52:00,1.55,1.57,1.55,1.57,24814
2025-02-26 16:53:00,1.56,1.57,1.56,1.57,6231
2025-02-26 16:54:00,1.56,1.57,1.56,1.57,1958
2025-02-26 16:55:00,1.56,1.56,1.54,1.56,8076
2025-02-26 16:56:00,1.57,1.57,1.56,1.56,1702
2025-02-26 16:57:00,1.56,1.6,1.56,1.6,18581
2025-02-26 16:58:00,1.6,1.65,1.6,1.63,52550
2025-02-26 16:59:00,1.64,1.69,1.61,1.69,96616
2025-02-26 17:00:00,1.69,1.71,1.6,1.6,107311
2025-02-26 17:01:00,1.6,1.62,1.57,1.62,37314
2025-02-26 17:02:00,1.61,1.63,1.56,1.57,42668
2025-02-26 17:03:00,1.57,1.58,1.57,1.57,12170
2025-02-26 17:04:00,1.58,1.59,1.57,1.58,7812
2025-02-26 17:05:00,1.58,1.58,1.57,1.58,9375
2025-02-26 17:06:00,1.58,1.58,1.57,1.58,5231
2025-02-26 17:07:00,1.58,1.58,1.55,1.55,19630
2025-02-26 17:08:00,1.55,1.58,1.55,1.57,4639
2025-02-26 17:09:00,1.58,1.58,1.55,1.56,22303
2025-02-26 17:10:00,1.56,1.57,1.54,1.54,39977
2025-02-26 17:11:00,1.55,1.59,1.54,1.59,41713
2025-02-26 17:12:00,1.59,1.6,1.57,1.58,15914
2025-02-26 17:13:00,1.58,1.59,1.57,1.59,4064
2025-02-26 17:14:00,1.58,1.63,1.58,1.63,23288
2025-02-26 17:15:00,1.64,1.66,1.63,1.66,61193
2025-02-26 17:16:00,1.66,1.68,1.61,1.61,50618
2025-02-26 17:17:00,1.61,1.65,1.61,1.62,50175
2025-02-26 17:18:00,1.62,1.63,1.61,1.62,28496
2025-02-26 17:19:00,1.62,1.62,1.61,1.61,12487
2025-02-26 17:20:00,1.61,1.61,1.58,1.59,23607
2025-02-26 17:21:00,1.59,1.6,1.58,1.59,13694
2025-02-26 17:22:00,1.59,1.6,1.59,1.6,7474
2025-02-26 17:23:00,1.6,1.62,1.6,1.61,27193
2025-02-26 17:24:00,1.61,1.61,1.6,1.6,7398
2025-02-26 17:25:00,1.61,1.63,1.61,1.63,11279
2025-02-26 17:26:00,1.63,1.63,1.62,1.62,6260
2025-02-26 17:27:00,1.62,1.64,1.61,1.64,17691
2025-02-26 17:28:00,1.64,1.64,1.61,1.61,9977
2025-02-26 17:29:00,1.61,1.68,1.61,1.66,54830
2025-02-26 17:30:00,1.66,1.68,1.63,1.65,29399
2025-02-26 17:31:00,1.64,1.66,1.64,1.64,26055
2025-02-26 17:32:00,1.66,1.66,1.64,1.64,7529
2025-02-26 17:33:00,1.64,1.65,1.64,1.65,4427
2025-02-26 17:34:00,1.64,1.65,1.64,1.64,5651
2025-02-26 17:35:00,1.64,1.65,1.64,1.64,8348
2025-02-26 17:36:00,1.64,1.65,1.64,1.64,7956
2025-02-26 17:37:00,1.64,1.67,1.64,1.67,31154
2025-02-26 17:38:00,1.66,1.68,1.66,1.68,18640
2025-02-26 17:39:00,1.68,1.68,1.67,1.68,5581
2025-02-26 17:40:00,1.67,1.7,1.66,1.66,74243
2025-02-26 17:41:00,1.67,1.67,1.66,1.67,6497
2025-02-26 17:42:00,1.67,1.67,1.64,1.66,24200
2025-02-26 17:43:00,1.65,1.66,1.65,1.66,8299
2025-02-26 17:44:00,1.66,1.66,1.64,1.64,4512
2025-02-26 17:45:00,1.64,1.65,1.64,1.64,4939
