Date,Open,High,Low,Close,Volume
2025-02-25 15:30:00,0.92,0.94,0.92,0.94,1397
2025-02-25 15:36:00,0.95,0.95,0.95,0.95,600
2025-02-25 15:39:00,0.96,0.98,0.96,0.98,1100
2025-02-25 15:40:00,0.96,0.97,0.96,0.97,1000
2025-02-25 15:43:00,0.96,0.96,0.96,0.96,1500
2025-02-25 15:44:00,0.98,0.98,0.97,0.97,1600
2025-02-25 15:45:00,0.97,1.01,0.97,1.01,9767
2025-02-25 15:46:00,1.02,1.02,0.98,0.98,6107
2025-02-25 15:47:00,1.0,1.0,1.0,1.0,200
2025-02-25 15:49:00,1.0,1.0,0.99,0.99,200
2025-02-25 15:50:00,0.99,0.99,0.99,0.99,100
2025-02-25 15:51:00,0.99,0.99,0.99,0.99,480
2025-02-25 15:52:00,1.0,1.01,0.99,1.01,4128
2025-02-25 15:53:00,0.99,1.0,0.99,1.0,1461
2025-02-25 15:54:00,1.01,1.01,1.01,1.01,100
2025-02-25 15:55:00,1.02,1.02,0.98,0.98,10624
2025-02-25 15:56:00,1.0,1.0,0.98,0.98,1398
2025-02-25 15:57:00,1.02,1.02,1.01,1.02,990
2025-02-25 15:58:00,1.01,1.01,1.01,1.01,2300
2025-02-25 15:59:00,1.02,1.02,1.02,1.02,4200
2025-02-25 16:00:00,1.01,1.02,1.01,1.02,3010
2025-02-25 16:01:00,1.01,1.03,1.01,1.03,10307
2025-02-25 16:02:00,1.03,1.03,0.99,1.02,2120
2025-02-25 16:04:00,1.01,1.01,1.01,1.01,1101
2025-02-25 16:05:00,1.0,1.0,1.0,1.0,200
2025-02-25 16:06:00,1.0,1.02,1.0,1.02,1900
2025-02-25 16:07:00,1.0,1.03,1.0,1.03,4564
2025-02-25 16:08:00,1.04,1.04,1.02,1.02,4015
2025-02-25 16:09:00,1.04,1.04,1.02,1.04,2300
2025-02-25 16:10:00,1.03,1.04,1.03,1.03,2450
2025-02-25 16:11:00,1.04,1.04,1.03,1.04,1700
2025-02-25 16:12:00,1.04,1.04,1.04,1.04,610
2025-02-25 16:13:00,1.03,1.04,1.03,1.03,4967
2025-02-25 16:14:00,1.03,1.04,1.03,1.03,800
2025-02-25 16:15:00,1.03,1.03,1.03,1.03,512
2025-02-25 16:16:00,1.03,1.04,1.03,1.04,975
2025-02-25 16:18:00,1.04,1.04,1.04,1.04,321
2025-02-25 16:19:00,1.03,1.03,1.03,1.03,346
2025-02-25 16:20:00,1.04,1.04,1.04,1.04,500
2025-02-25 16:22:00,1.03,1.03,1.02,1.03,1990
2025-02-25 16:23:00,1.03,1.03,1.02,1.02,300
