Date,Open,High,Low,Close,Volume
2025-02-25 14:26:00,1.17,1.17,1.17,1.17,200
2025-02-25 15:55:00,1.23,1.23,1.2,1.22,7500
2025-02-25 15:56:00,1.22,1.24,1.2,1.24,16983
2025-02-25 15:57:00,1.24,1.24,1.24,1.24,500
2025-02-25 16:02:00,1.24,1.3,1.24,1.3,885
2025-02-25 16:03:00,1.27,1.32,1.27,1.27,4239
2025-02-25 16:04:00,1.31,1.35,1.31,1.35,2402
2025-02-25 16:05:00,1.31,1.31,1.27,1.3,2799
2025-02-25 16:09:00,1.32,1.34,1.32,1.34,2000
2025-02-25 16:10:00,1.34,1.34,1.27,1.27,1128
2025-02-25 16:12:00,1.28,1.28,1.28,1.28,2400
2025-02-25 16:14:00,1.3,1.3,1.3,1.3,334
2025-02-25 16:16:00,1.31,1.31,1.31,1.31,100
2025-02-25 16:19:00,1.32,1.33,1.32,1.33,253
2025-02-25 16:20:00,1.34,1.35,1.34,1.35,1105
2025-02-25 16:21:00,1.33,1.33,1.33,1.33,143
2025-02-25 16:26:00,1.33,1.33,1.33,1.33,2001
2025-02-25 16:27:00,1.33,1.33,1.33,1.33,276
2025-02-25 16:28:00,1.34,1.34,1.34,1.34,430
2025-02-25 16:32:00,1.35,1.35,1.35,1.35,455
2025-02-25 16:33:00,1.36,1.36,1.36,1.36,155
2025-02-25 16:34:00,1.36,1.36,1.36,1.36,145
2025-02-25 16:35:00,1.36,1.36,1.36,1.36,288
2025-02-25 16:36:00,1.35,1.35,1.35,1.35,141
2025-02-25 16:41:00,1.35,1.35,1.35,1.35,527
2025-02-25 16:42:00,1.35,1.35,1.35,1.35,105
2025-02-25 16:44:00,1.35,1.35,1.35,1.35,3143
2025-02-25 16:45:00,1.36,1.36,1.36,1.36,447
2025-02-25 16:47:00,1.36,1.36,1.36,1.36,470
2025-02-25 16:48:00,1.35,1.35,1.35,1.35,370
2025-02-25 16:50:00,1.36,1.36,1.36,1.36,5101
2025-02-25 17:00:00,1.31,1.31,1.31,1.31,1100
2025-02-25 17:09:00,1.34,1.34,1.34,1.34,209
2025-02-25 17:19:00,1.33,1.33,1.33,1.33,316
2025-02-25 17:21:00,1.32,1.33,1.32,1.33,540
2025-02-25 17:22:00,1.31,1.31,1.31,1.31,779
2025-02-25 17:27:00,1.33,1.33,1.33,1.33,144
2025-02-25 17:28:00,1.33,1.33,1.33,1.33,250
2025-02-25 17:30:00,1.32,1.32,1.32,1.32,100
2025-02-25 17:35:00,1.31,1.31,1.31,1.31,435
2025-02-25 17:38:00,1.32,1.32,1.32,1.32,1647
2025-02-25 17:39:00,1.32,1.32,1.32,1.32,2356
2025-02-25 17:40:00,1.33,1.33,1.33,1.33,1136
2025-02-25 17:41:00,1.33,1.33,1.33,1.33,7000
2025-02-25 17:44:00,1.33,1.33,1.33,1.33,186
2025-02-25 17:47:00,1.31,1.31,1.31,1.31,186
2025-02-25 17:48:00,1.33,1.33,1.33,1.33,100
2025-02-25 18:03:00,1.32,1.32,1.32,1.32,279
2025-02-25 18:21:00,1.33,1.33,1.33,1.33,100
2025-02-25 19:18:00,1.32,1.32,1.32,1.32,304
2025-02-25 19:28:00,1.33,1.33,1.33,1.33,121
2025-02-25 20:39:00,1.32,1.32,1.32,1.32,1000
2025-02-25 20:41:00,1.32,1.32,1.32,1.32,554
2025-02-25 20:56:00,1.3,1.3,1.3,1.3,100
2025-02-25 21:30:00,1.32,1.32,1.32,1.32,340
2025-02-25 21:41:00,1.32,1.32,1.31,1.32,2900
2025-02-25 21:42:00,1.32,1.32,1.32,1.32,300
2025-02-25 21:43:00,1.3,1.3,1.3,1.3,10526
2025-02-25 21:44:00,1.32,1.32,1.32,1.32,1302
2025-02-25 21:45:00,1.3,1.32,1.3,1.32,8000
2025-02-25 21:46:00,1.32,1.32,1.32,1.32,100
2025-02-25 21:51:00,1.32,1.32,1.32,1.32,2126
2025-02-25 21:56:00,1.32,1.32,1.32,1.32,100
