Date,Open,High,Low,Close,Volume
2025-02-25 10:01:00,0.12,0.12,0.12,0.12,1000
2025-02-25 10:07:00,0.12,0.12,0.12,0.12,28858
2025-02-25 10:08:00,0.12,0.12,0.11,0.11,36949
2025-02-25 10:09:00,0.11,0.11,0.11,0.11,760
2025-02-25 10:10:00,0.12,0.12,0.12,0.12,1000
2025-02-25 10:11:00,0.12,0.12,0.12,0.12,200
2025-02-25 10:12:00,0.11,0.11,0.11,0.11,5347
2025-02-25 10:16:00,0.12,0.12,0.12,0.12,100
2025-02-25 10:19:00,0.11,0.11,0.11,0.11,243
2025-02-25 10:21:00,0.11,0.11,0.11,0.11,101
2025-02-25 10:23:00,0.11,0.11,0.11,0.11,500
2025-02-25 10:24:00,0.11,0.11,0.11,0.11,250
2025-02-25 10:33:00,0.12,0.12,0.12,0.12,100
2025-02-25 10:53:00,0.11,0.11,0.11,0.11,208
2025-02-25 10:57:00,0.11,0.11,0.11,0.11,500
2025-02-25 10:58:00,0.12,0.12,0.12,0.12,100
2025-02-25 10:59:00,0.11,0.12,0.11,0.11,5073
2025-02-25 11:00:00,0.11,0.11,0.11,0.11,200
2025-02-25 11:01:00,0.11,0.11,0.11,0.11,700
2025-02-25 11:05:00,0.11,0.12,0.11,0.12,1600
2025-02-25 11:06:00,0.11,0.12,0.11,0.12,1200
2025-02-25 11:07:00,0.12,0.12,0.11,0.12,3200
2025-02-25 11:11:00,0.12,0.12,0.12,0.12,600
2025-02-25 11:17:00,0.12,0.12,0.12,0.12,1100
2025-02-25 11:18:00,0.12,0.12,0.12,0.12,1300
2025-02-25 11:23:00,0.12,0.12,0.12,0.12,100
2025-02-25 11:30:00,0.12,0.12,0.12,0.12,600
2025-02-25 11:31:00,0.12,0.12,0.12,0.12,500
2025-02-25 12:07:00,0.12,0.12,0.11,0.11,3723
2025-02-25 12:08:00,0.12,0.12,0.12,0.12,100
2025-02-25 12:38:00,0.11,0.12,0.11,0.12,12059
2025-02-25 12:41:00,0.11,0.11,0.11,0.11,2100
2025-02-25 12:50:00,0.12,0.12,0.12,0.12,100
2025-02-25 12:53:00,0.12,0.12,0.12,0.12,200
2025-02-25 12:55:00,0.12,0.12,0.12,0.12,100
2025-02-25 13:05:00,0.12,0.12,0.12,0.12,100
2025-02-25 13:13:00,0.12,0.12,0.12,0.12,3300
2025-02-25 14:00:00,0.12,0.12,0.12,0.12,11939
2025-02-25 14:01:00,0.12,0.12,0.12,0.12,1755
2025-02-25 14:05:00,0.12,0.12,0.12,0.12,2000
2025-02-25 14:06:00,0.12,0.12,0.12,0.12,16500
2025-02-25 14:08:00,0.12,0.12,0.12,0.12,22600
2025-02-25 14:17:00,0.12,0.12,0.12,0.12,3500
2025-02-25 14:29:00,0.12,0.12,0.12,0.12,66483
2025-02-25 14:32:00,0.12,0.12,0.12,0.12,12408
2025-02-25 14:33:00,0.12,0.12,0.12,0.12,1698
2025-02-25 14:34:00,0.12,0.12,0.12,0.12,3400
2025-02-25 14:40:00,0.12,0.12,0.12,0.12,12173
2025-02-25 14:48:00,0.12,0.12,0.12,0.12,500
2025-02-25 14:55:00,0.12,0.12,0.12,0.12,32521
2025-02-25 15:02:00,0.12,0.12,0.12,0.12,1202
2025-02-25 15:10:00,0.12,0.12,0.12,0.12,40768
2025-02-25 15:13:00,0.12,0.12,0.12,0.12,100
2025-02-25 15:19:00,0.12,0.12,0.12,0.12,2900
2025-02-25 15:20:00,0.12,0.14,0.12,0.13,1408976
2025-02-25 15:21:00,0.13,0.14,0.12,0.13,558568
2025-02-25 15:22:00,0.13,0.14,0.12,0.13,1110900
2025-02-25 15:23:00,0.13,0.14,0.13,0.14,692288
2025-02-25 15:24:00,0.14,0.14,0.13,0.13,644618
2025-02-25 15:25:00,0.13,0.14,0.13,0.14,266870
2025-02-25 15:26:00,0.14,0.14,0.13,0.14,520215
2025-02-25 15:27:00,0.14,0.14,0.13,0.13,223336
2025-02-25 15:28:00,0.13,0.14,0.13,0.14,363398
