date,score,is_valid_day
2026-04-10,56.599999999999994,False
2026-04-13,85.2,True
2026-04-14,83.6,True
2026-04-15,79.0,True
2026-04-16,82.7,True
2026-04-17,82.8,True
2026-04-20,78.1,True
2026-04-21,80.7,True
2026-04-22,78.0,True
2026-04-23,79.0,True
2026-04-24,77.8,True
2026-04-27,84.0,True
2026-04-28,84.0,True
2026-04-29,90.0,True
2026-04-30,80.0,True
2026-05-01,78.8,True
2026-05-04,79.0,True
2026-05-05,81.0,True
2026-05-06,78.7,True
2026-05-07,74.0,True
2026-05-08,77.0,True
2026-05-11,74.2,True
2026-05-12,83.0,True
2026-05-13,71.5,True
2026-05-14,80.0,True
2026-05-15,79.0,True
2026-05-18,76.2,True
2026-05-19,80.2,True
2026-05-20,79.0,True
2026-05-21,67.5,False
2026-05-22,79.1,True
2026-05-26,76.8,True
2026-05-27,75.3,True
2026-05-28,79.0,True
2026-05-29,78.7,True
2026-06-01,82.7,True
2026-06-02,82.7,True
2026-06-03,76.9,True
2026-06-04,78.6,True
2026-06-05,76.1,True
2026-06-08,71.8,True
2026-06-09,69.7,False
2026-06-10,82.0,True
2026-06-11,73.8,True
2026-06-12,69.0,False
2026-06-15,73.1,True
2026-06-16,71.6,True
2026-06-17,78.8,True
2026-06-18,64.8,False
2026-06-22,79.8,True
2026-06-23,90.0,True
