ticker,date,score,is_valid
AIXI,2026-04-10,90,True
ISPC,2026-04-10,90,True
LNKS,2026-04-10,98,True
RAYA,2026-04-10,90,True
SKYQ,2026-04-10,98,True
SQFT,2026-04-10,88,True
UCAR,2026-04-10,90,True
WGRX,2026-04-10,90,True
ZNTL,2026-04-10,90,True
ALLO,2026-04-13,90,True
RECT,2026-04-13,98,True
RMSG,2026-04-13,98,True
SKYQ,2026-04-13,90,True
VRAX,2026-04-13,100,True
AVNS,2026-04-14,90,True
HUBC,2026-04-14,100,True
PMNT,2026-04-14,90,True
ROLR,2026-04-14,90,True
SNAL,2026-04-14,98,True
BNRG,2026-04-15,88,True
IMMP,2026-04-15,90,True
NICM,2026-04-15,88,True
XNDU,2026-04-15,90,True
CTNT,2026-04-16,100,True
RECT,2026-04-16,88,True
ZSPC,2026-04-16,90,True
CRML,2026-04-17,90,True
JLHL,2026-04-17,98,True
NPT,2026-04-17,88,True
PBM,2026-04-17,98,True
YXT,2026-04-17,90,True
CMND,2026-04-20,98,True
ENVB,2026-04-20,90,True
FCHL,2026-04-20,98,True
JLHL,2026-04-20,88,True
PBM,2026-04-20,65,False
TOVX,2026-04-20,90,True
WLDS,2026-04-20,88,True
CLIK,2026-04-21,88,True
FCHL,2026-04-21,90,True
LOBO,2026-04-21,88,True
LOCL,2026-04-21,90,True
SPRC,2026-04-21,98,True
XRTX,2026-04-21,90,True
AGPU,2026-04-22,88,True
WSHP,2026-04-22,88,True
AMST,2026-04-23,88,True
TRT,2026-04-23,90,True
CAST,2026-04-24,98,True
CTNT,2026-04-24,65,False
ELPW,2026-04-24,90,True
TDIC,2026-04-24,98,True
SGMT,2026-04-27,90,True
TDIC,2026-04-27,98,True
BBBY,2026-04-28,90,True
EDSA,2026-04-28,88,True
NEXR,2026-04-28,100,True
ONEG,2026-04-28,98,True
INHD,2026-04-29,100,True
SAGT,2026-04-29,100,True
FATN,2026-04-30,90,True
OSRH,2026-04-30,90,True
BOOM,2026-05-01,88,True
CERS,2026-05-01,90,True
ESPR,2026-05-01,90,True
LABT,2026-05-01,88,True
WTO,2026-05-01,88,True
CNSP,2026-05-04,90,True
RLYB,2026-05-04,88,True
FSEA,2026-05-05,88,True
ONEG,2026-05-05,88,True
PN,2026-05-05,88,True
SDOT,2026-05-05,100,True
ERNA,2026-05-06,88,True
EVC,2026-05-06,90,True
EZGO,2026-05-06,88,True
ATRA,2026-05-07,78,True
HIMX,2026-05-07,90,True
ASYS,2026-05-08,88,True
FNKO,2026-05-08,88,True
