id,symbol,bar_timestamp,timeframe,open_price,high_price,low_price,close_price,volume,vwap,transactions,source,created_at
14457107,AIXI,2026-04-10T08:00:00+00:00,1min,1.27,1.5,1.27,1.39,2116158,,,alpaca,2026-06-29 04:14:34
14457108,AIXI,2026-04-10T08:01:00+00:00,1min,1.39,1.46,1.29,1.4,2443120,,,alpaca,2026-06-29 04:14:34
14457109,AIXI,2026-04-10T08:02:00+00:00,1min,1.4008,1.41,1.38,1.385,246683,,,alpaca,2026-06-29 04:14:34
14457110,AIXI,2026-04-10T08:03:00+00:00,1min,1.385,1.44,1.3401,1.44,409209,,,alpaca,2026-06-29 04:14:34
14457111,AIXI,2026-04-10T08:04:00+00:00,1min,1.43,1.46,1.43,1.445,431392,,,alpaca,2026-06-29 04:14:34
14457112,AIXI,2026-04-10T08:05:00+00:00,1min,1.44,1.45,1.44,1.4496,142296,,,alpaca,2026-06-29 04:14:34
14457113,AIXI,2026-04-10T08:06:00+00:00,1min,1.44,1.45,1.4,1.415,202826,,,alpaca,2026-06-29 04:14:34
14457114,AIXI,2026-04-10T08:07:00+00:00,1min,1.4197,1.4197,1.38,1.39,190129,,,alpaca,2026-06-29 04:14:34
14457115,AIXI,2026-04-10T08:08:00+00:00,1min,1.38,1.45,1.3,1.395,200555,,,alpaca,2026-06-29 04:14:34
14457116,AIXI,2026-04-10T08:09:00+00:00,1min,1.395,1.4,1.37,1.37,87055,,,alpaca,2026-06-29 04:14:34
14457117,AIXI,2026-04-10T08:10:00+00:00,1min,1.37,1.41,1.37,1.41,128688,,,alpaca,2026-06-29 04:14:34
14457118,AIXI,2026-04-10T08:11:00+00:00,1min,1.41,1.43,1.41,1.43,156414,,,alpaca,2026-06-29 04:14:34
14457119,AIXI,2026-04-10T08:12:00+00:00,1min,1.425,1.43,1.42,1.43,92748,,,alpaca,2026-06-29 04:14:34
14457120,AIXI,2026-04-10T08:13:00+00:00,1min,1.43,1.43,1.42,1.43,80979,,,alpaca,2026-06-29 04:14:34
14457121,AIXI,2026-04-10T08:14:00+00:00,1min,1.43,1.43,1.42,1.42,72676,,,alpaca,2026-06-29 04:14:34
14457122,AIXI,2026-04-10T08:15:00+00:00,1min,1.42,1.43,1.41,1.41,70231,,,alpaca,2026-06-29 04:14:34
14457123,AIXI,2026-04-10T08:16:00+00:00,1min,1.41,1.42,1.4,1.4003,83883,,,alpaca,2026-06-29 04:14:34
14457124,AIXI,2026-04-10T08:17:00+00:00,1min,1.41,1.41,1.39,1.39,47723,,,alpaca,2026-06-29 04:14:34
14457125,AIXI,2026-04-10T08:18:00+00:00,1min,1.3996,1.4,1.39,1.3903,40983,,,alpaca,2026-06-29 04:14:34
14457126,AIXI,2026-04-10T08:19:00+00:00,1min,1.4,1.42,1.39,1.415,132330,,,alpaca,2026-06-29 04:14:34
14457127,AIXI,2026-04-10T08:20:00+00:00,1min,1.415,1.43,1.41,1.43,130443,,,alpaca,2026-06-29 04:14:34
14457128,AIXI,2026-04-10T08:21:00+00:00,1min,1.43,1.44,1.42,1.44,164706,,,alpaca,2026-06-29 04:14:34
14457129,AIXI,2026-04-10T08:22:00+00:00,1min,1.44,1.44,1.42,1.42,171845,,,alpaca,2026-06-29 04:14:34
14457130,AIXI,2026-04-10T08:23:00+00:00,1min,1.42,1.425,1.41,1.42,54704,,,alpaca,2026-06-29 04:14:34
14457131,AIXI,2026-04-10T08:24:00+00:00,1min,1.415,1.42,1.41,1.41,37770,,,alpaca,2026-06-29 04:14:34
14457132,AIXI,2026-04-10T08:25:00+00:00,1min,1.41,1.42,1.41,1.415,28353,,,alpaca,2026-06-29 04:14:34
14457133,AIXI,2026-04-10T08:26:00+00:00,1min,1.415,1.42,1.39,1.39,80193,,,alpaca,2026-06-29 04:14:34
