symbol,date,open,high,low,close,volume
GLMD,2026-02-26,0.681,0.69,0.6459,0.65,23487.0
GLMD,2026-02-27,0.62,0.6626,0.6103,0.6115,14279.0
GLMD,2026-03-02,0.59,0.6214,0.56,0.6175,13155.0
GLMD,2026-03-03,0.561,0.6175,0.561,0.6111,4379.0
GLMD,2026-03-04,0.6,0.6017,0.58,0.5876,16677.0
GLMD,2026-03-05,0.6085,0.6402,0.59,0.63,28389.0
GLMD,2026-03-06,0.63,0.692,0.63,0.66,47305.0
GLMD,2026-03-09,0.6589,0.6781,0.6152,0.6153,15662.0
GLMD,2026-03-10,0.599,0.65,0.599,0.6126,6250.0
GLMD,2026-03-11,0.639,0.6585,0.6293,0.632,7235.0
GLMD,2026-03-12,0.64,0.6615,0.623,0.6508,15984.0
GLMD,2026-03-13,0.669,0.669,0.616,0.63,4102.0
GLMD,2026-03-16,0.65,0.679,0.6187,0.6187,8351.0
GLMD,2026-03-17,0.6583,0.679,0.61,0.612,9768.0
GLMD,2026-03-18,0.628,0.628,0.61,0.6117,11482.0
GLMD,2026-03-19,0.591,0.6059,0.58,0.5835,6708.0
GLMD,2026-03-20,0.6199,0.6199,0.58,0.6,4296.0
GLMD,2026-03-23,0.583,0.6343,0.5727,0.5805,107167.0
GLMD,2026-03-24,0.578,0.588,0.5706,0.588,18880.0
GLMD,2026-03-25,0.597,0.615,0.597,0.6,27156.0
GLMD,2026-03-26,0.604,0.604,0.5851,0.5881,4770.0
GLMD,2026-03-27,0.554,0.5706,0.4111,0.5048,27479.0
GLMD,2026-03-30,0.48,0.5162,0.4615,0.475,22394.0
GLMD,2026-03-31,0.5199,0.5199,0.47,0.49,13379.0
GLMD,2026-04-01,0.5249,0.5349,0.48,0.53,36281.0
GLMD,2026-04-02,0.53,0.55,0.492,0.54,11059.0
GLMD,2026-04-06,0.5176,0.5498,0.475,0.521,31467.0
GLMD,2026-04-07,0.52,0.5986,0.5129,0.5701,31601.0
GLMD,2026-04-08,0.633,0.64,0.5739,0.6224,35893.0
GLMD,2026-04-09,1.16,1.26,0.8002,0.8455,73008965.0
QNCX,2026-02-09,1.4,1.463,1.251,1.3,249439.8
QNCX,2026-02-10,2.829,6.52,2.459,5.277,122965430.4
QNCX,2026-02-11,7.151,9.801,5.251,6.1,69355124.5
QNCX,2026-02-12,3.891,4.15,2.212,2.255,10144906.7
QNCX,2026-02-13,2.807,2.976,1.911,2.0,12173522.3
QNCX,2026-02-17,1.738,1.85,1.58,1.85,3871970.8
QNCX,2026-02-18,1.615,2.372,1.593,1.78,11735096.1
QNCX,2026-02-19,1.602,1.697,1.6,1.622,1752471.2
QNCX,2026-02-20,1.517,1.667,1.5,1.501,1714657.8
QNCX,2026-02-23,1.494,1.538,1.348,1.37,1019270.5
