ticker,burst_date,setup_type,burst_change_pct,n_filings_90d,has_fda,uv_days_before,nh_days_before
CYCN,2026-04-01,accumulation_long,323.23,3,False,,
WSHP,2026-04-16,other_edgar,261.07,1,False,,
MYSE,2026-04-16,accumulation_long,228.47,11,False,,
IMMP,2026-04-15,accumulation_long,214.77,12,False,,
ARTL,2026-03-27,earnings_play,210.66,26,False,,
HCAI,2026-04-07,other_edgar,176.41,1,False,,
PFSA,2026-04-06,insider_driven,173.09,29,False,,
BIRD,2026-04-15,insider_driven,167.51,8,False,,
EFOI,2026-04-17,single_catalyst,154.55,4,False,,
ELAB,2026-03-30,accumulation_long,150.89,18,False,6.0,
BFRG,2026-03-30,accumulation_long,145.92,4,False,,
HKIT,2026-03-27,accumulation_long,145.69,3,False,3.0,
RMSG,2026-03-25,accumulation_long,141.96,7,False,,
ONFO,2026-04-16,accumulation_long,140.7,10,False,,
VSA,2026-03-27,accumulation_long,140.35,6,False,1.0,
GLND,2026-03-26,accumulation_long,137.3,8,False,,
MIMI,2026-04-14,accumulation_long,136.55,10,False,,
EEIQ,2026-03-26,accumulation_long,134.06,6,False,,
ROLR,2026-04-14,earnings_play,122.79,16,False,,
FUSE,2026-04-10,accumulation_long,121.18,12,False,,
FCUV,2026-04-06,other_edgar,118.26,2,False,,
OMEX,2026-04-08,insider_driven,116.75,12,False,,
SNAL,2026-04-14,earnings_play,113.08,5,False,,
PMNT,2026-04-14,earnings_play,112.72,10,False,,
AGPU,2026-04-01,earnings_play,111.73,8,False,,
CUE,2026-04-10,earnings_play,107.61,12,False,,
ZDAI,2026-04-17,accumulation_long,106.98,16,False,,
LOBO,2026-04-21,accumulation_long,106.06,11,False,,
PAVS,2026-03-24,accumulation_long,105.23,10,False,,
AUUD,2026-04-23,accumulation_long,105.17,13,False,,
CREG,2026-04-10,other_edgar,104.14,2,False,,
RCT,2026-04-13,accumulation_long,103.51,8,False,,
RDGT,2026-04-07,other_edgar,101.09,2,False,14.0,
CMCT,2026-04-13,earnings_play,97.7,11,False,,
RAYA,2026-04-10,accumulation_long,95.45,12,False,,
SKYQ,2026-04-02,accumulation_long,94.47,10,False,,
FCHL,2026-03-26,accumulation_long,94.15,8,False,,
JEM,2026-04-08,accumulation_long,93.56,6,False,,
GV,2026-04-02,other_edgar,91.56,2,False,,
CMND,2026-04-20,accumulation_long,89.69,36,False,,
ITRM,2026-03-30,clean_momentum,89.61,0,False,,
AGAE,2026-04-15,accumulation_long,86.71,4,False,,
TDIC,2026-04-07,accumulation_long,82.5,5,False,,
COCP,2026-04-02,earnings_play,80.0,17,False,,
JLHL,2026-04-16,accumulation_long,78.57,7,False,,
INHD,2026-04-08,accumulation_long,78.16,7,False,,
YMT,2026-04-09,accumulation_long,77.58,24,False,16.0,
CTNT,2026-04-16,earnings_play,77.09,10,False,1.0,
MGRT,2026-04-01,accumulation_long,75.7,5,False,,
BDRX,2026-04-02,accumulation_long,73.45,38,False,,
EUDA,2026-04-23,accumulation_long,73.01,9,False,,
DKI,2026-04-09,accumulation_long,71.01,13,False,,
ELSE,2026-04-21,insider_driven,69.87,2,False,,
UCAR,2026-04-01,accumulation_long,69.74,11,False,,
ADVB,2026-04-07,accumulation_long,69.54,11,False,,
CPIX,2026-04-23,earnings_play,69.18,18,False,,
MGN,2026-04-07,accumulation_long,69.15,13,False,,
