ticker,category,snapshots,persistence_pct
AA,Upgrades,25,7.861635220125786
AAOI,Insider Selling,2,0.628930817610063
AAOI,New High,15,4.716981132075472
ABNB,Insider Selling,3,0.9433962264150944
ABNB,Upgrades,25,7.861635220125786
ACAD,Upgrades,25,7.861635220125786
ACHR,Insider Selling,2,0.628930817610063
ACHV,Top Losers,12,3.7735849056603774
ACTU,New Low,1,0.3144654088050315
ADMA,Downgrades,25,7.861635220125786
ADMA,New Low,5,1.5723270440251573
ADSK,Downgrades,38,11.949685534591195
ADTN,New High,1,0.3144654088050315
ADTX,New Low,6,1.8867924528301887
ADVB,Top Gainers,7,2.20125786163522
AEHR,Insider Selling,27,8.49056603773585
AEHR,New High,50,15.723270440251572
AEHR,Upgrades,26,8.176100628930817
AEM,Downgrades,14,4.40251572327044
AES,Downgrades,25,7.861635220125786
AFJK,Top Gainers,20,6.289308176100629
AFJK,Top Losers,3,0.9433962264150944
AFL,Insider Selling,11,3.459119496855346
AFYA,Insider Selling,2,0.628930817610063
AGO,Insider Selling,1,0.3144654088050315
AGPU,Top Gainers,10,3.1446540880503147
AGPU,Unusual Volume,10,3.1446540880503147
AGRO,Upgrades,26,8.176100628930817
AGX,New High,25,7.861635220125786
AGX,Top Gainers,19,5.9748427672955975
AGX,Upgrades,26,8.176100628930817
AHMA,Top Losers,6,1.8867924528301887
AIB,Top Gainers,18,5.660377358490567
AIB,Top Losers,1,0.3144654088050315
AIDX,Oversold,300,94.33962264150944
AIDX,Top Losers,1,0.3144654088050315
AIFF,Top Gainers,11,3.459119496855346
AIHS,Top Gainers,1,0.3144654088050315
AIIO,New Low,29,9.119496855345911
AIIO,Top Losers,25,7.861635220125786
AIR,Insider Selling,3,0.9433962264150944
AIRO,Downgrades,26,8.176100628930817
AIRS,Insider Buying,37,11.635220125786164
AIXI,Most Active,48,15.09433962264151
AIXI,Overbought,26,8.176100628930817
AIXI,Top Gainers,59,18.553459119496853
AIXI,Top Losers,40,12.578616352201259
AIXI,Unusual Volume,9,2.8301886792452833
AJG,Upgrades,26,8.176100628930817
AKAM,Downgrades,26,8.176100628930817
AKAN,New Low,14,4.40251572327044
AKTX,New Low,5,1.5723270440251573
AKTX,Top Losers,2,0.628930817610063
ALG,Insider Buying,1,0.3144654088050315
ALG,Insider Selling,1,0.3144654088050315
ALZN,New Low,17,5.345911949685535
AMAL,Insider Selling,2,0.628930817610063
AMD,Upgrades,26,8.176100628930817
AMKR,Upgrades,26,8.176100628930817
AMPG,Top Losers,3,0.9433962264150944
AMS,Oversold,40,12.578616352201259
AMUN,Unusual Volume,1,0.3144654088050315
AMX,Upgrades,26,8.176100628930817
