Symbol,BurstDate,EntryDate,TN,Status,Result,Exit,Trigger,EntryPrice,EntryBar,EntryTime_ES,CumDvol$K,ExitPrice,ExitBar,ExitTime_ES,PnL$,MFE%,MAE%,BurstChange%,BurstHigh,BurstClose,BurstVol$K,RVOL_burst,RVOL_entry,Quality
ANNA,2026-03-24,2026-03-25,1,NO_TRIGGER,NT,,7.7184,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,8.62,6.97,0.0,9.31,0.0,75.0
ANNA,2026-03-24,2026-03-26,2,NO_TRIGGER,NT,,7.1094,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,8.62,7.15,368401.0,9.31,0.0,75.0
ANNA,2026-03-24,2026-03-27,3,TRADED,✗,STRUCTURAL_HL,7.2624,7.5851,4,15:34,1126.0,7.2666,43,16:13,-9.28,15.0,-8.8,0.0,8.62,8.6,368401.0,9.31,0.91,75.0
ANNA,2026-03-24,2026-03-30,4,NO_TRIGGER,NT,,8.6802,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,8.62,10.22,368401.0,9.31,0.0,75.0
ANNA,2026-03-24,2026-03-31,5,NO_TRIGGER,NT,,10.4448,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,8.62,8.3,368401.0,9.31,0.0,75.0
CVV,2026-03-24,2026-03-25,1,TRADED,✓,EOD_EXIT,5.1556,5.1659,544,19:05,1480.0,6.2333,714,21:55,39.56,21.0,-1.3,0.0,5.35,6.2215,39344.0,177.52,18.56,75.0
CVV,2026-03-24,2026-03-26,2,NO_TRIGGER,NT,,6.324,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,5.35,5.3121,0.0,177.52,0.0,75.0
CVV,2026-03-24,2026-03-27,3,TRADED,✗,STRUCTURAL_HL,5.3652,5.5459,5,15:35,19.0,5.2965,11,15:41,-9.98,2.8,-12.5,0.0,5.35,4.918,39344.0,177.52,2.22,75.0
CVV,2026-03-24,2026-03-30,4,NO_TRIGGER,NT,,5.0796,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,5.35,4.54,39344.0,177.52,0.0,75.0
CVV,2026-03-24,2026-03-31,5,NO_TRIGGER,NT,,4.6512,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,5.35,4.04,0.0,177.52,0.0,75.0
FEED,2026-03-24,2026-03-25,1,NO_TRIGGER,NT,,2.2713,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,2.53,2.66,200008.0,324.16,0.0,75.0
FEED,2026-03-24,2026-03-26,2,NO_TRIGGER,NT,,2.6928,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,2.53,2.35,0.0,324.16,0.0,75.0
FEED,2026-03-24,2026-03-27,3,TRADED,✗,STRUCTURAL_HL,2.346,2.4049,4,15:34,252.0,2.3166,13,15:43,-8.33,11.9,-8.2,0.0,2.53,2.5,200008.0,324.16,8.15,75.0
FEED,2026-03-24,2026-03-30,4,TRADED,✓,STRUCTURAL_HL,2.4786,2.4836,5,15:35,82.0,2.5344,11,15:41,3.07,7.5,-6.6,0.0,2.53,2.455,200008.0,324.16,3.09,75.0
FEED,2026-03-24,2026-03-31,5,TRADED,✗,HARD_STOP,2.5092,2.5142,8,15:38,79.0,2.36,32,16:02,-13.18,1.0,-6.1,0.0,2.53,2.415,200008.0,324.16,1.32,75.0
MKDW,2026-03-24,2026-03-25,1,TRADED,✓,STRUCTURAL_HL,3.0853,3.3066,94,15:34,69.0,3.6036,100,15:40,16.82,67.2,-1.7,0.0,3.58,5.24,11654.0,101.67,48.69,75.0
MKDW,2026-03-24,2026-03-26,2,TRADED,✓,STRUCTURAL_HL,5.3346,5.3453,12,15:42,295.0,6.2865,18,15:48,33.83,44.1,-1.2,0.0,3.58,7.699,11654.0,101.67,19.28,75.0
MKDW,2026-03-24,2026-03-27,3,NO_TRIGGER,NT,,7.956,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,3.58,4.885,0.0,101.67,0.0,75.0
MKDW,2026-03-24,2026-03-30,4,NO_TRIGGER,NT,,4.9062,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,3.58,6.24,11654.0,101.67,0.0,75.0
MKDW,2026-03-24,2026-03-31,5,TRADED,✓,STRUCTURAL_HL,6.477,6.503,19,15:49,23.0,6.6429,25,15:55,3.2,9.9,-13.0,0.0,3.58,6.02,11654.0,101.67,2.76,75.0
QNTM,2026-03-24,2026-03-25,1,TRADED,✓,STRUCTURAL_HL,4.7536,4.7996,93,15:34,295.0,5.049,104,15:45,9.23,17.7,-12.3,0.0,4.83,4.57,11587.0,10.31,3.93,75.0
QNTM,2026-03-24,2026-03-26,2,NO_TRIGGER,NT,,4.437,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,4.83,3.77,0.0,10.31,0.0,75.0
QNTM,2026-03-24,2026-03-27,3,TRADED,✓,STRUCTURAL_HL,3.9066,3.998,122,17:32,247.0,4.0293,147,17:57,0.57,24.6,-0.2,0.0,4.83,4.78,11587.0,10.31,1.6,75.0
QNTM,2026-03-24,2026-03-30,4,TRADED,✓,STRUCTURAL_HL,4.8654,5.2805,4,15:34,257.0,5.9994,10,15:40,25.6,22.5,-25.2,0.0,4.83,4.21,11587.0,10.31,8.27,75.0
QNTM,2026-03-24,2026-03-31,5,TRADED,✓,STRUCTURAL_HL,4.3656,4.3743,201,18:51,892.0,4.4055,207,18:57,0.4,11.1,-3.5,0.0,4.83,4.82,11587.0,10.31,1.5,75.0
RBNE,2026-03-24,2026-03-25,1,NO_TRIGGER,NT,,2.1205,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,2.52,2.308,355866.0,101.72,0.0,75.0
RBNE,2026-03-24,2026-03-26,2,TRADED,✓,STRUCTURAL_HL,2.3664,2.4737,94,15:34,2026.0,2.574,111,15:51,7.02,13.2,-16.3,0.0,2.52,2.12,355866.0,101.72,8.14,75.0
RBNE,2026-03-24,2026-03-27,3,NO_TRIGGER,NT,,2.1624,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,2.52,2.4701,355866.0,101.72,0.0,75.0
RBNE,2026-03-24,2026-03-30,4,TRADED,✓,STRUCTURAL_HL,2.5194,2.6342,4,15:34,439.0,2.8809,10,15:40,17.51,12.7,-7.6,0.0,2.52,2.49,355866.0,101.72,3.24,75.0
RBNE,2026-03-24,2026-03-31,5,NO_TRIGGER,NT,,2.5806,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,2.52,2.47,0.0,101.72,0.0,75.0
NXTT,2026-03-25,2026-03-26,1,NO_TRIGGER,NT,,1.7788,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,1.98,1.49,0.0,619.53,0.0,75.0
NXTT,2026-03-25,2026-03-27,2,NO_TRIGGER,NT,,1.5096,0.0,0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,1.98,2.215,72996.0,619.53,0.0,75.0
NXTT,2026-03-25,2026-03-30,3,TRADED,✓,STRUCTURAL_HL,2.244,2.3046,4,15:34,178.0,2.5938,11,15:41,23.87,21.9,-19.7,0.0,1.98,1.995,72996.0,619.53,25.16,75.0
NXTT,2026-03-25,2026-03-31,4,TRADED,✗,STRUCTURAL_HL,2.0502,2.0842,277,20:07,701.0,2.079,283,20:13,-1.49,3.6,-5.5,0.0,1.98,2.1,72996.0,619.53,7.02,75.0
