ticker,last_price,change_percent,volume,signal
RYDE,0.45,155.1,562.85M,Top Gainers
NWGL,5.63,142.67,5.88M,Top Gainers
KWE,11.21,94.62,37.15M,Top Gainers
PTLE,0.37,84.44,400.43M,Top Gainers
APVO,5.13,81.91,124.15M,Top Gainers
LZMH,24.5,53.8,1.01M,Top Gainers
TMC,6.75,24.08,46.83M,Top Gainers
ONEG,4.82,16.19,65.46K,Top Gainers
CRCL,199.59,33.82,60.79M,Top Gainers
CCCMU,16.0,3.76,187.13K,Top Gainers
BASV,25.11,0.16,387.67K,Top Gainers
ADI,229.65,0.97,2.55M,Top Gainers
ARDX,3.61,1.69,4.52M,Top Gainers
HCTI,0.03,19.91,438.11M,Top Gainers
NCLH,18.39,1.43,13.18M,Top Gainers
SWBI,10.88,3.72,1.75M,Top Gainers
