Date,Symbol,Company Name,Type,Split Ratio
2026-01-02,CODX,Co-diagnostics Inc,Reverse,1 for 30
2026-01-02,PAVM,Pavmed Inc,Reverse,1 for 30
2026-01-02,RVYL,Ryvyl Inc,Reverse,1 for 35
2026-01-05,MLEC,Moolec Science SA,Reverse,1 for 15
2026-01-05,BVC,Bitventures Ltd.,Reverse,1 for 10
2026-01-05,ICU,Seastar Medical Holding Corp,Reverse,1 for 10
2026-01-06,ELAB,Pmgc Holdings Inc,Reverse,1 for 4
2026-01-08,ICON,Icon Energy Corp,Reverse,1 for 5
2026-01-08,KUST,Kustom Entertainment Inc,Reverse,1 for 3
2026-01-08,GMEX,Gmex Robotics Corp,Reverse,1 for 8
2026-01-12,AKAN,Akanda Corp,Reverse,1 for 5
2026-01-12,DRCT,Direct Digital Holdings Inc,Reverse,1 for 55.01
2026-01-12,GOVX,Geovax Labs Inc,Reverse,1 for 25
2026-01-12,VSME,Vs Media Holdings Ltd.,Reverse,1 for 20
2026-01-14,VMAR,Vision Marine Technologies Inc,Reverse,1 for 40
2026-01-16,ASBP,Aspire Biopharma Holdings Inc,Reverse,1 for 40
2026-01-16,HUBC,Hub Cyber Security Ltd.,Reverse,1 for 15
2026-01-16,OCG,Oriental Culture Holding Ltd.,Reverse,1 for 219.78
2026-01-20,SXTP,60 Degrees Pharmaceuticals Inc,Reverse,1 for 4
2026-01-20,BTOG,Bit Origin Ltd.,Reverse,1 for 59.99
2026-01-20,FTFT,Future Fintech Group Inc,Reverse,1 for 4
2026-01-20,NVNO,Envveno Medical Corp,Reverse,1 for 35
2026-01-22,DCX,Digital Currency X Technology Inc,Reverse,1 for 12
2026-01-23,SLE,Super League Enterprise Inc,Reverse,1 for 12
2026-01-23,UONE,Urban One Inc,Reverse,1 for 10
2026-01-23,UONEK,Urban One Inc,Reverse,1 for 10
2026-01-23,CCTG,Ccsc Technology International Holdings Ltd.,Reverse,1 for 10
2026-01-26,XXII,22nd Century Group Inc,Reverse,1 for 15
2026-01-26,PCLA,Picocela Inc,Reverse,1 for 30
2026-01-26,MTEN,Mingteng International Corp Inc,Reverse,1 for 200
2026-01-26,NIVF,Newgenivf Group Ltd.,Reverse,1 for 3
2026-01-26,LRHC,La Rosa Holdings Corp,Reverse,1 for 10
2026-01-26,GRI,Gri Bio Inc,Reverse,1 for 28
2026-01-26,CISS,C3is Inc,Reverse,1 for 20
2026-01-26,BNRG,Brenmiller Energy Ltd.,Reverse,1 for 7
2026-01-26,MKDW,Mkdwell Tech Inc,Reverse,1 for 30
2026-01-28,REVB,Revelation Biosciences Inc,Reverse,1 for 4
2026-01-29,BJDX,Bluejay Diagnostics Inc,Reverse,1 for 4
2026-01-30,IBG,Innovation Beverage Group Ltd.,Reverse,1 for 5
2026-02-02,AREB,American Rebel Holdings Inc,Reverse,1 for 20
2026-02-02,ATOS,Atossa Therapeutics Inc,Reverse,1 for 15
2026-02-02,PBM,Psyence Biomedical Ltd.,Reverse,1 for 6.25
2026-02-03,SXTC,China Sxt Pharmaceuticals Inc,Reverse,1 for 149.93
2026-02-03,EDBL,Edible Garden Ag Inc,Reverse,1 for 10
2026-02-04,RVSN,Rail Vision Ltd.,Reverse,1 for 30
2026-02-06,ASST,Strive Inc,Reverse,1 for 20
2026-02-06,PRFX,Prf Technologies Ltd.,Reverse,1 for 5
2026-02-06,RLYB,Rallybio Corp,Reverse,1 for 8
2026-02-06,ADIL,Adial Pharmaceuticals Inc,Reverse,1 for 25
2026-02-09,EDHL,Everbright Digital Holding Ltd.,Reverse,1 for 16
2026-02-09,FCUV,Focus Universal Inc,Reverse,1 for 10
2026-02-09,PFSA,Profusa Inc,Reverse,1 for 75.02
2026-02-09,UGRO,Urban-gro Inc,Reverse,1 for 25
2026-02-10,ANY,Sphere 3d Corp,Reverse,1 for 10
2026-02-10,ATPC,Agape Atp Corp,Reverse,1 for 50
2026-02-10,FGL,Founder Group Ltd.,Reverse,1 for 100
2026-02-10,HCTI,Healthcare Triangle Inc,Reverse,1 for 59.99
2026-02-12,RUBI,Rubico Inc,Reverse,1 for 7.8
2026-02-13,CRE,Cre8 Enterprise Ltd.,Reverse,1 for 12
2026-02-13,FGNX,Fg Nexus Inc,Reverse,1 for 5
2026-02-17,SMX,Smx (security Matters) Public Ltd Co.,Reverse,1 for 4.88
2026-02-17,WTO,Utime Ltd.,Reverse,1 for 5
2026-02-17,INTJ,Intelligent Group Ltd.,Reverse,1 for 20
2026-02-17,NEXR,Nexera Technologies Ltd.,Reverse,1 for 14
2026-02-17,EEIQ,Epicquest Education Group International Ltd.,Reverse,1 for 16
2026-02-18,NDLS,Noodles & Co.,Reverse,1 for 8
2026-02-19,INTS,Intensity Therapeutics Inc,Reverse,1 for 25
2026-02-19,ZDAI,Directbooking Technology Co Ltd.,Reverse,1 for 16
2026-02-19,AURE,Aurelion Inc,Reverse,1 for 10
2026-02-20,ADVB,Advanced Biomed Inc,Reverse,1 for 20
2026-02-20,BYAH,Park Ha Biological Technology Co Ltd.,Reverse,1 for 50
2026-02-23,BTM,Bitcoin Depot Inc,Reverse,1 for 7
2026-02-23,DSY,Big Tree Cloud Holdings Ltd.,Reverse,1 for 20
2026-02-24,TRNR,Interactive Strength Inc,Reverse,1 for 10
2026-02-24,RPGL,Republic Power Group Ltd.,Reverse,1 for 20
2026-02-24,LFWD,Lifeward Ltd.,Reverse,1 for 12
2026-02-25,SVRE,Saverone 2014 Ltd.,Reverse,1 for 4
2026-02-26,FRSX,Foresight Autonomous Holdings Ltd.,Reverse,1 for 3
2026-02-27,IXHL,Incannex Healthcare Inc,Reverse,1 for 30
2026-02-27,PTLE,Ptl Ltd.,Reverse,1 for 80
2026-02-27,SFHG,Samfine Creation Holdings Group Ltd.,Reverse,1 for 5
2026-02-27,VCIG,Vci Global Ltd.,Reverse,1 for 59.99
2026-03-02,ZCMD,Zhongchao Inc,Reverse,1 for 8
2026-03-02,PPBT,Purple Biotech Ltd.,Reverse,1 for 10
2026-03-03,MRDN,Meridian Holdings Inc,Reverse,1 for 12
2026-03-04,SPRC,Scisparc Ltd.,Reverse,1 for 9
2026-03-04,BWAY,Brainsway Ltd.,Forward,2 for 1
2026-03-05,AEHL,Antelope Enterprise Holdings Ltd.,Reverse,1 for 6
2026-03-06,WCT,Wellchange Holdings Co Ltd.,Reverse,1 for 50
2026-03-06,GSIW,Garden Stage Ltd.,Reverse,1 for 200
2026-03-06,TVGN,Tevogen Bio Holdings Inc,Reverse,1 for 50
2026-03-09,ADTX,Aditxt Inc,Reverse,1 for 8
2026-03-09,DCOY,Decoy Therapeutics Inc,Reverse,1 for 12
2026-03-09,RVPH,Reviva Pharmaceuticals Holdings Inc,Reverse,1 for 20
2026-03-10,ARTL,Artelo Biosciences Inc,Reverse,1 for 3
2026-03-10,ELAB,Pmgc Holdings Inc,Reverse,1 for 6
2026-03-10,KIDZ,Classover Holdings Inc,Reverse,1 for 50
2026-03-11,WLDS,Wearable Devices Ltd.,Reverse,1 for 3
2026-03-12,ELPW,Elong Power Holding Ltd.,Reverse,1 for 80
2026-03-12,ZNB,Zeta Network Group,Reverse,1 for 100
2026-03-13,KXIN,Kaixin Holdings,Reverse,1 for 15
2026-03-13,STFS,Star Fashion Culture Holdings Ltd.,Reverse,1 for 40
2026-03-16,SKYQ,Sky Quarry Inc,Reverse,1 for 8
