Rank;"Δ Rank
(1wk)";Security;Industry;Target;Market Cap (MM);Short Float;SI Change (1m %);Float - SI (MM);Days to Cover;Price Momo (1m %);"Shares
Avail. (1K)";Borrow Fee Rate;Short Squeeze Score
1;2  ↑;PTHL / Pheton Holdings Ltd;;;441.18;46.01;20.68;0.17;1.00;37.63;9.00;193.14;99.66
2;3  ↑;"SST / System1, Inc. 
System1 Group PLC es una empresa con sede en el Reino Unido que se especializa en servicios de marketing y publicidad. Fundada en 2000, se ha hecho un hueco en la predicción y mejora de la rentabilidad de la publicidad basada en conocimientos sobre el comportamiento del consumidor. La empresa aprovecha sus herramientas patentadas 'Test Your Ad' y 'FeelMore50' para evaluar la efectividad y el impacto emocional de los anuncios, atendiendo principalmente a clientes que buscan mejorar su retorno de la inversión en marketing. System1 Group opera integrando la ciencia del comportamiento con el análisis de datos para ofrecer diversos servicios, incluido el seguimiento de marcas, la investigación de mercado y la consultoría, enfocándose en optimizar las estrategias de marketing para resonar mejor con las audiencias objetivo, impulsando así el compromiso y las conversiones. Este enfoque integrado ayuda a System1 a mantener su relevancia en la industria publicitaria en rápida evolución.";;;55.62;36.11;-14.20;0.32;1.21;8.22;7.00;20.21;98.07
3;3  ↑;"PLCE / The Children's Place, Inc. 
The Children's Place, Inc., con sede en los Estados Unidos, opera dentro de la industria minorista, enfocándose principalmente en ropa y accesorios para niños. Fundada en 1969, la empresa se ha consolidado como un actor importante en el sector, ofreciendo una variedad de productos que incluyen ropa casual, ropa elegante y calzado para niños desde recién nacidos hasta preadolescentes. A lo largo de los años, The Children's Place ha adoptado una estrategia minorista multicanal, incorporando tiendas físicas y una fuerte presencia en línea. El compromiso de la empresa con la transformación digital es evidente a través de inversiones sustanciales en la mejora de las plataformas en línea y la implementación de un modelo operativo omnicanal integrado. Esta estrategia se centra en gran medida en optimizar la gestión de inventario y la participación del cliente a través de avances tecnológicos.";Tiendas de ropa familiar;;117.66;50.96;-3.91;3.49;4.48;8.80;800.00;14.02;95.92
4;;"CVM / CEL-SCI Corporation 
CEL-SCI Corporation es una empresa de biotecnología con sede en Estados Unidos, específicamente enfocada en innovar productos terapéuticos para el tratamiento del cáncer y enfermedades infecciosas. El proyecto estrella de la empresa es Multikine (Leucocito Interleucina, Inyección), que es una inmunoterapia desarrollada para el tratamiento potencial del cáncer de cabeza y cuello. Multikine tiene como objetivo aprovechar el sistema inmunológico del cuerpo para atacar la enfermedad y se está estudiando en uno de los ensayos clínicos más extensos para el tratamiento del cáncer de cabeza y cuello. CEL-SCI se compromete a ser pionero en nuevas terapias basadas en el sistema inmunológico, enfatizando un enfoque científico que busca activar el sistema inmunológico antes de los tratamientos estándar contra el cáncer como la cirugía, la radiación o la quimioterapia.";Productos biológicos, excepto sustancias de diagnóstico (biotecnología);;24.21;22.93;472.66;5.21;1.00;121.46;0.00;65.11;95.58
5;4  ↑;TIL / Instil Bio, Inc.;Productos biológicos, excepto sustancias de diagnóstico (biotecnología);;192.83;38.65;26.10;1.63;3.35;9.07;100.00;4.71;95.21
6;9  ↑;"STEM / Stem, Inc. 
Stem, Inc., con sede en Estados Unidos, opera predominantemente en el sector energético, centrándose en soluciones inteligentes de almacenamiento de energía y tecnología basada en software. La empresa desempeña un papel fundamental en la evolución del sector de las energías renovables al proporcionar sistemas avanzados de almacenamiento de energía y una plataforma de análisis de software, conocida como Athena, para mejorar la eficiencia y confiabilidad energética. Los proyectos de Stem consisten principalmente en implementar soluciones de almacenamiento de baterías a gran escala y aprovechar el aprendizaje automático para optimizar el uso de energía y reducir costos para empresas y redes. Las colaboraciones clave incluyen asociaciones con proveedores de energía y empresas de tecnología líderes para fomentar la interactividad de la red e incorporar la integración de energías renovables, lo que ejemplifica su compromiso de transformar la forma en que se distribuye y consume la energía a nivel mundial.";Maquinaria, equipos y suministros eléctricos diversos;;125.82;18.48;-13.16;6.40;3.85;77.40;20.00;79.74;94.37
7;10  ↑;SION / Sionna Therapeutics, Inc.;;;874.35;32.54;28.46;7.53;10.22;14.24;70.00;13.46;93.96
8;5  ↑;"AIRS / AirSculpt Technologies, Inc. 
Elite Body Sculpture proporciona un contorno corporal personalizado, impecablemente adaptado a su tipo de cuerpo y al resultado deseado utilizando la tecnología AirSculpt®. Su procedimiento patentado establece el estándar de la industria: ningún resultado de contorno corporal se le acerca. Despierto durante el procedimiento, escuchará música o charlará con un amigo mientras Elite Body Sculpture esculpe la forma de su cuerpo a su gusto específico.";Consultorios y Clínicas de Doctores en Medicina;;371.91;48.52;-20.59;5.93;9.95;13.46;4,100.00;6.30;93.76
9;26  ↑;"HAFN / Hafnia Limited 
Hafnia Limited, con sede en Singapur, opera de manera destacada en la industria naviera y se especializa en el transporte de petróleo y productos derivados del petróleo a nivel mundial. Como empresa líder en buques cisterna, gestiona una de las flotas de buques cisterna para productos petrolíferos más grandes del mundo y proporciona servicios de transporte para estos productos. Los proyectos clave de la compañía a menudo se centran en la expansión de la flota, actualizaciones tecnológicas para mejorar la seguridad y la eficiencia, e iniciativas de sostenibilidad destinadas a reducir el impacto ambiental de sus operaciones. Hafnia se centra estratégicamente en el crecimiento a través de adquisiciones y asociaciones dentro del sector marítimo, con el objetivo de reforzar su presencia en el mercado y sus capacidades de servicio en el transporte internacional de petróleo. Además, Hafnia participa activamente en avances sectoriales como la implementación de tecnologías de combustibles de combustión más limpia para alinearse con los estándares ambientales globales.";Transporte extranjero de carga en aguas profundas;;2,749.20;52.82;13.61;4.82;3.69;7.16;250.00;5.41;93.54
10;4  ↑;DOGZ / Dogness (International) Corporation;Industrias manufactureras diversas;;115.09;31.84;28.16;0.63;1.00;-22.44;7.00;72.72;93.48
