Rank;"Δ Rank
(1wk)";Security;Industry;Target;Market Cap (MM);Short Float;SI Change (1m %);Float - SI (MM);Days to Cover;Price Momo (1m %);"Shares
Avail. (1K)";Borrow Fee Rate;Short Squeeze Score
1;50  ↑;"ZEO / Zeo Energy Corp. 
Zeo Energy Corp. est une société basée aux États-Unis spécialisée dans les solutions résidentielles solaires, d'énergie distribuée et d'efficacité énergétique. Elle opère sur des marchés à faible saturation concurrentielle, proposant la vente, l'installation, l'exploitation et la maintenance de systèmes d'énergie solaire résidentiels et d'autres équipements économes en énergie, servant principalement des clients en Floride, au Texas, en Arkansas et au Missouri.";;;45,19;57,87;2 724,39;0,63;6,90;47,59;45,00;698,46;99,59
2;1  ↓;OSRH / OSR Holdings, Inc.;;;27,18;414,76;-11,69;0,00;1,99;2,26;250,00;247,17;98,48
3;;XTIA / XTI Aerospace, Inc.;;;19,34;23,63;114,71;4,29;0,08;97,63;0,00;90,23;95,29
4;1  ↑;"MODV / ModivCare Inc. 
ModivCare Inc. est une société de services de santé basée aux États-Unis, plus précisément à Denver, au Colorado. Opérant principalement dans le secteur de la santé, ModivCare propose une gamme diversifiée de solutions de soins intégrées conçues pour améliorer les résultats pour les patients et la continuité des soins. Ses services comprennent notamment le transport médical non urgent (NEMT), la surveillance à distance des patients et la livraison de repas nutritionnels, tous destinés à améliorer l'accès aux soins pour les communautés mal desservies. Un aspect clé des opérations de ModivCare est l'accent mis sur l'exploitation de la technologie et de la gestion du réseau pour optimiser la prestation de services et la satisfaction des patients, ce qui en fait un acteur de premier plan dans le secteur de la logistique des soins de santé et des services de soutien. L'entreprise joue un rôle crucial dans la prise en compte des déterminants sociaux de la santé en garantissant que la mobilité et les besoins nutritionnels ne constituent pas des obstacles à l'accès aux soins de santé.";Services de transport;;42,20;31,25;25,35;6,67;0,91;35,22;0,00;275,45;94,88
5;8  ↑;DOGZ / Dogness (International) Corporation;Industries manufacturières diverses;;366,01;15,17;4,57;1,20;0,61;31,01;7,00;49,79;94,59
6;3  ↑;NGNE / Neurogene Inc.;Préparations pharmaceutiques;;295,46;74,05;-16,30;0,84;17,66;4,12;100,00;0,96;93,17
7;5  ↓;"AIRS / AirSculpt Technologies, Inc. 
Elite Body Sculpture, offre un contour du corps personnalisé impeccablement adapté à votre type de corps et au résultat souhaité grâce à la technologie AirSculpt®. Sa procédure brevetée établit la norme de l’industrie : aucun résultat de remodelage corporel ne s’en rapproche. Réveillé pendant la procédure, vous écouterez de la musique ou discuterez avec un ami pendant qu'Elite Body Sculpture sculpte la forme de votre corps selon vos goûts spécifiques.";Cabinets et cliniques des docteurs en médecine;;267,50;61,34;69,79;4,38;6,24;2,68;2 400,00;6,50;93,01
8;10  ↑;TIL / Instil Bio, Inc.;"Produits biologiques, à l&#39;exception des substances diagnostiques (biotechnologies)";;223,95;23,01;11,01;2,04;1,61;55,46;95,00;1,99;92,89
9;2  ↓;MTEN / Mingteng International Corporation Inc.;;;82,62;30,21;-20,40;1,91;28,78;-7,33;5,00;94,14;92,73
10;15  ↑;"HAFN / Hafnia Limited 
Hafnia Limited, basée à Singapour, opère de manière importante dans l'industrie du transport maritime, spécialisée dans le transport de pétrole et de produits pétroliers à l'échelle mondiale. En tant que société pétrolière de premier plan, elle gère l'une des plus grandes flottes de pétroliers au monde et fournit des services de transport pour ces produits. Les projets clés de l'entreprise se concentrent souvent sur l'expansion de la flotte, les mises à niveau technologiques pour améliorer la sécurité et l'efficacité, ainsi que les initiatives de développement durable visant à réduire l'impact environnemental de ses opérations. Hafnia se concentre stratégiquement sur la croissance par le biais d'acquisitions et de partenariats dans le secteur maritime, visant à renforcer sa présence sur le marché et ses capacités de service dans le transport pétrolier international. De plus, Hafnia participe activement aux progrès sectoriels tels que la mise en œuvre de technologies de carburants plus propres pour s'aligner sur les normes environnementales mondiales.";Transport étranger de marchandises en haute mer;;2 693,29;45,86;33,20;5,54;3,58;6,27;150,00;5,49;92,37
11;225  ↑;"LVWR / LiveWire Group, Inc. 
LiveWire Group, Inc., basé aux États-Unis, opère principalement dans l'industrie des véhicules électriques, en se concentrant sur la production et la distribution de motos électriques. En tant que filiale de Harley-Davidson, LiveWire occupe une position unique pour tirer parti d'une technologie de pointe et d'une marque bien établie dans le créneau des sports motorisés électriques. LiveWire a notamment été le fer de lance d'initiatives telles que le lancement de la première moto électrique, LiveWire ONE, qui met l'accent sur la performance associée à des solutions de mobilité durable. L'entreprise vise à accroître sa part de marché et son influence dans la technologie des véhicules électriques en innovant dans la conception, l'expérience du consommateur et les mesures de performance, renforçant ainsi son empreinte sur un marché de plus en plus soucieux de l'environnement.";Motos, vélos et pièces détachées;;1 153,73;19,04;267,83;9,29;1,42;130,06;55,00;530,22;91,75
