Rank;"Δ Rank
(1wk)";Security;Industry;Target;Market Cap (MM);Short Float;SI Change (1m %);Float - SI (MM);Days to Cover;Price Momo (1m %);"Shares
Avail. (1K)";Borrow Fee Rate;Short Squeeze Score
1;25  ↑;"ASST / Asset Entities Inc. 
Asset Entities Inc. er et amerikansk firma, der leverer marketingtjenester på sociale medier på platforme som Discord og TikTok.";Finansydelser;;73,45;93,62;73,21;0,42;7,20;5,56;10,00;588,91;98,86
2;6  ↑;"SST / System1, Inc. 
System1 Group PLC er en britisk-baseret virksomhed med speciale i marketing- og reklametjenester. Grundlagt i 2000, har det skåret en niche i at forudsige og forbedre rentabiliteten af annoncering baseret på forbrugeradfærdsindsigt. Virksomheden udnytter sine proprietære 'Test Your Ad'- og 'FeelMore50'-værktøjer til at vurdere effektiviteten og den følelsesmæssige effekt af reklamer, og henvender sig primært til kunder, der sigter mod at forbedre deres marketing-ROI. System1 Group opererer ved at integrere adfærdsvidenskab med dataanalyse for at tilbyde forskellige tjenester, herunder brandsporing, markedsundersøgelser og rådgivning, med fokus på at optimere marketingstrategier for bedre at få resonans hos målgrupper og derved fremme engagement og konverteringer. Denne integrerede tilgang hjælper System1 med at bevare relevansen i den hastigt udviklende reklamebranche.";;;60,40;17,21;9,42;0,87;2,50;17,61;4,00;34,33;95,37
3;;"KPTI / Karyopharm Therapeutics Inc. 
Karyopharm Therapeutics Inc. er en biofarmaceutisk virksomhed baseret i USA, specifikt med hovedkontor i Newton, Massachusetts. Det opererer primært i medicinalindustrien med fokus på opdagelse, udvikling og kommercialisering af nye terapier til behandling af cancer og andre større sygdomme. Nøglen blandt dets projekter er udviklingen af Selinexor, en første i klassen, oral selektiv hæmmer af nuklear eksport (SINE), som har vist potentiale til behandling af flere kræfttyper. Virksomheden har med succes fremmet denne forbindelse gennem forskellige kliniske forsøg, hvilket har ført til dets FDA-godkendelse til specifikke onkologiske anvendelser. Karyopharm fortsætter med at udvide sin forskning i SINE-teknologi for at udforske terapeutiske potentialer på tværs af en bred vifte af sygdomme.";Farmaceutiske præparater;;52,05;26,86;4,79;5,79;15,85;23,31;55,00;82,24;94,82
4;3  ↑;SCLX / Scilex Holding Company;Biologiske produkter, undtagen diagnostiske stoffer (bioteknologi);;94,23;15,33;1,86;2,47;1,47;41,59;15,00;26,43;93,57
5;1  ↓;BSLK / Bolt Projects Holdings, Inc.;;;16,98;12,73;511,99;1,26;0,02;66,22;0,00;777,76;93,19
6;23  ↑;"HAFN / Hafnia Limited 
Hafnia Limited, der er baseret i Singapore, opererer fremtrædende inden for shippingindustrien med speciale i transport af olie og olieprodukter globalt. Som et førende tankskibsselskab administrerer det en af verdens største flåder af olieprodukttankskibe og leverer transporttjenester for disse råvarer. Virksomhedens nøgleprojekter fokuserer ofte på flådeudvidelse, teknologiske opgraderinger for øget sikkerhed og effektivitet og bæredygtighedsinitiativer, der sigter mod at reducere den miljømæssige påvirkning af virksomhedens drift. Hafnia fokuserer strategisk på vækst gennem opkøb og partnerskaber inden for den maritime sektor med det formål at styrke sin markedstilstedeværelse og servicekapacitet inden for international olietransport. Derudover er Hafnia aktivt involveret i sektorfremskridt som implementering af renere brændende brændstofteknologier for at tilpasse sig globale miljøstandarder.";Udenlandsk dybhavstransport af gods;;2.912,06;52,42;22,63;4,49;4,28;9,87;65,00;3,80;93,04
7;4  ↑;SION / Sionna Therapeutics, Inc.;;;1.074,62;33,38;1,30;7,29;15,61;17,31;100,00;7,89;92,66
8;1  ↑;"MCRB / Seres Therapeutics, Inc. 
Seres Therapeutics, Inc., der er baseret i USA, opererer inden for den bioteknologiske industri med fokus på mikrobiomterapi. Virksomheden er på forkant med at udvikle en ny klasse af biologiske lægemidler designet til at behandle sygdomme ved at genoprette funktionen af et dysbiotisk mikrobiom. Et nøgleprojekt for Seres Therapeutics omfatter dets arbejde med SER-109, et mikrobiom-undersøgelseslægemiddel til forebyggelse af tilbagevendende Clostridioides difficile-infektion (CDI) hos voksne. Dette projekt har vist betydeligt potentiale og har nået fase 3 kliniske forsøg, hvilket understreger dets banebrydende indsats inden for terapeutisk udvikling af mikrobielle konsortier. Derudover udforsker Seres Therapeutics mikrobiom-terapier for tilstande som colitis ulcerosa og har samarbejder med førende medicinalfirmaer for at fremme sin forsknings- og udviklingspipeline.";Farmaceutiske præparater;;169,31;15,55;44,91;5,46;7,21;26,59;0,40;106,62;92,11
9;4  ↓;"STEM / Stem, Inc. 
Stem, Inc., der er baseret i USA, opererer overvejende i energisektoren med fokus på smarte energilagringsløsninger og softwaredrevet teknologi. Virksomheden spiller en central rolle i udviklingen af sektoren for vedvarende energi ved at levere avancerede energilagringssystemer og en softwareanalyseplatform, kendt som Athena, for at forbedre energieffektiviteten og pålideligheden. Stems projekter består overvejende af implementering af batterilagringsløsninger i stor skala og udnyttelse af maskinlæring til at optimere energiforbruget og omkostningsreduktioner for virksomheder og net. Nøglesamarbejder omfatter partnerskaber med førende energiudbydere og teknologivirksomheder for at fremme netinteraktivitet og inkorporere vedvarende integration, hvilket eksemplificerer dets engagement i at transformere, hvordan energi distribueres og forbruges globalt.";Diverse elektriske maskiner, udstyr og forsyninger;;139,92;18,43;-6,58;6,44;4,25;6,71;300,00;45,97;91,89
10;9  ↑;TKNO / Alpha Teknova, Inc.;In vitro og in vivo diagnostiske stoffer;;253,35;28,65;2,57;7,38;19,22;4,94;1.300,00;9,02;91,59
11;12  ↑;"AIRS / AirSculpt Technologies, Inc. 
Elite Body Sculpture, giver tilpasset kropskontur upåklageligt skræddersyet til din kropstype og ønskede resultat ved hjælp af AirSculpt®-teknologi. Dens patenterede procedure sætter industristandarden - ingen kropskonturresultater kommer i nærheden af. Vågen under proceduren vil du lytte til musik eller chatte med en ven, mens Elite Body Sculpture skulpturerer din krops form efter din specifikke smag.";Lægers kontorer og klinikker;;407,09;45,40;-5,21;6,37;7,32;2,68;1.600,00;6,39;91,55
12;6  ↓;TIL / Instil Bio, Inc.;Biologiske produkter, undtagen diagnostiske stoffer (bioteknologi);;182,54;31,34;1,22;2,27;10,04;-0,35;5,00;4,65;91,49
13;3  ↓;ANEB / Anebulo Pharmaceuticals, Inc.;Farmaceutiske præparater;;107,64;12,74;1.082,41;2,97;4,05;17,31;700,00;23,54;91,02
14;1  ↓;YYAI / Connexa Sports Technologies Inc.;Computerprogrammering, databehandling og andre computerrelaterede tjenester;;71,36;14,38;299,62;5,51;5,39;88,91;70,00;25,61;90,83
15;26  ↑;VGAS / Verde Clean Fuels, Inc.;Industrielle organiske kemikalier;;54,85;15,31;-3,79;0,77;23,99;0,49;100,00;8,30;90,81
16;8  ↑;MBX / MBX Biosciences, Inc.;;;480,54;36,57;7,48;9,27;24,91;8,20;300,00;4,61;90,53
17;11  ↑;FLWS / 1-800-FLOWERS.COM, Inc.;Detailbutikker, ikke andetsteds klassificeret;;343,43;102,63;-2,04;0,00;46,51;-7,30;750,00;1,74;90,49
18;9  ↑;RENT / Rent the Runway, Inc.;Erhvervstjenester, ikke andetsteds klassificeret;;22,37;11,91;-10,68;1,79;0,76;15,10;250,00;8,93;90,45
19;2  ↑;UP / Wheels Up Experience Inc.;Lufttransport, ikke-planlagt;;1.516,82;34,05;-27,60;17,86;1,22;23,68;300,00;52,87;90,38
20;5  ↓;GLSI / Greenwich LifeSciences, Inc.;Farmaceutiske præparater;;163,43;16,33;1,36;5,33;28,22;3,52;95,00;18,86;90,33
21;4  ↑;LUCK / Lucky Strike Entertainment Corporation;Forlystelses- og fritidstjenester;;1.499,06;28,84;-18,67;10,15;49,22;2,34;9,00;15,05;90,24
22;4  ↓;CTEV / Claritev Corporation;Erhvervstjenester, ikke andetsteds klassificeret;;1.188,63;16,81;15,28;4,64;10,99;26,34;100,00;2,93;89,77
