Rank;"Δ Rank
(1wk)";Security;Industry;Target;Market Cap (MM);Short Float;SI Change (1m %);Float - SI (MM);Days to Cover;Price Momo (1m %);"Shares
Avail. (1K)";Borrow Fee Rate;Short Squeeze Score
1;94  ↑;MBX / MBX Biosciences, Inc.;;;686,96;28,93;3,96;0,00;0,98;50,23;25,00;26,21;99,20
2;1  ↓;FLYX / flyExclusive, Inc.;;;97,97;23,94;1,87;0,68;5,07;7,16;30,00;44,72;97,46
3;145  ↑;VOR / Vor Biopharma Inc.;Biologiska produkter, utom diagnostiska ämnen (bioteknik);;215,99;34,44;19,60;2,10;0,86;5,13;0,00;116,86;97,14
4;2  ↓;HYPD / Hyperion DeFi, Inc.;Farmaceutiska preparat;;46,63;32,96;61,20;2,77;1,51;9,60;200,00;139,66;96,97
5;2  ↑;NUKK / Nukkleus Inc.;Management konsulttjänster;;30,35;31,95;441,53;2,95;0,54;7,42;250,00;49,68;96,25
6;3  ↓;"SONN / Sonnet BioTherapeutics Holdings, Inc. 
Sonnet BioTherapeutics Holdings, Inc., baserat i USA, är ett bioläkemedelsföretag i klinisk fas som främst fokuserar på utvecklingen av nya riktade biologiska terapier. Företaget använder sin egenutvecklade teknologiplattform Fully Human Albumin Binding (FH AB) för att utveckla sina produktkandidater, som är utformade för att förbättra de terapeutiska effekterna av biologiska läkemedel genom att exakt rikta behandlingar mot sjukdomsplatsen. Bland deras nyckelprojekt är Sonnet BioTherapeutics fokuserat på att utveckla behandlingar inom onkologi och immun-dysfunktionssjukdomar, med flera kandidater i olika stadier av preklinisk och klinisk utveckling. Den innovativa karaktären hos deras plattform ligger i dess potential att förbättra läkemedelseffektiviteten och minska biverkningar genom att optimera läkemedelsleveransen till påverkad vävnad.";Farmaceutiska preparat;;20,70;32,92;19,18;4,56;2,08;25,16;0,00;294,45;96,07
7;8  ↑;"AIRS / AirSculpt Technologies, Inc. 
Elite Body Sculpture, ger anpassade kroppskonturer oklanderligt skräddarsydda för din kroppstyp och önskat resultat med hjälp av AirSculpt®-teknik. Dess patenterade procedur sätter industristandarden – inga kroppskonturresultat kommer i närheten. Vaken under proceduren kommer du att lyssna på musik eller chatta med en vän medan Elite Body Sculpture skulpterar din kroppsform efter din specifika smak.";Läkarmottagningar och kliniker;;454,54;49,83;5,00;5,86;6,27;12,12;650,00;65,70;95,17
8;2  ↓;SCLX / Scilex Holding Company;Biologiska produkter, utom diagnostiska ämnen (bioteknik);;157,06;19,31;17,04;2,35;2,00;20,37;40,00;56,61;95,16
9;7  ↑;"KPTI / Karyopharm Therapeutics Inc. 
Karyopharm Therapeutics Inc. är ett biofarmaceutiskt företag baserat i USA, specifikt med huvudkontor i Newton, Massachusetts. Det verkar främst inom läkemedelsindustrin, med fokus på upptäckt, utveckling och kommersialisering av nya terapier för behandling av cancer och andra stora sjukdomar. Nyckel bland dess projekt är utvecklingen av Selinexor, en förstklassig, oral selektiv hämmare av nukleär export (SINE), som har visat potential vid behandling av flera cancertyper. Företaget har framgångsrikt utvecklat denna förening genom olika kliniska prövningar, vilket leder till dess FDA-godkännande för specifika onkologiska tillämpningar. Karyopharm fortsätter att utöka sin forskning om SINE-teknologi för att utforska terapeutiska potentialer över en mängd olika sjukdomar.";Farmaceutiska preparat;;58,89;27,78;2,78;5,73;12,31;12,17;30,00;74,11;94,47
10;6  ↓;"NEGG / Newegg Commerce, Inc. 
Newegg Commerce, Inc. är en ledande onlineåterförsäljare med huvudkontor i USA, närmare bestämt i City of Industry, Kalifornien. Företaget är specialiserat på hemelektronik och datorhårdvara och vänder sig till teknikentusiaster och allmänna konsumenter genom att erbjuda ett brett utbud av produkter, inklusive datorsystem, komponenter, spelprodukter och andra tekniska relaterade varor. Sedan etableringen har Newegg blivit väl ansedd för sin effektiva e-handelsplattform och kundservice. Nyckelprojekt och initiativ har innefattat att utöka sina logistiktjänster, förbättra användarupplevelsen på sin plattform och ta sig in på internationella marknader för att konkurrera globalt. Företaget betonar innovativa lösningar inom e-handelsteknologi och strävar kontinuerligt efter att möta de föränderliga kraven från teknikkunniga shoppare.";Återförsäljare, ej klassificerade någon annanstans;;874,45;133,20;23,14;0,00;0,17;-19,47;0,00;910,41;94,44
