Date,Open,High,Low,Close,Volume
2025-02-28 14:00:00,0.49,0.49,0.49,0.49,491
2025-02-28 14:20:00,0.47,0.47,0.47,0.47,7556
2025-02-28 14:23:00,0.47,0.47,0.47,0.47,2001
2025-02-28 14:26:00,0.47,0.47,0.47,0.47,2001
2025-02-28 14:34:00,0.47,0.47,0.47,0.47,2001
2025-02-28 14:35:00,0.47,0.47,0.47,0.47,6441
2025-02-28 15:30:00,0.48,0.48,0.48,0.48,2365
2025-02-28 15:34:00,0.48,0.48,0.48,0.48,500
2025-02-28 15:54:00,0.49,0.49,0.49,0.49,1050
2025-02-28 16:16:00,0.49,0.49,0.49,0.49,480
2025-02-28 16:18:00,0.48,0.48,0.48,0.48,500
2025-02-28 16:49:00,0.49,0.49,0.49,0.49,2500
2025-02-28 17:04:00,0.48,0.48,0.48,0.48,100
2025-02-28 17:06:00,0.48,0.48,0.48,0.48,1057
2025-02-28 17:12:00,0.48,0.48,0.48,0.48,128
2025-02-28 17:14:00,0.48,0.48,0.48,0.48,872
2025-02-28 17:22:00,0.48,0.48,0.48,0.48,2500
2025-02-28 17:31:00,0.48,0.48,0.48,0.48,100
2025-02-28 17:37:00,0.48,0.48,0.48,0.48,470
2025-02-28 18:25:00,0.48,0.48,0.48,0.48,1145
2025-02-28 18:51:00,0.48,0.48,0.48,0.48,1984
2025-02-28 18:55:00,0.48,0.48,0.48,0.48,129
2025-02-28 19:31:00,0.48,0.48,0.48,0.48,3786
2025-02-28 20:21:00,0.48,0.48,0.48,0.48,4670
2025-02-28 20:23:00,0.48,0.48,0.48,0.48,2000
2025-02-28 20:26:00,0.48,0.48,0.48,0.48,6341
2025-02-28 20:34:00,0.48,0.48,0.48,0.48,3179
2025-02-28 20:36:00,0.48,0.48,0.48,0.48,2011
2025-02-28 20:37:00,0.47,0.47,0.47,0.47,1000
2025-02-28 20:40:00,0.47,0.47,0.47,0.47,1000
2025-02-28 21:00:00,0.47,0.47,0.47,0.47,4700
2025-02-28 21:05:00,0.47,0.47,0.47,0.47,705
2025-02-28 21:08:00,0.47,0.47,0.47,0.47,192
2025-02-28 21:14:00,0.46,0.46,0.46,0.46,395
2025-02-28 21:22:00,0.46,0.46,0.46,0.46,250
2025-02-28 21:26:00,0.46,0.46,0.46,0.46,1500
2025-02-28 21:32:00,0.46,0.46,0.46,0.46,1043
2025-02-28 21:34:00,0.46,0.46,0.46,0.46,806
2025-02-28 21:37:00,0.46,0.46,0.46,0.46,1485
2025-02-28 21:41:00,0.46,0.46,0.46,0.46,1134
2025-02-28 21:42:00,0.46,0.46,0.46,0.46,1866
2025-02-28 21:48:00,0.45,0.45,0.45,0.45,2500
2025-02-28 21:55:00,0.45,0.45,0.45,0.45,500
2025-03-01 00:09:00,0.49,0.49,0.49,0.49,100
