Date,Open,High,Low,Close,Volume
2025-02-26 15:17:00,0.66,0.66,0.66,0.66,988
2025-02-26 15:30:00,0.65,0.66,0.65,0.66,2004
2025-02-26 16:15:00,0.7,0.7,0.7,0.7,100
2025-02-26 16:42:00,0.68,0.68,0.68,0.68,1100
2025-02-26 16:49:00,0.69,0.69,0.69,0.69,1941
2025-02-26 17:30:00,0.68,0.68,0.68,0.68,392
2025-02-26 17:51:00,0.69,0.69,0.69,0.69,100
2025-02-26 18:31:00,0.69,0.69,0.69,0.69,1000
2025-02-26 18:46:00,0.66,0.66,0.66,0.66,2622
2025-02-26 20:20:00,0.66,0.66,0.66,0.66,361
2025-02-26 20:57:00,0.69,0.69,0.69,0.69,400
2025-02-26 21:11:00,0.69,0.69,0.69,0.69,628
2025-02-26 22:05:00,0.69,0.69,0.69,0.69,4000
2025-02-26 22:06:00,0.69,0.8,0.69,0.73,17942
2025-02-26 22:07:00,0.73,0.79,0.73,0.79,5026
2025-02-26 22:08:00,0.73,0.93,0.73,0.9,51860
2025-02-26 22:09:00,0.9,0.99,0.86,0.99,113486
2025-02-26 22:10:00,0.98,1.12,0.97,1.07,238280
2025-02-26 22:11:00,1.05,1.19,1.05,1.13,275974
2025-02-26 22:12:00,1.17,1.17,1.09,1.13,136774
2025-02-26 22:13:00,1.12,1.13,1.03,1.04,201325
2025-02-26 22:14:00,1.03,1.15,1.01,1.09,245556
2025-02-26 22:15:00,1.09,1.16,1.09,1.1,187299
2025-02-26 22:16:00,1.1,1.15,1.09,1.11,150631
2025-02-26 22:17:00,1.12,1.13,1.07,1.1,81373
2025-02-26 22:18:00,1.12,1.13,1.09,1.13,53381
2025-02-26 22:19:00,1.13,1.15,1.1,1.11,122457
2025-02-26 22:20:00,1.1,1.12,1.07,1.07,62050
2025-02-26 22:21:00,1.07,1.08,1.0,1.05,149144
2025-02-26 22:22:00,1.05,1.1,1.05,1.09,33834
2025-02-26 22:23:00,1.08,1.29,1.06,1.23,207477
2025-02-26 22:24:00,1.23,1.32,1.23,1.29,352305
2025-02-26 22:25:00,1.28,1.32,1.24,1.27,201556
2025-02-26 22:26:00,1.26,1.3,1.25,1.29,119521
2025-02-26 22:27:00,1.28,1.28,1.24,1.24,105917
2025-02-26 22:28:00,1.24,1.38,1.24,1.33,318480
2025-02-26 22:29:00,1.34,1.35,1.29,1.3,132051
2025-02-26 22:30:00,1.29,1.31,1.27,1.3,72936
2025-02-26 22:31:00,1.29,1.31,1.25,1.3,89049
2025-02-26 22:32:00,1.3,1.3,1.21,1.23,104773
2025-02-26 22:33:00,1.24,1.25,1.19,1.19,60264
2025-02-26 22:34:00,1.19,1.24,1.19,1.24,89295
2025-02-26 22:35:00,1.22,1.24,1.19,1.2,43070
2025-02-26 22:36:00,1.2,1.25,1.19,1.23,44097
2025-02-26 22:37:00,1.23,1.31,1.23,1.29,132629
2025-02-26 22:38:00,1.29,1.36,1.28,1.31,180049
2025-02-26 22:39:00,1.31,1.32,1.26,1.29,83277
2025-02-26 22:40:00,1.29,1.34,1.26,1.29,105963
2025-02-26 22:41:00,1.29,1.33,1.24,1.29,112110
2025-02-26 22:42:00,1.29,1.4,1.29,1.4,170315
2025-02-26 22:43:00,1.39,1.44,1.35,1.36,231427
2025-02-26 22:44:00,1.37,1.48,1.36,1.46,199847
2025-02-26 22:45:00,1.44,1.52,1.42,1.47,222869
2025-02-26 22:46:00,1.47,1.51,1.43,1.49,143708
2025-02-26 22:47:00,1.48,1.55,1.43,1.51,195429
2025-02-26 22:48:00,1.51,1.57,1.48,1.48,170875
2025-02-26 22:49:00,1.48,1.55,1.47,1.53,122116
2025-02-26 22:50:00,1.53,1.55,1.47,1.5,124269
2025-02-26 22:51:00,1.5,1.5,1.45,1.46,78841
2025-02-26 22:52:00,1.46,1.52,1.45,1.51,71539
2025-02-26 22:53:00,1.51,1.53,1.48,1.49,81582
2025-02-26 22:54:00,1.49,1.5,1.48,1.48,32863
2025-02-26 22:55:00,1.48,1.49,1.45,1.45,45473
2025-02-26 22:56:00,1.46,1.47,1.45,1.45,38016
2025-02-26 22:57:00,1.46,1.46,1.38,1.38,71018
2025-02-26 22:58:00,1.39,1.4,1.36,1.4,100764
2025-02-26 22:59:00,1.39,1.49,1.39,1.45,112469
2025-02-26 23:00:00,1.46,1.5,1.45,1.47,67182
2025-02-26 23:01:00,1.47,1.5,1.45,1.45,37545
2025-02-26 23:02:00,1.45,1.47,1.43,1.43,21043
2025-02-26 23:03:00,1.43,1.47,1.39,1.42,60501
2025-02-26 23:04:00,1.42,1.44,1.39,1.39,51790
2025-02-26 23:05:00,1.39,1.41,1.39,1.4,17166
2025-02-26 23:06:00,1.41,1.41,1.31,1.32,119105
2025-02-26 23:07:00,1.32,1.37,1.3,1.34,87131
2025-02-26 23:08:00,1.34,1.39,1.34,1.38,30276
2025-02-26 23:09:00,1.38,1.42,1.38,1.4,26803
2025-02-26 23:10:00,1.38,1.41,1.36,1.36,32053
2025-02-26 23:11:00,1.36,1.4,1.35,1.39,22461
2025-02-26 23:12:00,1.39,1.4,1.35,1.35,21798
2025-02-26 23:13:00,1.36,1.36,1.31,1.33,45798
2025-02-26 23:14:00,1.33,1.33,1.28,1.29,97706
2025-02-26 23:15:00,1.28,1.35,1.28,1.34,97038
2025-02-26 23:16:00,1.34,1.34,1.28,1.28,69039
2025-02-26 23:17:00,1.29,1.31,1.29,1.3,68127
2025-02-26 23:18:00,1.31,1.32,1.3,1.3,35663
2025-02-26 23:19:00,1.3,1.31,1.28,1.3,13620
2025-02-26 23:20:00,1.3,1.3,1.28,1.28,28072
