Date,Open,High,Low,Close,Volume
2025-02-26 15:30:00,0.22,0.22,0.22,0.22,2822
2025-02-26 15:49:00,0.22,0.22,0.22,0.22,2693
2025-02-26 16:03:00,0.22,0.22,0.22,0.22,5000
2025-02-26 16:04:00,0.22,0.22,0.22,0.22,100
2025-02-26 16:12:00,0.22,0.22,0.22,0.22,2500
2025-02-26 16:28:00,0.22,0.22,0.22,0.22,220
2025-02-26 16:29:00,0.22,0.22,0.22,0.22,406
2025-02-26 16:32:00,0.22,0.22,0.22,0.22,400
2025-02-26 16:41:00,0.22,0.22,0.22,0.22,800
2025-02-26 16:43:00,0.22,0.22,0.22,0.22,650
2025-02-26 16:46:00,0.22,0.22,0.22,0.22,475
2025-02-26 16:49:00,0.22,0.22,0.21,0.21,55317
2025-02-26 16:50:00,0.22,0.23,0.22,0.23,5208
2025-02-26 16:51:00,0.22,0.22,0.22,0.22,100
2025-02-26 16:54:00,0.22,0.22,0.22,0.22,400
2025-02-26 17:01:00,0.22,0.22,0.22,0.22,400
2025-02-26 17:06:00,0.22,0.22,0.22,0.22,1100
2025-02-26 17:32:00,0.22,0.22,0.22,0.22,5100
2025-02-26 17:55:00,0.22,0.22,0.22,0.22,100
2025-02-26 18:05:00,0.22,0.23,0.22,0.22,2859
2025-02-26 18:06:00,0.22,0.23,0.22,0.23,2313
2025-02-26 18:10:00,0.22,0.23,0.22,0.23,5000
2025-02-26 18:11:00,0.22,0.22,0.22,0.22,100
2025-02-26 18:17:00,0.23,0.23,0.23,0.23,10070
2025-02-26 18:20:00,0.22,0.23,0.22,0.22,6267
2025-02-26 18:37:00,0.22,0.23,0.22,0.22,8855
2025-02-26 18:39:00,0.22,0.22,0.22,0.22,300
2025-02-26 18:50:00,0.22,0.22,0.22,0.22,100
2025-02-26 18:57:00,0.22,0.22,0.22,0.22,400
2025-02-26 19:00:00,0.22,0.22,0.22,0.22,100
2025-02-26 19:11:00,0.22,0.22,0.22,0.22,100
2025-02-26 19:16:00,0.22,0.22,0.22,0.22,500
2025-02-26 19:28:00,0.22,0.22,0.22,0.22,700
2025-02-26 19:31:00,0.22,0.22,0.22,0.22,100
2025-02-26 19:32:00,0.22,0.23,0.22,0.22,5100
2025-02-26 19:41:00,0.22,0.22,0.22,0.22,100
2025-02-26 19:51:00,0.22,0.22,0.22,0.22,100
2025-02-26 20:09:00,0.22,0.23,0.22,0.23,17008
2025-02-26 20:10:00,0.23,0.23,0.23,0.23,13800
2025-02-26 20:11:00,0.23,0.24,0.22,0.24,17787
2025-02-26 20:12:00,0.24,0.24,0.24,0.24,201
2025-02-26 20:13:00,0.24,0.24,0.24,0.24,1000
2025-02-26 20:14:00,0.23,0.24,0.23,0.24,25300
2025-02-26 20:15:00,0.24,0.24,0.23,0.23,18929
2025-02-26 20:16:00,0.23,0.23,0.23,0.23,11743
2025-02-26 20:17:00,0.23,0.24,0.23,0.23,2126
2025-02-26 20:18:00,0.23,0.23,0.23,0.23,26876
2025-02-26 20:20:00,0.23,0.23,0.23,0.23,500
2025-02-26 20:22:00,0.23,0.23,0.23,0.23,50541
2025-02-26 20:29:00,0.23,0.23,0.23,0.23,439
2025-02-26 20:32:00,0.23,0.23,0.23,0.23,104
2025-02-26 20:33:00,0.23,0.23,0.23,0.23,842
2025-02-26 20:34:00,0.23,0.23,0.23,0.23,6600
2025-02-26 20:35:00,0.23,0.23,0.23,0.23,466
2025-02-26 20:36:00,0.23,0.23,0.23,0.23,800
2025-02-26 20:37:00,0.23,0.23,0.23,0.23,45783
