Date,Open,High,Low,Close,Volume
2025-02-26 13:39:00,1.83,1.83,1.83,1.83,100
2025-02-26 14:00:00,1.83,1.83,1.83,1.83,467
2025-02-26 14:13:00,1.92,1.92,1.92,1.92,100
2025-02-26 14:20:00,1.9,1.9,1.9,1.9,140
2025-02-26 15:04:00,1.9,1.9,1.9,1.9,109
2025-02-26 15:30:00,1.84,1.84,1.83,1.84,5382
2025-02-26 15:31:00,1.83,1.83,1.83,1.83,2795
2025-02-26 15:32:00,1.83,1.83,1.77,1.77,4896
2025-02-26 15:38:00,1.72,1.72,1.72,1.72,218
2025-02-26 15:40:00,1.77,1.8,1.77,1.77,5843
2025-02-26 15:47:00,1.72,1.73,1.72,1.72,33010
2025-02-26 15:48:00,1.7,1.72,1.7,1.7,41377
2025-02-26 15:49:00,1.7,1.7,1.7,1.7,1000
2025-02-26 15:50:00,1.7,1.7,1.69,1.69,1224
2025-02-26 15:51:00,1.69,1.7,1.69,1.7,4200
2025-02-26 15:58:00,1.7,1.7,1.7,1.7,620
2025-02-26 15:59:00,1.7,1.7,1.7,1.7,620
2025-02-26 16:04:00,1.7,1.71,1.7,1.71,4000
2025-02-26 16:05:00,1.71,1.71,1.71,1.71,100
2025-02-26 16:06:00,1.71,1.71,1.69,1.69,2600
2025-02-26 16:07:00,1.69,1.7,1.68,1.68,13805
2025-02-26 16:09:00,1.69,1.69,1.69,1.69,1000
2025-02-26 16:10:00,1.68,1.68,1.61,1.62,13071
2025-02-26 16:11:00,1.63,1.65,1.63,1.64,13459
2025-02-26 16:12:00,1.63,1.63,1.6,1.62,6398
2025-02-26 16:13:00,1.61,1.62,1.6,1.61,8444
2025-02-26 16:14:00,1.62,1.62,1.62,1.62,7365
2025-02-26 16:15:00,1.63,1.64,1.63,1.64,1100
2025-02-26 16:16:00,1.64,1.64,1.63,1.63,500
2025-02-26 16:17:00,1.63,1.64,1.63,1.64,3566
2025-02-26 16:18:00,1.64,1.64,1.64,1.64,500
2025-02-26 16:19:00,1.63,1.64,1.63,1.64,1626
2025-02-26 16:21:00,1.63,1.63,1.63,1.63,4235
2025-02-26 16:22:00,1.64,1.64,1.64,1.64,1000
2025-02-26 16:23:00,1.64,1.64,1.64,1.64,1600
2025-02-26 16:25:00,1.63,1.63,1.63,1.63,2000
2025-02-26 16:26:00,1.64,1.64,1.64,1.64,110
2025-02-26 16:30:00,1.64,1.64,1.64,1.64,116
2025-02-26 16:33:00,1.63,1.63,1.63,1.63,5813
2025-02-26 16:34:00,1.62,1.62,1.62,1.62,1600
2025-02-26 16:35:00,1.61,1.61,1.61,1.61,2010
2025-02-26 16:43:00,1.6,1.63,1.6,1.63,5400
2025-02-26 16:47:00,1.63,1.63,1.63,1.63,2110
2025-02-26 16:48:00,1.62,1.62,1.62,1.62,3241
2025-02-26 16:49:00,1.62,1.63,1.62,1.63,1034
2025-02-26 16:51:00,1.64,1.64,1.64,1.64,449
2025-02-26 16:52:00,1.66,1.66,1.66,1.66,2100
2025-02-26 16:53:00,1.67,1.68,1.67,1.67,1900
2025-02-26 16:57:00,1.67,1.67,1.67,1.67,200
2025-02-26 17:01:00,1.64,1.69,1.64,1.68,2210
2025-02-26 17:02:00,1.69,1.69,1.69,1.69,100
2025-02-26 17:14:00,1.69,1.69,1.69,1.69,3800
2025-02-26 17:25:00,1.72,1.74,1.7,1.73,3800
2025-02-26 17:38:00,1.69,1.69,1.69,1.69,362
2025-02-26 17:44:00,1.67,1.67,1.66,1.66,1848
2025-02-26 17:45:00,1.65,1.65,1.65,1.65,8680
2025-02-26 18:00:00,1.64,1.64,1.63,1.63,1067
2025-02-26 18:02:00,1.64,1.66,1.64,1.65,8200
2025-02-26 18:10:00,1.65,1.69,1.65,1.69,2000
2025-02-26 18:11:00,1.67,1.7,1.67,1.68,95300
2025-02-26 18:21:00,1.66,1.66,1.66,1.66,1000
2025-02-26 18:26:00,1.66,1.66,1.66,1.66,500
2025-02-26 18:59:00,1.65,1.67,1.65,1.65,2942
2025-02-26 19:17:00,1.64,1.64,1.64,1.64,200
2025-02-26 19:22:00,1.65,1.65,1.65,1.65,1100
2025-02-26 19:36:00,1.66,1.66,1.66,1.66,200
2025-02-26 19:37:00,1.66,1.66,1.66,1.66,500
2025-02-26 19:41:00,1.68,1.68,1.66,1.66,1900
2025-02-26 19:50:00,1.65,1.65,1.63,1.63,6664
2025-02-26 19:51:00,1.63,1.63,1.63,1.63,300
2025-02-26 19:53:00,1.64,1.64,1.64,1.64,500
2025-02-26 19:54:00,1.64,1.64,1.64,1.64,800
2025-02-26 19:55:00,1.63,1.64,1.63,1.64,1100
2025-02-26 19:59:00,1.63,1.63,1.63,1.63,2429
2025-02-26 20:00:00,1.62,1.62,1.62,1.62,100
2025-02-26 20:04:00,1.62,1.62,1.62,1.62,520
2025-02-26 20:07:00,1.62,1.63,1.62,1.63,2000
2025-02-26 20:08:00,1.63,1.63,1.61,1.61,7952
2025-02-26 20:09:00,1.61,1.62,1.61,1.61,10732
2025-02-26 20:10:00,1.61,1.61,1.6,1.61,8479
2025-02-26 20:11:00,1.61,1.61,1.61,1.61,584
2025-02-26 20:18:00,1.6,1.6,1.55,1.56,15860
2025-02-26 20:19:00,1.56,1.56,1.56,1.56,1089
2025-02-26 20:21:00,1.56,1.56,1.56,1.56,100
2025-02-26 20:34:00,1.55,1.55,1.55,1.55,862
