Date,Open,High,Low,Close,Volume
2025-02-26 15:33:00,3.61,3.65,3.56,3.65,1403
2025-02-26 15:34:00,3.7,3.78,3.64,3.7,1827
2025-02-26 15:36:00,3.73,4.0,3.73,4.0,7014
2025-02-26 15:37:00,3.93,4.0,3.76,3.9,8078
2025-02-26 15:38:00,3.98,3.98,3.73,3.89,9108
2025-02-26 15:39:00,3.88,3.88,3.65,3.76,6824
2025-02-26 15:40:00,3.7,3.73,3.7,3.73,700
2025-02-26 15:41:00,3.71,3.79,3.71,3.79,930
2025-02-26 15:42:00,3.8,3.8,3.8,3.8,1015
2025-02-26 15:43:00,3.77,3.77,3.73,3.73,2250
2025-02-26 15:44:00,3.74,3.77,3.74,3.77,444
2025-02-26 15:45:00,3.83,3.83,3.76,3.8,2018
2025-02-26 15:46:00,3.78,3.82,3.7,3.82,4710
2025-02-26 15:47:00,3.86,3.86,3.86,3.86,1676
2025-02-26 15:48:00,3.78,3.78,3.77,3.78,2112
2025-02-26 15:49:00,3.72,3.76,3.66,3.75,4769
2025-02-26 15:50:00,3.66,3.66,3.65,3.65,400
2025-02-26 15:53:00,3.74,3.8,3.74,3.75,3400
2025-02-26 15:57:00,3.68,3.68,3.68,3.68,525
2025-02-26 16:00:00,3.76,3.76,3.76,3.76,100
2025-02-26 16:07:00,3.75,3.84,3.75,3.84,2165
2025-02-26 16:08:00,3.83,3.9,3.83,3.89,2500
2025-02-26 16:09:00,3.9,3.9,3.83,3.83,7000
2025-02-26 16:10:00,3.89,3.96,3.88,3.95,1713
2025-02-26 16:11:00,3.95,3.96,3.95,3.96,600
2025-02-26 16:13:00,3.92,3.95,3.9,3.9,500
2025-02-26 16:14:00,3.94,3.94,3.94,3.94,100
2025-02-26 16:15:00,3.94,4.0,3.93,4.0,2643
2025-02-26 16:16:00,4.0,4.03,3.92,3.96,3800
2025-02-26 16:17:00,3.99,4.0,3.98,4.0,900
2025-02-26 16:18:00,3.99,4.11,3.95,4.11,1457
2025-02-26 16:19:00,4.09,4.16,4.09,4.16,1178
2025-02-26 16:20:00,4.09,4.09,4.01,4.01,2601
2025-02-26 16:21:00,4.01,4.19,4.01,4.12,2818
2025-02-26 16:22:00,4.12,4.12,4.12,4.12,285
2025-02-26 16:23:00,4.09,4.15,4.09,4.15,868
2025-02-26 16:26:00,4.01,4.1,4.01,4.1,367
2025-02-26 16:28:00,4.15,4.15,4.11,4.11,826
2025-02-26 16:29:00,4.25,4.32,4.18,4.32,1554
2025-02-26 16:30:00,4.28,4.32,4.28,4.32,239
2025-02-26 16:31:00,4.3,4.3,4.3,4.3,216
2025-02-26 16:33:00,4.29,4.29,4.29,4.29,276
2025-02-26 16:35:00,4.3,4.35,4.3,4.35,1068
2025-02-26 16:36:00,4.13,4.25,4.13,4.25,858
2025-02-26 16:37:00,4.36,4.37,4.1,4.3,2604
2025-02-26 16:38:00,4.26,4.28,4.24,4.24,1753
2025-02-26 16:39:00,4.4,4.4,4.4,4.4,1313
2025-02-26 16:40:00,4.29,4.4,4.22,4.22,2477
2025-02-26 16:41:00,4.4,4.4,4.15,4.25,3085
2025-02-26 16:42:00,4.24,4.28,4.23,4.28,2126
2025-02-26 16:43:00,4.33,4.34,4.22,4.22,2558
2025-02-26 16:44:00,4.33,4.49,4.33,4.38,2456
2025-02-26 16:45:00,4.33,4.39,4.29,4.39,2679
2025-02-26 16:46:00,4.3,4.38,4.05,4.05,10581
2025-02-26 16:47:00,4.23,4.29,4.0,4.09,4886
2025-02-26 16:48:00,4.09,4.16,4.05,4.05,2794
2025-02-26 16:49:00,4.05,4.16,4.04,4.15,8300
2025-02-26 16:50:00,4.24,4.24,4.05,4.13,2814
2025-02-26 16:51:00,4.0,4.14,3.92,4.14,3800
2025-02-26 16:52:00,4.0,4.0,3.9,4.0,860
2025-02-26 16:53:00,3.95,3.99,3.89,3.9,4013
2025-02-26 16:54:00,3.98,3.99,3.98,3.99,900
2025-02-26 16:55:00,3.96,3.96,3.96,3.96,6582
2025-02-26 16:56:00,3.99,4.16,3.99,4.14,1469
2025-02-26 16:58:00,4.1,4.1,4.1,4.1,420
2025-02-26 17:00:00,4.14,4.15,4.14,4.15,452
2025-02-26 17:13:00,4.15,4.15,4.15,4.15,237
2025-02-26 17:16:00,4.22,4.22,4.22,4.22,130
2025-02-26 17:18:00,4.22,4.22,4.22,4.22,678
2025-02-26 17:22:00,4.22,4.22,4.22,4.22,400
2025-02-26 17:29:00,4.19,4.19,4.19,4.19,150
2025-02-26 17:33:00,4.2,4.2,4.2,4.2,350
2025-02-26 17:34:00,4.2,4.22,4.17,4.22,1876
2025-02-26 17:35:00,4.18,4.19,4.13,4.13,762
2025-02-26 17:36:00,4.15,4.15,4.15,4.15,652
2025-02-26 17:42:00,4.2,4.2,4.2,4.2,118
2025-02-26 17:50:00,4.18,4.18,4.18,4.18,106
2025-02-26 18:02:00,4.16,4.17,4.16,4.17,536
2025-02-26 18:05:00,4.17,4.17,4.17,4.17,120
2025-02-26 18:27:00,4.2,4.22,4.2,4.21,440
2025-02-26 18:41:00,4.2,4.2,4.2,4.2,202
2025-02-26 18:47:00,4.16,4.16,4.16,4.16,110
2025-02-26 19:23:00,4.16,4.21,4.16,4.17,1956
2025-02-26 19:24:00,4.11,4.11,4.11,4.11,1215
2025-02-26 19:25:00,4.2,4.2,4.2,4.2,1028
2025-02-26 19:28:00,4.21,4.21,4.21,4.21,248
2025-02-26 19:29:00,4.22,4.27,4.22,4.27,580
2025-02-26 19:34:00,4.22,4.22,4.18,4.18,2760
2025-02-26 19:35:00,4.28,4.28,4.28,4.28,2554
2025-02-26 19:37:00,4.26,4.26,4.24,4.24,3255
2025-02-26 19:38:00,4.28,4.28,4.28,4.28,3009
2025-02-26 19:39:00,4.21,4.39,4.17,4.28,3095
2025-02-26 19:40:00,4.22,4.22,4.15,4.15,3388
2025-02-26 19:41:00,4.12,4.12,4.1,4.1,748
2025-02-26 19:42:00,4.1,4.14,4.07,4.07,3072
2025-02-26 19:43:00,4.09,4.1,4.09,4.1,4217
2025-02-26 19:44:00,4.13,4.13,3.95,4.07,5335
2025-02-26 19:45:00,4.06,4.07,3.91,3.91,2660
2025-02-26 19:46:00,3.98,3.98,3.92,3.92,900
2025-02-26 19:47:00,3.97,4.06,3.95,4.06,2740
2025-02-26 19:49:00,4.03,4.03,4.03,4.03,1224
2025-02-26 19:52:00,3.96,4.07,3.96,4.07,1515
2025-02-26 19:53:00,3.95,3.95,3.83,3.87,6348
2025-02-26 19:54:00,3.84,3.95,3.8,3.95,3109
2025-02-26 19:55:00,3.96,3.96,3.96,3.96,562
2025-02-26 19:56:00,3.95,3.95,3.95,3.95,1034
