Date,Open,High,Low,Close,Volume
2025-02-26 15:22:00,5.06,5.06,5.06,5.06,690
2025-02-26 15:30:00,4.82,4.82,4.79,4.79,914
2025-02-26 15:31:00,4.99,4.99,4.99,4.99,134
2025-02-26 15:34:00,4.81,4.81,4.6,4.6,472808
2025-02-26 15:35:00,4.61,4.62,4.5,4.5,81783
2025-02-26 15:36:00,4.62,4.72,4.62,4.72,28167
2025-02-26 15:37:00,4.65,4.68,4.65,4.68,851
2025-02-26 15:40:00,4.72,4.82,4.72,4.82,3531
2025-02-26 15:41:00,4.89,4.9,4.43,4.43,16134
2025-02-26 15:43:00,4.62,4.7,4.57,4.7,1107
2025-02-26 15:44:00,4.78,4.78,4.78,4.78,289
2025-02-26 15:47:00,4.83,4.91,4.81,4.91,7398
2025-02-26 15:48:00,4.89,4.95,4.88,4.92,5577
2025-02-26 15:50:00,4.89,4.89,4.89,4.89,276
2025-02-26 15:51:00,4.98,5.09,4.98,5.09,3105
2025-02-26 15:52:00,5.09,5.18,5.06,5.18,15231
2025-02-26 15:53:00,5.16,5.16,4.8,4.8,2529
2025-02-26 16:05:00,4.92,4.92,4.92,4.92,1000
2025-02-26 16:06:00,5.1,5.17,5.1,5.17,4000
2025-02-26 16:07:00,5.17,5.17,5.17,5.17,234
2025-02-26 16:08:00,5.03,5.03,5.03,5.03,200
2025-02-26 16:10:00,5.1,5.14,5.07,5.1,5502
2025-02-26 16:12:00,5.12,5.13,5.12,5.13,2000
2025-02-26 16:13:00,5.02,5.02,4.91,4.91,11628
2025-02-26 16:14:00,5.0,5.0,5.0,5.0,100
2025-02-26 16:15:00,5.0,5.0,4.96,4.96,550
2025-02-26 16:16:00,4.96,5.01,4.96,4.99,1500
2025-02-26 16:17:00,5.0,5.06,5.0,5.01,1803
2025-02-26 16:18:00,5.03,5.03,5.03,5.03,166
2025-02-26 16:19:00,4.97,4.97,4.88,4.88,686
2025-02-26 16:20:00,4.86,4.86,4.86,4.86,282
2025-02-26 16:23:00,4.92,4.92,4.92,4.92,101
2025-02-26 16:28:00,4.96,5.14,4.96,5.11,1102
2025-02-26 16:29:00,5.04,5.04,5.04,5.04,176
2025-02-26 16:32:00,5.01,5.01,5.01,5.01,614
2025-02-26 16:33:00,5.04,5.04,5.04,5.04,100
2025-02-26 16:36:00,5.05,5.05,5.05,5.05,200
2025-02-26 16:38:00,5.06,5.08,5.06,5.08,2634
2025-02-26 16:41:00,5.1,5.13,5.09,5.13,8119
2025-02-26 16:43:00,5.17,5.17,5.17,5.17,100
2025-02-26 16:44:00,5.14,5.14,5.14,5.14,158
2025-02-26 16:46:00,5.18,5.2,5.18,5.2,4676
2025-02-26 16:47:00,5.19,5.26,5.19,5.24,9753
2025-02-26 16:50:00,5.26,5.26,5.26,5.26,193
2025-02-26 16:51:00,5.26,5.26,5.26,5.26,100
2025-02-26 16:52:00,5.26,5.3,5.26,5.3,1500
2025-02-26 16:53:00,5.3,5.34,5.29,5.29,1937
2025-02-26 16:56:00,5.31,5.31,5.31,5.31,2462
2025-02-26 16:57:00,5.3,5.3,5.3,5.3,560
2025-02-26 16:58:00,5.3,5.3,5.21,5.21,2650
2025-02-26 16:59:00,5.24,5.24,5.16,5.17,7200
2025-02-26 17:00:00,5.17,5.18,4.9,4.91,7983
2025-02-26 17:01:00,4.95,4.95,4.83,4.95,3362
2025-02-26 17:03:00,5.0,5.0,5.0,5.0,236
2025-02-26 17:04:00,5.2,5.2,5.2,5.2,1621
2025-02-26 17:05:00,5.28,5.28,5.28,5.28,200
2025-02-26 17:06:00,5.12,5.12,5.1,5.1,1271
2025-02-26 17:08:00,5.07,5.13,5.0,5.09,2954
2025-02-26 17:09:00,5.09,5.09,5.04,5.04,2303
2025-02-26 17:11:00,5.05,5.05,5.05,5.05,1248
2025-02-26 17:12:00,5.04,5.04,4.93,4.93,10331
2025-02-26 17:13:00,4.94,4.96,4.94,4.96,500
2025-02-26 17:15:00,4.92,4.92,4.85,4.85,954
2025-02-26 17:16:00,4.85,4.87,4.85,4.87,568
2025-02-26 17:17:00,4.92,4.93,4.92,4.93,1287
2025-02-26 17:18:00,4.96,5.1,4.96,5.1,1529
2025-02-26 17:21:00,5.1,5.1,5.1,5.1,130
2025-02-26 17:22:00,5.19,5.19,5.19,5.19,100
2025-02-26 17:28:00,5.18,5.18,5.18,5.18,106
2025-02-26 17:31:00,5.08,5.08,5.06,5.06,1038
2025-02-26 17:40:00,5.1,5.1,5.09,5.1,2288
2025-02-26 17:47:00,5.11,5.11,5.11,5.11,500
2025-02-26 17:48:00,5.11,5.21,5.11,5.17,9660
2025-02-26 17:49:00,5.22,5.22,5.22,5.22,100
2025-02-26 17:54:00,5.13,5.18,5.09,5.17,806
2025-02-26 17:56:00,5.21,5.21,5.21,5.21,200
2025-02-26 18:01:00,5.19,5.26,5.19,5.26,200
2025-02-26 18:06:00,5.27,5.29,5.27,5.28,400
2025-02-26 18:13:00,5.26,5.28,5.21,5.28,5006
2025-02-26 18:16:00,5.18,5.18,5.05,5.05,36839
2025-02-26 18:18:00,5.08,5.08,5.05,5.07,1250
2025-02-26 18:22:00,5.09,5.09,5.07,5.09,400
2025-02-26 18:23:00,5.06,5.06,5.06,5.06,100
2025-02-26 18:27:00,5.06,5.08,5.05,5.08,5972
2025-02-26 18:30:00,5.07,5.07,5.07,5.07,576
2025-02-26 18:31:00,5.05,5.05,5.05,5.05,295
2025-02-26 18:32:00,5.05,5.05,4.93,5.05,7626
2025-02-26 18:33:00,5.02,5.02,5.02,5.02,2900
2025-02-26 18:41:00,5.02,5.06,5.01,5.03,935
2025-02-26 18:46:00,5.01,5.01,4.94,4.94,879
2025-02-26 18:47:00,4.97,4.97,4.97,4.97,175
2025-02-26 18:48:00,5.0,5.0,4.96,4.96,826
2025-02-26 18:49:00,5.01,5.02,5.01,5.02,234
2025-02-26 18:50:00,4.97,4.97,4.97,4.97,2425
2025-02-26 18:51:00,4.85,5.0,4.85,5.0,1756
2025-02-26 18:52:00,4.86,4.86,4.86,4.86,330
2025-02-26 18:53:00,4.98,5.0,4.94,4.94,530
2025-02-26 18:55:00,4.86,5.04,4.86,5.04,800
2025-02-26 19:27:00,4.88,4.96,4.88,4.96,2269
2025-02-26 19:28:00,4.98,5.03,4.98,5.03,993
2025-02-26 19:41:00,4.9,4.9,4.61,4.61,10030
2025-02-26 19:42:00,4.58,4.58,4.52,4.52,2534
2025-02-26 19:43:00,4.62,4.62,4.6,4.6,1555
2025-02-26 19:44:00,4.68,4.7,4.67,4.68,3502
2025-02-26 19:47:00,4.62,4.62,4.62,4.62,300
2025-02-26 19:48:00,4.68,4.68,4.61,4.64,4200
2025-02-26 19:49:00,4.61,4.68,4.61,4.68,4447
2025-02-26 19:53:00,4.59,4.86,4.59,4.86,483738
2025-02-26 19:54:00,4.75,5.0,4.75,5.0,3800
2025-02-26 19:55:00,4.75,4.77,4.75,4.77,400
2025-02-26 19:58:00,4.68,4.7,4.68,4.7,1505
2025-02-26 19:59:00,4.7,4.9,4.7,4.79,3100
2025-02-26 20:01:00,4.92,5.0,4.76,4.76,5300
2025-02-26 20:02:00,4.7,4.7,4.7,4.7,1500
2025-02-26 20:06:00,4.61,4.61,4.61,4.61,200
2025-02-26 20:07:00,4.69,4.69,4.69,4.69,3000
2025-02-26 20:08:00,4.67,4.71,4.67,4.71,406
2025-02-26 20:09:00,4.76,4.76,4.76,4.76,137
2025-02-26 20:11:00,4.85,4.9,4.85,4.9,600
2025-02-26 20:15:00,4.8,4.84,4.72,4.8,4534
2025-02-26 20:24:00,4.76,4.77,4.76,4.77,1316
2025-02-26 20:26:00,4.77,4.77,4.77,4.77,1300
2025-02-26 20:30:00,4.77,4.77,4.77,4.77,250
2025-02-26 20:51:00,4.79,4.79,4.78,4.78,5696
2025-02-26 20:52:00,4.79,4.8,4.79,4.8,3165
2025-02-26 20:53:00,4.8,4.81,4.8,4.8,883
2025-02-26 20:54:00,4.8,4.8,4.8,4.8,2532
2025-02-26 20:56:00,4.85,4.85,4.85,4.85,500
2025-02-26 20:57:00,4.81,4.83,4.8,4.83,2124
2025-02-26 21:01:00,4.8,4.8,4.8,4.8,1241
2025-02-26 21:08:00,4.8,4.8,4.8,4.8,1589
2025-02-26 21:09:00,4.8,4.84,4.8,4.82,3071
2025-02-26 21:14:00,4.88,4.88,4.88,4.88,291
2025-02-26 21:33:00,4.9,4.91,4.88,4.88,1603
