Date,Open,High,Low,Close,Volume
2025-02-25 16:20:00,1.22,1.25,1.21,1.25,1500
2025-02-25 16:22:00,1.25,1.25,1.25,1.25,275
2025-02-25 16:45:00,1.24,1.24,1.24,1.24,1269
2025-02-25 16:51:00,1.25,1.25,1.25,1.25,1051
2025-02-25 17:11:00,1.22,1.22,1.21,1.21,600
2025-02-25 17:12:00,1.21,1.21,1.21,1.21,1000
2025-02-25 17:13:00,1.21,1.21,1.2,1.2,5532
2025-02-25 17:14:00,1.19,1.19,1.17,1.17,500
2025-02-25 17:15:00,1.15,1.15,1.15,1.15,500
2025-02-25 17:16:00,1.17,1.17,1.14,1.14,1001
2025-02-25 17:17:00,1.12,1.13,1.11,1.11,974
2025-02-25 17:18:00,1.13,1.13,1.11,1.11,501
2025-02-25 17:24:00,1.15,1.17,1.15,1.17,1356
2025-02-25 21:14:00,1.16,1.16,1.12,1.12,793
2025-02-25 21:51:00,1.23,1.23,1.23,1.23,100
