Date,Open,High,Low,Close,Volume
2025-02-25 15:25:00,4.89,4.93,4.89,4.93,400
2025-02-25 15:28:00,4.89,4.89,4.89,4.89,380
2025-02-25 15:29:00,4.89,4.89,4.89,4.89,321
2025-02-25 15:30:00,4.97,4.97,4.97,4.97,10187
2025-02-25 15:32:00,4.9,4.9,4.9,4.9,1500
2025-02-25 15:33:00,4.9,4.9,4.9,4.9,1500
2025-02-25 15:40:00,4.81,4.81,4.81,4.81,100
2025-02-25 15:42:00,4.8,4.8,4.8,4.8,322
2025-02-25 15:48:00,4.76,4.85,4.76,4.85,1548
2025-02-25 15:57:00,4.76,4.76,4.76,4.76,230
2025-02-25 15:59:00,4.75,4.75,4.75,4.75,100
2025-02-25 16:00:00,4.8,4.83,4.8,4.83,1786
2025-02-25 16:01:00,4.85,4.97,4.85,4.97,3000
2025-02-25 16:09:00,4.91,4.91,4.91,4.91,105
2025-02-25 16:10:00,4.86,4.86,4.86,4.86,376
2025-02-25 16:12:00,4.8,4.8,4.75,4.76,856
2025-02-25 16:13:00,4.8,4.84,4.8,4.84,2000
2025-02-25 16:26:00,4.76,4.76,4.76,4.76,100
2025-02-25 16:52:00,4.85,4.85,4.85,4.85,100
2025-02-25 17:22:00,4.75,4.75,4.75,4.75,100
2025-02-25 17:43:00,4.75,4.75,4.75,4.75,100
2025-02-25 18:01:00,4.75,4.75,4.75,4.75,100
2025-02-25 18:51:00,4.78,4.78,4.73,4.73,211
2025-02-25 19:15:00,4.73,4.73,4.73,4.73,100
2025-02-25 19:37:00,4.73,4.73,4.73,4.73,100
2025-02-25 20:06:00,4.72,4.72,4.72,4.72,100
2025-02-25 20:31:00,4.72,4.72,4.72,4.72,100
2025-02-25 20:53:00,4.73,4.73,4.73,4.73,100
2025-02-25 21:08:00,4.73,4.73,4.73,4.73,240
2025-02-25 21:12:00,4.72,4.73,4.72,4.73,400
2025-02-25 21:26:00,4.77,4.77,4.77,4.77,300
2025-02-25 21:34:00,4.72,4.72,4.72,4.72,100
2025-02-25 21:35:00,4.72,4.72,4.72,4.72,392
2025-02-25 21:58:00,4.73,4.73,4.72,4.72,295
