symbol,entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,duration_minutes,exit_reason,max_profit_reached,max_drawdown,strategy
ABTC,2025-09-03 16:55:00,2025-09-03 16:56:00,9.9402,9.902,20,-0.7640000000000313,-0.3842981026538905,1,END_OF_DAY,0.0,-0.7640000000000313,macdv_smallcaps
ABTC,2025-09-03 17:30:00,2025-09-03 17:31:00,9.26,9.299,21,0.8189999999999937,0.42116630669546407,1,END_OF_DAY,0.8189999999999937,0.0,macdv_smallcaps
ABTC,2025-09-03 18:37:00,2025-09-03 18:38:00,8.88,8.88,22,0.0,0.0,1,END_OF_DAY,0.0,0.0,macdv_smallcaps
ABTC,2025-09-03 19:54:00,2025-09-03 19:55:00,8.005,7.88,24,-3.0000000000000213,-1.5615240474703418,1,END_OF_DAY,0.0,-3.0000000000000213,macdv_smallcaps
AEHL,2025-09-10 14:34:00,2025-09-10 14:36:00,5.15,4.725,38,-16.150000000000027,-8.252427184466038,2,TRAILING_STOP,0.0,-16.150000000000027,macdv_smallcaps
AEHL,2025-09-10 15:08:00,2025-09-10 15:16:00,4.74,4.5822,42,-6.6275999999999975,-3.3291139240506307,8,TRAILING_STOP,11.339999999999982,-6.6275999999999975,macdv_smallcaps
AEHL,2025-09-10 16:16:00,2025-09-10 16:17:00,4.52,4.69,44,7.480000000000036,3.7610619469026663,1,END_OF_DAY,7.480000000000036,0.0,macdv_smallcaps
AEHL,2025-09-10 16:53:00,2025-09-10 16:54:00,5.7,5.91,35,7.349999999999999,3.6842105263157787,1,END_OF_DAY,7.349999999999999,0.0,macdv_smallcaps
AEHL,2025-09-10 19:06:00,2025-09-10 19:07:00,4.4004,4.25,45,-6.768000000000014,-3.417871102627046,1,END_OF_DAY,0.0,-6.768000000000014,macdv_smallcaps
AEHL,2025-09-10 19:57:00,2025-09-10 19:58:00,4.39,4.39,45,0.0,0.0,1,END_OF_DAY,0.0,0.0,macdv_smallcaps
AIHS,2025-09-03 15:08:00,2025-09-03 15:09:00,6.3101,5.9682,31,-10.598899999999997,-5.4182976497995305,1,TRAILING_STOP,0.0,-10.598899999999997,macdv_smallcaps
AIHS,2025-09-03 16:06:00,2025-09-03 16:07:00,4.7,4.75,42,2.0999999999999925,1.0638297872340496,1,END_OF_DAY,2.0999999999999925,0.0,macdv_smallcaps
AIHS,2025-09-03 18:19:00,2025-09-03 18:20:00,4.45,4.5763,44,5.557199999999984,2.838202247191002,1,END_OF_DAY,5.557199999999984,0.0,macdv_smallcaps
ALTS,2025-09-04 14:33:00,2025-09-04 15:10:00,3.9101,3.7212,51,-9.633899999999992,-4.831078489041197,37,TRAILING_STOP,1.009800000000002,-9.633899999999992,macdv_smallcaps
ALTS,2025-09-04 16:04:00,2025-09-04 16:05:00,4.0314,4.075,49,2.136400000000026,1.0815101453589548,1,END_OF_DAY,2.136400000000026,0.0,macdv_smallcaps
ALTS,2025-09-04 17:18:00,2025-09-04 17:19:00,3.94,3.9788,50,1.9400000000000084,0.9847715736040596,1,END_OF_DAY,1.9400000000000084,0.0,macdv_smallcaps
ALTS,2025-09-04 19:57:00,2025-09-04 19:58:00,3.875,3.88,51,0.25499999999999456,0.1290322580645098,1,END_OF_DAY,0.25499999999999456,0.0,macdv_smallcaps
ALTS,2025-09-05 13:31:00,2025-09-05 14:48:00,3.8962,4.0208,51,6.3546000000000245,3.197987782968026,77,TRAILING_STOP,17.27880000000002,-2.8662000000000014,macdv_smallcaps
ALTS,2025-09-05 15:02:00,2025-09-05 16:00:00,3.9954,4.05,50,2.729999999999988,1.3665715572908743,58,END_OF_DAY,5.730000000000013,0.0,macdv_smallcaps
ALTS,2025-09-05 19:31:00,2025-09-05 19:32:00,4.345,4.345,46,0.0,0.0,1,END_OF_DAY,0.0,0.0,macdv_smallcaps
ALTS,2025-09-05 19:57:00,2025-09-05 19:58:00,4.395,4.395,45,0.0,0.0,1,END_OF_DAY,0.0,0.0,macdv_smallcaps
ASST,2025-09-10 16:36:00,2025-09-10 16:37:00,8.1785,7.8469,24,-7.9583999999999975,-4.054533227364432,1,END_OF_DAY,0.0,-7.9583999999999975,macdv_smallcaps
ASST,2025-09-10 17:44:00,2025-09-10 17:45:00,8.1852,8.4301,24,5.877599999999987,2.9919855348678137,1,END_OF_DAY,5.877599999999987,0.0,macdv_smallcaps
ASST,2025-09-10 18:34:00,2025-09-10 18:35:00,8.66,8.7199,23,1.3777000000000168,0.691685912240203,1,END_OF_DAY,1.3777000000000168,0.0,macdv_smallcaps
ASST,2025-09-10 19:40:00,2025-09-10 19:41:00,7.98,8.16,25,4.499999999999993,2.2556390977443552,1,END_OF_DAY,4.499999999999993,0.0,macdv_smallcaps
BBLG,2025-09-04 15:49:00,2025-09-04 16:00:00,2.75,2.725,72,-1.7999999999999936,-0.9090909090909038,11,END_OF_DAY,5.760000000000005,-4.320000000000004,macdv_smallcaps
BBLG,2025-09-04 17:02:00,2025-09-04 17:03:00,2.88,2.8611,69,-1.3040999999999943,-0.6562500000000027,1,END_OF_DAY,0.0,-1.3040999999999943,macdv_smallcaps
BBLG,2025-09-04 19:11:00,2025-09-04 19:12:00,2.9446,2.93,67,-0.9781999999999815,-0.49582286218839977,1,END_OF_DAY,0.0,-0.9781999999999815,macdv_smallcaps
BBLG,2025-09-04 19:42:00,2025-09-04 19:43:00,3.0617,3.1,65,2.4895,1.2509390208054416,1,END_OF_DAY,2.4895,0.0,macdv_smallcaps
BSLK,2025-09-04 14:49:00,2025-09-04 15:03:00,4.0796,3.8702,49,-10.260600000000002,-5.13285616236886,14,TRAILING_STOP,1.430799999999973,-10.260600000000002,macdv_smallcaps
BSLK,2025-09-04 15:27:00,2025-09-04 15:51:00,4.19,4.24,47,2.3499999999999917,1.193317422434359,24,TRAILING_STOP,14.076499999999964,-0.4935000000000187,macdv_smallcaps
BSLK,2025-09-04 19:57:00,2025-09-04 19:58:00,4.275,4.285,46,0.4599999999999902,0.23391812865496409,1,END_OF_DAY,0.4599999999999902,0.0,macdv_smallcaps
BTBD,2025-09-03 14:36:00,2025-09-03 14:55:00,3.5001,3.3192,57,-10.311300000000017,-5.168423759321172,19,TRAILING_STOP,0.0,-10.311300000000017,macdv_smallcaps
BTBD,2025-09-03 15:20:00,2025-09-03 15:23:00,3.0601,2.88,65,-11.706499999999995,-5.885428580765328,3,TRAILING_STOP,0.0,-11.706499999999995,macdv_smallcaps
BTBD,2025-09-03 18:17:00,2025-09-03 18:18:00,2.9812,2.9701,67,-0.7436999999999925,-0.37233328860860615,1,END_OF_DAY,0.0,-0.7436999999999925,macdv_smallcaps
BTBD,2025-09-03 19:58:00,2025-09-03 19:59:00,2.955,3.02,67,4.354999999999997,2.1996615905245376,1,END_OF_DAY,4.354999999999997,0.0,macdv_smallcaps
BTBT,2025-09-10 15:17:00,2025-09-10 16:00:00,2.995,2.995,66,0.0,0.0,43,END_OF_DAY,1.3661999999999814,-2.739000000000006,macdv_smallcaps
BTBT,2025-09-10 19:57:00,2025-09-10 19:58:00,2.955,2.965,67,0.6699999999999857,0.33840947546530664,1,END_OF_DAY,0.6699999999999857,0.0,macdv_smallcaps
CAMP,2025-09-10 14:46:00,2025-09-10 14:54:00,2.87,2.725,69,-10.005,-5.052264808362372,8,TRAILING_STOP,0.0,-10.005,macdv_smallcaps
CAMP,2025-09-10 15:36:00,2025-09-10 16:00:00,3.0249,3.045,66,1.3265999999999858,0.6644847763562334,24,END_OF_DAY,5.9466000000000045,-5.603400000000013,macdv_smallcaps
CAMP,2025-09-10 16:04:00,2025-09-10 16:05:00,3.065,3.06,65,-0.32499999999999307,-0.16313213703099683,1,END_OF_DAY,0.0,-0.32499999999999307,macdv_smallcaps
CAMP,2025-09-10 16:36:00,2025-09-10 16:37:00,3.1092,3.1581,64,3.1296000000000106,1.572751833269015,1,END_OF_DAY,3.1296000000000106,0.0,macdv_smallcaps
CAMP,2025-09-10 16:44:00,2025-09-10 16:45:00,3.165,3.16,63,-0.3149999999999933,-0.15797788309636074,1,END_OF_DAY,0.0,-0.3149999999999933,macdv_smallcaps
CAMP,2025-09-10 18:44:00,2025-09-10 18:45:00,2.905,2.925,68,1.3600000000000012,0.6884681583476882,1,END_OF_DAY,1.3600000000000012,0.0,macdv_smallcaps
CAMP,2025-09-10 19:57:00,2025-09-10 19:58:00,2.92,2.834,68,-5.84799999999999,-2.945205479452051,1,END_OF_DAY,0.0,-5.84799999999999,macdv_smallcaps
