Date,Open,High,Low,Close,Volume
2025-02-28 14:00:00,0.4,0.4,0.4,0.4,878
2025-02-28 14:02:00,0.44,0.45,0.44,0.45,8609
2025-02-28 14:03:00,0.45,0.51,0.45,0.51,50638
2025-02-28 14:04:00,0.49,0.51,0.46,0.5,45009
2025-02-28 14:05:00,0.5,0.52,0.48,0.51,126847
2025-02-28 14:06:00,0.51,0.51,0.44,0.45,34201
2025-02-28 14:07:00,0.45,0.48,0.44,0.46,31953
2025-02-28 14:08:00,0.46,0.5,0.46,0.48,14139
2025-02-28 14:09:00,0.48,0.48,0.48,0.48,8703
2025-02-28 14:10:00,0.48,0.49,0.45,0.47,21941
2025-02-28 14:11:00,0.47,0.47,0.46,0.46,2287
2025-02-28 14:12:00,0.46,0.46,0.46,0.46,1107
2025-02-28 14:13:00,0.48,0.48,0.47,0.47,10457
2025-02-28 14:14:00,0.48,0.48,0.45,0.45,1602
2025-02-28 14:15:00,0.45,0.46,0.45,0.46,4354
2025-02-28 14:16:00,0.45,0.46,0.45,0.46,3262
2025-02-28 14:17:00,0.45,0.45,0.45,0.45,3697
2025-02-28 14:18:00,0.45,0.45,0.43,0.43,6577
2025-02-28 14:19:00,0.43,0.45,0.43,0.45,15132
2025-02-28 14:20:00,0.45,0.45,0.45,0.45,441
2025-02-28 14:22:00,0.44,0.44,0.43,0.43,1009
2025-02-28 14:23:00,0.45,0.45,0.45,0.45,5075
2025-02-28 14:24:00,0.44,0.44,0.41,0.41,1461
2025-02-28 14:25:00,0.41,0.41,0.41,0.41,5152
2025-02-28 14:26:00,0.42,0.45,0.42,0.42,2908
2025-02-28 14:27:00,0.42,0.42,0.42,0.42,1612
2025-02-28 14:29:00,0.42,0.42,0.42,0.42,2928
2025-02-28 14:30:00,0.42,0.42,0.42,0.42,926
2025-02-28 14:32:00,0.43,0.43,0.43,0.43,1445
2025-02-28 14:33:00,0.43,0.44,0.43,0.44,2231
2025-02-28 14:34:00,0.43,0.43,0.43,0.43,128
2025-02-28 14:35:00,0.43,0.43,0.43,0.43,158
2025-02-28 14:36:00,0.43,0.43,0.43,0.43,217
2025-02-28 14:38:00,0.44,0.44,0.44,0.44,1824
2025-02-28 14:39:00,0.46,0.46,0.46,0.46,1439
2025-02-28 14:42:00,0.44,0.44,0.44,0.44,1050
2025-02-28 14:44:00,0.44,0.44,0.44,0.44,544
2025-02-28 14:47:00,0.44,0.44,0.44,0.44,1237
2025-02-28 14:52:00,0.46,0.46,0.44,0.44,4084
2025-02-28 14:58:00,0.45,0.45,0.45,0.45,7975
2025-02-28 15:00:00,0.45,0.45,0.45,0.45,1505
2025-02-28 15:09:00,0.48,0.48,0.48,0.48,10000
2025-02-28 15:16:00,0.42,0.42,0.42,0.42,2010
2025-02-28 15:17:00,0.42,0.42,0.42,0.42,1500
2025-02-28 15:18:00,0.47,0.47,0.47,0.47,350
2025-02-28 15:20:00,0.42,0.42,0.42,0.42,200
2025-02-28 15:22:00,0.42,0.42,0.42,0.42,577
2025-02-28 15:23:00,0.42,0.42,0.42,0.42,100
2025-02-28 15:24:00,0.42,0.42,0.42,0.42,229
2025-02-28 15:26:00,0.42,0.42,0.42,0.42,200
2025-02-28 15:29:00,0.44,0.44,0.44,0.44,200
2025-02-28 15:30:00,0.43,0.43,0.43,0.43,220
2025-02-28 15:32:00,0.43,0.43,0.43,0.43,520
2025-02-28 15:35:00,0.43,0.43,0.43,0.43,100
2025-02-28 15:36:00,0.44,0.45,0.43,0.45,975
2025-02-28 15:38:00,0.45,0.45,0.45,0.45,500
2025-02-28 15:42:00,0.45,0.46,0.45,0.46,20000
2025-02-28 15:46:00,0.43,0.44,0.43,0.44,750
2025-02-28 15:48:00,0.45,0.46,0.45,0.46,647
2025-02-28 15:50:00,0.44,0.46,0.43,0.46,3349
2025-02-28 15:51:00,0.45,0.46,0.45,0.46,3373
2025-02-28 15:56:00,0.45,0.46,0.45,0.46,475
2025-02-28 15:57:00,0.45,0.46,0.45,0.46,375
2025-02-28 15:58:00,0.45,0.46,0.44,0.45,4452
2025-02-28 15:59:00,0.45,0.45,0.45,0.45,756
2025-02-28 16:00:00,0.45,0.45,0.45,0.45,798
2025-02-28 16:03:00,0.46,0.46,0.46,0.46,2048
2025-02-28 16:05:00,0.44,0.44,0.44,0.44,1000
2025-02-28 16:06:00,0.45,0.45,0.45,0.45,2999
2025-02-28 16:15:00,0.44,0.44,0.44,0.44,1432
2025-02-28 16:16:00,0.44,0.44,0.44,0.44,630
2025-02-28 16:17:00,0.45,0.45,0.45,0.45,300
2025-02-28 16:18:00,0.44,0.45,0.44,0.45,1200
2025-02-28 16:20:00,0.45,0.45,0.45,0.45,2995
2025-02-28 16:28:00,0.44,0.44,0.44,0.44,1000
2025-02-28 16:31:00,0.44,0.44,0.44,0.44,4501
2025-02-28 16:36:00,0.45,0.45,0.44,0.45,9098
2025-02-28 16:43:00,0.44,0.44,0.44,0.44,2565
2025-02-28 16:45:00,0.45,0.45,0.45,0.45,638
2025-02-28 16:50:00,0.45,0.45,0.45,0.45,6022
2025-02-28 16:51:00,0.45,0.45,0.45,0.45,2243
2025-02-28 16:52:00,0.45,0.46,0.45,0.46,11065
2025-02-28 16:53:00,0.46,0.46,0.46,0.46,2140
2025-02-28 16:54:00,0.44,0.44,0.44,0.44,2500
2025-02-28 16:56:00,0.46,0.46,0.46,0.46,680
2025-02-28 16:58:00,0.46,0.46,0.46,0.46,10002
2025-02-28 16:59:00,0.46,0.46,0.46,0.46,15000
2025-02-28 17:00:00,0.46,0.46,0.46,0.46,43097
2025-02-28 17:03:00,0.46,0.46,0.46,0.46,510
2025-02-28 17:05:00,0.46,0.46,0.46,0.46,710
2025-02-28 17:09:00,0.46,0.46,0.46,0.46,100
2025-02-28 17:11:00,0.46,0.46,0.46,0.46,1268
2025-02-28 17:17:00,0.46,0.46,0.46,0.46,600
2025-02-28 17:18:00,0.46,0.46,0.44,0.46,16401
2025-02-28 17:19:00,0.46,0.46,0.46,0.46,15280
2025-02-28 17:21:00,0.46,0.46,0.46,0.46,7238
2025-02-28 17:22:00,0.46,0.46,0.46,0.46,100
2025-02-28 17:25:00,0.46,0.46,0.46,0.46,1489
2025-02-28 17:30:00,0.46,0.46,0.46,0.46,109
2025-02-28 17:32:00,0.46,0.46,0.44,0.44,24330
2025-02-28 17:33:00,0.44,0.44,0.43,0.43,6837
2025-02-28 17:34:00,0.43,0.43,0.43,0.43,400
2025-02-28 17:43:00,0.43,0.43,0.43,0.43,3606
2025-02-28 17:45:00,0.43,0.43,0.43,0.43,4000
2025-02-28 17:46:00,0.43,0.43,0.42,0.42,7001
2025-02-28 17:48:00,0.43,0.43,0.43,0.43,200
2025-02-28 17:52:00,0.43,0.43,0.43,0.43,100
2025-02-28 17:58:00,0.43,0.43,0.43,0.43,700
2025-02-28 18:08:00,0.42,0.42,0.42,0.42,1000
2025-02-28 18:14:00,0.43,0.43,0.42,0.42,1183
2025-02-28 18:36:00,0.42,0.42,0.42,0.42,164
2025-02-28 18:47:00,0.42,0.42,0.42,0.42,4254
2025-02-28 18:48:00,0.43,0.43,0.42,0.42,800
2025-02-28 18:51:00,0.43,0.43,0.43,0.43,2845
2025-02-28 18:52:00,0.42,0.42,0.42,0.42,657
2025-02-28 19:25:00,0.42,0.43,0.4,0.41,10527
2025-02-28 19:26:00,0.41,0.41,0.41,0.41,341
2025-02-28 19:28:00,0.41,0.41,0.41,0.41,100
2025-02-28 19:29:00,0.41,0.41,0.41,0.41,11180
2025-02-28 19:30:00,0.4,0.41,0.4,0.41,300
2025-02-28 19:35:00,0.41,0.41,0.41,0.41,200
2025-02-28 19:37:00,0.41,0.41,0.41,0.41,100
2025-02-28 19:39:00,0.41,0.41,0.41,0.41,1419
2025-02-28 19:42:00,0.41,0.41,0.41,0.41,336
2025-02-28 19:45:00,0.41,0.41,0.41,0.41,100
2025-02-28 19:52:00,0.4,0.4,0.4,0.4,10247
2025-02-28 19:53:00,0.4,0.41,0.4,0.41,3683
2025-02-28 20:29:00,0.41,0.41,0.41,0.41,300
2025-02-28 20:49:00,0.41,0.41,0.41,0.41,800
2025-02-28 21:04:00,0.4,0.4,0.4,0.4,557
2025-02-28 21:05:00,0.42,0.42,0.42,0.42,256
2025-02-28 21:20:00,0.42,0.42,0.42,0.42,8400
2025-02-28 21:21:00,0.42,0.42,0.42,0.42,980
2025-02-28 21:22:00,0.41,0.41,0.41,0.41,3149
2025-02-28 21:50:00,0.42,0.42,0.42,0.42,700
2025-02-28 21:51:00,0.42,0.42,0.42,0.42,1802
2025-02-28 21:52:00,0.42,0.42,0.42,0.42,444
2025-02-28 21:58:00,0.43,0.43,0.43,0.43,3502
2025-02-28 21:59:00,0.43,0.43,0.41,0.41,19190
2025-02-28 22:07:00,0.41,0.41,0.41,0.41,724
2025-02-28 22:10:00,0.41,0.41,0.41,0.41,340
2025-02-28 22:12:00,0.42,0.42,0.42,0.42,4700
2025-02-28 22:18:00,0.41,0.41,0.41,0.41,200
2025-02-28 22:23:00,0.41,0.41,0.41,0.41,2200
2025-02-28 22:29:00,0.41,0.41,0.41,0.41,100
2025-02-28 22:55:00,0.4,0.41,0.4,0.4,10000
2025-02-28 22:56:00,0.4,0.4,0.4,0.4,1118
2025-02-28 22:58:00,0.4,0.4,0.4,0.4,2700
2025-02-28 22:59:00,0.4,0.4,0.4,0.4,10000
2025-02-28 23:08:00,0.4,0.4,0.4,0.4,3000
2025-02-28 23:34:00,0.4,0.4,0.4,0.4,100
2025-02-28 23:39:00,0.42,0.42,0.42,0.42,500
2025-03-01 00:45:00,0.4,0.4,0.4,0.4,12671
2025-03-01 01:16:00,0.4,0.4,0.4,0.4,250
2025-03-01 01:33:00,0.4,0.4,0.4,0.4,300
2025-03-01 01:41:00,0.42,0.42,0.42,0.42,185
2025-03-01 01:42:00,0.42,0.42,0.42,0.42,250
2025-03-01 01:59:00,0.4,0.4,0.4,0.4,1160
