Date,Open,High,Low,Close,Volume
2025-02-26 16:28:00,0.83,0.83,0.83,0.83,117
2025-02-26 16:29:00,0.89,0.9,0.8,0.9,10522
2025-02-26 16:30:00,0.95,0.96,0.88,0.88,1157
2025-02-26 16:31:00,0.92,0.92,0.85,0.85,10126
2025-02-26 16:32:00,0.83,0.85,0.83,0.85,2801
2025-02-26 16:33:00,0.85,0.92,0.85,0.92,25326
2025-02-26 16:34:00,0.93,1.0,0.93,0.94,2214
2025-02-26 16:35:00,0.95,1.0,0.91,0.94,12056
2025-02-26 16:36:00,0.93,1.0,0.84,1.0,11751
2025-02-26 16:37:00,0.85,0.86,0.85,0.86,13181
2025-02-26 16:38:00,0.86,0.86,0.86,0.86,300
2025-02-26 16:45:00,0.87,0.87,0.87,0.87,701
2025-02-26 16:46:00,0.87,0.9,0.87,0.9,500
2025-02-26 17:14:00,0.86,0.86,0.86,0.86,599
2025-02-26 17:45:00,0.83,0.83,0.83,0.83,750
2025-02-26 17:51:00,0.87,0.87,0.79,0.79,1562
2025-02-26 17:52:00,0.8,0.82,0.8,0.82,10500
2025-02-26 17:53:00,0.82,0.88,0.82,0.87,11769
2025-02-26 17:56:00,0.8,0.8,0.8,0.8,200
2025-02-26 17:58:00,0.83,0.83,0.8,0.82,1966
2025-02-26 17:59:00,0.9,0.9,0.9,0.9,100
2025-02-26 18:02:00,0.83,0.83,0.83,0.83,100
2025-02-26 18:08:00,0.84,0.84,0.78,0.8,1912
2025-02-26 18:11:00,0.9,0.9,0.9,0.9,100
2025-02-26 18:16:00,0.81,0.81,0.81,0.81,100
2025-02-26 18:23:00,0.8,0.8,0.8,0.8,253
2025-02-26 18:24:00,0.85,0.85,0.85,0.85,162
2025-02-26 18:35:00,0.8,0.8,0.8,0.8,124
2025-02-26 18:57:00,0.8,0.8,0.8,0.8,100
2025-02-26 18:59:00,0.85,0.85,0.85,0.85,100
2025-02-26 19:02:00,0.85,0.85,0.85,0.85,1586
2025-02-26 19:03:00,0.8,0.85,0.8,0.85,1696
2025-02-26 19:15:00,0.8,0.8,0.8,0.8,100
2025-02-26 19:43:00,0.84,0.84,0.84,0.84,207
2025-02-26 19:48:00,0.84,0.85,0.84,0.85,1107
2025-02-26 19:49:00,0.85,0.85,0.82,0.82,1600
2025-02-26 19:59:00,0.86,0.86,0.86,0.86,100
2025-02-26 20:28:00,0.83,0.83,0.83,0.83,406
2025-02-26 21:26:00,0.83,0.83,0.83,0.83,300
2025-02-26 21:36:00,0.83,0.83,0.83,0.83,429
2025-02-26 21:58:00,0.85,0.85,0.85,0.85,100
2025-02-26 22:11:00,0.81,0.81,0.81,0.81,100
2025-02-26 23:33:00,0.81,0.81,0.81,0.81,150
2025-02-26 23:35:00,0.81,0.81,0.81,0.81,5000
