Date,Open,High,Low,Close,Volume
2025-02-26 15:00:00,1.21,1.5,1.21,1.4,11724
2025-02-26 15:01:00,1.37,1.39,1.34,1.34,1155
2025-02-26 15:02:00,1.43,1.43,1.34,1.42,1559
2025-02-26 15:03:00,1.37,1.37,1.37,1.37,360
2025-02-26 15:04:00,1.38,1.38,1.28,1.28,1668
2025-02-26 15:06:00,1.3,1.3,1.3,1.3,5645
2025-02-26 15:07:00,1.3,1.3,1.29,1.29,1156
2025-02-26 15:08:00,1.3,1.3,1.3,1.3,139
2025-02-26 15:09:00,1.23,1.23,1.23,1.23,260
2025-02-26 15:10:00,1.23,1.23,1.21,1.21,1253
2025-02-26 15:12:00,1.21,1.22,1.2,1.22,833
2025-02-26 15:15:00,1.27,1.27,1.27,1.27,145
2025-02-26 15:16:00,1.33,1.33,1.33,1.33,200
2025-02-26 15:18:00,1.27,1.27,1.27,1.27,1864
2025-02-26 15:21:00,1.27,1.27,1.27,1.27,500
2025-02-26 15:26:00,1.26,1.26,1.26,1.26,150
2025-02-26 15:30:00,1.21,1.25,1.17,1.25,4373
2025-02-26 15:31:00,1.19,1.19,1.19,1.19,685
2025-02-26 15:32:00,1.19,1.2,1.19,1.2,755
2025-02-26 15:33:00,1.16,1.19,1.15,1.15,2350
2025-02-26 15:34:00,1.19,1.19,1.19,1.19,250
2025-02-26 15:35:00,1.19,1.2,1.19,1.2,400
2025-02-26 15:36:00,1.18,1.18,1.18,1.18,1523
2025-02-26 15:37:00,1.17,1.17,1.17,1.17,576
2025-02-26 15:40:00,1.2,1.2,1.16,1.17,10146
2025-02-26 15:41:00,1.18,1.18,1.18,1.18,150
2025-02-26 15:42:00,1.2,1.2,1.2,1.2,100
2025-02-26 15:43:00,1.19,1.19,1.19,1.19,250
2025-02-26 15:44:00,1.2,1.2,1.2,1.2,100
2025-02-26 15:47:00,1.2,1.2,1.2,1.2,339
2025-02-26 15:49:00,1.23,1.23,1.23,1.23,1000
2025-02-26 15:50:00,1.26,1.26,1.24,1.24,2000
2025-02-26 15:52:00,1.24,1.24,1.22,1.24,1203
2025-02-26 15:53:00,1.24,1.24,1.24,1.24,201
