Date,Open,High,Low,Close,Volume
2025-02-25 15:32:00,1.36,1.36,1.36,1.36,520
2025-02-25 15:38:00,1.59,1.59,1.59,1.59,1000
2025-02-25 16:10:00,1.57,1.57,1.57,1.57,291
2025-02-25 16:12:00,1.56,1.56,1.56,1.56,186
2025-02-25 16:51:00,1.52,1.52,1.52,1.52,418
2025-02-25 17:12:00,1.37,1.37,1.37,1.37,418
2025-02-25 17:21:00,1.46,1.46,1.46,1.46,1000
2025-02-25 18:42:00,1.37,1.4,1.3,1.3,24347
2025-02-25 18:43:00,1.3,1.3,1.3,1.3,5832
2025-02-25 18:44:00,1.3,1.3,1.3,1.3,600
2025-02-25 19:43:00,1.29,1.29,1.29,1.29,105
2025-02-25 19:58:00,1.29,1.29,1.29,1.29,100
2025-02-25 20:16:00,1.29,1.29,1.21,1.22,1206
2025-02-25 20:17:00,1.22,1.22,1.21,1.21,1010
2025-02-25 20:55:00,1.2,1.2,1.2,1.2,100
2025-02-25 21:15:00,1.22,1.22,1.22,1.22,202
2025-02-25 22:36:00,1.25,1.25,1.25,1.25,1927
2025-02-26 01:55:00,1.2,1.2,1.2,1.2,200
2025-02-26 01:56:00,1.2,1.2,1.2,1.2,794
