Date,Open,High,Low,Close,Volume
2025-02-28 15:30:00,1.8,1.84,1.8,1.84,1136
2025-02-28 15:32:00,1.82,1.82,1.79,1.8,550
2025-02-28 15:34:00,1.83,1.84,1.7,1.7,15997
2025-02-28 16:06:00,1.8,1.8,1.8,1.8,100
2025-02-28 16:59:00,1.79,1.79,1.78,1.79,773
2025-02-28 17:06:00,1.71,1.71,1.71,1.71,100
2025-02-28 19:06:00,1.76,1.76,1.76,1.76,199
2025-02-28 19:50:00,1.72,1.72,1.72,1.72,700
2025-02-28 19:52:00,1.72,1.72,1.72,1.72,217
2025-02-28 21:35:00,1.72,1.72,1.72,1.72,1000
2025-02-28 21:36:00,1.74,1.74,1.74,1.74,113
2025-02-28 21:38:00,1.75,1.75,1.75,1.75,558
2025-02-28 21:59:00,1.75,1.79,1.74,1.76,4740
