Date,Open,High,Low,Close,Volume
2025-02-26 10:08:00,3.94,3.94,3.94,3.94,200
2025-02-26 10:21:00,3.95,3.95,3.95,3.95,153
2025-02-26 14:05:00,3.52,3.52,3.52,3.52,509
2025-02-26 14:55:00,3.89,3.89,3.89,3.89,330
2025-02-26 15:24:00,3.55,3.55,3.5,3.5,356
2025-02-26 15:25:00,3.5,3.5,3.5,3.5,1866
2025-02-26 15:26:00,3.5,3.5,3.49,3.49,3385
2025-02-26 15:27:00,3.49,3.5,3.49,3.5,752
2025-02-26 15:28:00,3.42,3.42,3.38,3.38,1757
2025-02-26 15:29:00,3.32,3.32,3.32,3.32,248
2025-02-26 15:30:00,3.3,3.37,3.01,3.02,179182
2025-02-26 15:31:00,3.02,3.03,2.98,2.98,17925
2025-02-26 15:36:00,3.0,3.0,2.94,2.94,61714
2025-02-26 15:37:00,2.94,2.94,2.86,2.92,56691
2025-02-26 15:38:00,2.94,2.95,2.89,2.92,26282
2025-02-26 15:39:00,2.91,2.91,2.78,2.82,102105
2025-02-26 15:40:00,2.82,2.87,2.82,2.86,31556
2025-02-26 15:41:00,2.85,2.85,2.81,2.81,21661
2025-02-26 15:42:00,2.81,2.81,2.68,2.74,71083
2025-02-26 15:43:00,2.73,2.75,2.71,2.71,43864
2025-02-26 15:44:00,2.71,2.74,2.7,2.72,20170
2025-02-26 15:45:00,2.71,2.76,2.7,2.75,14944
2025-02-26 15:46:00,2.76,2.81,2.75,2.81,18594
2025-02-26 15:47:00,2.8,2.8,2.76,2.76,16281
2025-02-26 15:48:00,2.76,2.76,2.72,2.72,25235
2025-02-26 15:49:00,2.72,2.78,2.72,2.75,15501
2025-02-26 15:50:00,2.74,2.75,2.72,2.73,16357
2025-02-26 15:51:00,2.73,2.8,2.72,2.8,26862
2025-02-26 15:52:00,2.8,2.84,2.77,2.84,93391
2025-02-26 15:53:00,2.84,2.84,2.77,2.79,50284
2025-02-26 15:54:00,2.77,2.8,2.76,2.76,23466
2025-02-26 15:55:00,2.78,2.88,2.77,2.84,89825
2025-02-26 15:56:00,2.86,2.93,2.86,2.87,41787
2025-02-26 15:57:00,2.85,2.88,2.83,2.86,37088
2025-02-26 15:58:00,2.84,2.88,2.82,2.85,68946
2025-02-26 15:59:00,2.82,2.87,2.82,2.87,96402
2025-02-26 16:00:00,2.87,2.91,2.86,2.9,21021
2025-02-26 16:01:00,2.9,2.96,2.9,2.96,47319
2025-02-26 16:02:00,2.96,2.97,2.96,2.97,28858
2025-02-26 16:03:00,2.97,2.97,2.92,2.92,7899
2025-02-26 16:04:00,2.92,2.92,2.89,2.9,9539
2025-02-26 16:05:00,2.9,2.9,2.88,2.9,8114
2025-02-26 16:06:00,2.9,2.91,2.88,2.91,6628
2025-02-26 16:07:00,2.9,2.91,2.9,2.91,730
2025-02-26 16:08:00,2.9,2.9,2.9,2.9,19279
2025-02-26 16:09:00,2.9,2.92,2.9,2.92,5786
2025-02-26 16:10:00,2.92,2.92,2.91,2.91,1468
2025-02-26 16:11:00,2.9,2.91,2.9,2.91,6493
2025-02-26 16:12:00,2.9,2.92,2.9,2.92,9778
2025-02-26 16:13:00,2.92,2.92,2.92,2.92,8757
2025-02-26 16:14:00,2.92,2.92,2.9,2.91,6765
2025-02-26 16:15:00,2.91,2.91,2.9,2.9,2144
2025-02-26 16:16:00,2.91,2.92,2.9,2.92,11291
2025-02-26 16:17:00,2.92,2.92,2.91,2.91,1517
2025-02-26 16:18:00,2.92,2.93,2.92,2.93,11400
2025-02-26 16:19:00,2.92,2.92,2.92,2.92,18717
2025-02-26 16:20:00,2.92,2.92,2.92,2.92,832
2025-02-26 16:21:00,2.92,2.92,2.92,2.92,4741
2025-02-26 16:22:00,2.92,2.93,2.9,2.92,24991
2025-02-26 16:23:00,2.92,2.92,2.91,2.92,2191
2025-02-26 16:24:00,2.92,2.92,2.89,2.9,33524
2025-02-26 16:25:00,2.91,2.91,2.89,2.9,26777
2025-02-26 16:26:00,2.9,2.9,2.89,2.9,1256
2025-02-26 16:27:00,2.9,2.9,2.89,2.9,7793
2025-02-26 16:28:00,2.9,2.9,2.9,2.9,15188
2025-02-26 16:29:00,2.9,2.9,2.9,2.9,28121
2025-02-26 16:30:00,2.9,2.9,2.89,2.9,28112
2025-02-26 16:31:00,2.9,2.9,2.89,2.9,70187
2025-02-26 16:32:00,2.9,2.91,2.9,2.9,10725
2025-02-26 16:33:00,2.91,2.91,2.91,2.91,643
2025-02-26 16:34:00,2.9,2.91,2.9,2.9,11891
2025-02-26 16:35:00,2.9,2.9,2.9,2.9,8352
2025-02-26 16:36:00,2.9,2.9,2.9,2.9,8343
2025-02-26 16:37:00,2.9,2.91,2.9,2.9,3314
2025-02-26 16:38:00,2.9,2.9,2.9,2.9,2857
2025-02-26 16:39:00,2.9,2.9,2.9,2.9,2138
2025-02-26 16:40:00,2.9,2.91,2.9,2.9,11062
2025-02-26 16:41:00,2.9,2.91,2.9,2.9,7886
2025-02-26 16:42:00,2.9,2.9,2.9,2.9,15556
2025-02-26 16:43:00,2.9,2.91,2.9,2.9,15371
2025-02-26 16:44:00,2.9,2.91,2.9,2.9,9214
2025-02-26 16:45:00,2.9,2.96,2.9,2.96,93637
2025-02-26 16:46:00,2.96,2.96,2.96,2.96,4629
2025-02-26 16:47:00,2.96,2.96,2.94,2.95,25305
2025-02-26 16:48:00,2.95,2.95,2.94,2.95,3728
2025-02-26 16:49:00,2.94,2.96,2.94,2.96,11531
2025-02-26 16:50:00,2.95,2.96,2.95,2.96,8976
2025-02-26 16:51:00,2.96,2.96,2.9,2.92,19204
2025-02-26 16:52:00,2.93,2.94,2.93,2.94,7305
2025-02-26 16:53:00,2.93,2.94,2.93,2.94,708
2025-02-26 16:54:00,2.94,2.95,2.94,2.94,5004
2025-02-26 16:55:00,2.95,2.95,2.95,2.95,2052
2025-02-26 16:56:00,2.95,2.97,2.95,2.97,10837
2025-02-26 16:57:00,2.97,2.98,2.97,2.97,5163
2025-02-26 16:58:00,2.97,2.98,2.97,2.98,2550
2025-02-26 16:59:00,2.98,2.98,2.98,2.98,603
2025-02-26 17:00:00,2.98,2.98,2.96,2.96,2036
2025-02-26 17:01:00,2.96,2.96,2.96,2.96,553
2025-02-26 17:02:00,2.97,2.97,2.93,2.95,28247
2025-02-26 17:03:00,2.95,2.95,2.94,2.94,20449
2025-02-26 17:04:00,2.94,2.96,2.94,2.95,21804
2025-02-26 17:05:00,2.95,2.96,2.95,2.96,3999
2025-02-26 17:06:00,2.96,2.97,2.95,2.95,11286
2025-02-26 17:07:00,2.95,2.96,2.95,2.95,1213
2025-02-26 17:08:00,2.95,2.95,2.94,2.94,6554
2025-02-26 17:09:00,2.94,2.94,2.93,2.94,4714
2025-02-26 17:10:00,2.94,2.94,2.92,2.94,14041
2025-02-26 17:11:00,2.94,2.94,2.93,2.94,2519
2025-02-26 17:12:00,2.93,2.94,2.93,2.94,1682
2025-02-26 17:13:00,2.93,2.94,2.93,2.94,7352
2025-02-26 17:14:00,2.94,2.94,2.93,2.94,8693
2025-02-26 17:15:00,2.93,2.94,2.9,2.9,25218
2025-02-26 17:16:00,2.9,2.95,2.89,2.94,92793
2025-02-26 17:17:00,2.94,2.94,2.94,2.94,10299
2025-02-26 17:18:00,2.94,2.94,2.9,2.92,31724
2025-02-26 17:19:00,2.91,2.94,2.9,2.92,43158
2025-02-26 17:20:00,2.92,2.92,2.91,2.91,2174
