Date,Open,High,Low,Close,Volume
2025-02-26 12:01:00,3.77,3.77,3.77,3.77,1201
2025-02-26 12:30:00,3.88,3.88,3.88,3.88,308
2025-02-26 12:33:00,3.95,3.95,3.95,3.95,215
2025-02-26 12:34:00,4.0,4.0,4.0,4.0,363
2025-02-26 12:44:00,4.0,4.0,3.95,3.95,878
2025-02-26 12:47:00,4.0,4.0,3.95,3.95,10603
2025-02-26 12:49:00,3.88,3.9,3.88,3.9,5000
2025-02-26 12:51:00,3.89,3.89,3.89,3.89,100
2025-02-26 13:00:00,3.86,3.86,3.86,3.86,145
2025-02-26 13:05:00,3.8,3.8,3.8,3.8,300
2025-02-26 13:06:00,3.78,3.78,3.7,3.7,5195
2025-02-26 13:07:00,3.6,3.63,3.54,3.55,2246
2025-02-26 13:14:00,3.6,3.65,3.6,3.65,5385
2025-02-26 13:18:00,3.55,3.55,3.5,3.5,4333
2025-02-26 13:19:00,3.5,3.53,3.49,3.49,8970
2025-02-26 13:23:00,3.52,3.52,3.5,3.5,10055
2025-02-26 13:24:00,3.5,3.5,3.5,3.5,764
2025-02-26 13:25:00,3.45,3.45,3.45,3.45,270
2025-02-26 13:26:00,3.4,3.5,3.4,3.5,2152
2025-02-26 13:29:00,3.5,3.5,3.5,3.5,10090
2025-02-26 13:31:00,3.56,3.58,3.56,3.58,1560
2025-02-26 13:33:00,3.5,3.5,3.5,3.5,3850
2025-02-26 13:34:00,3.55,3.55,3.5,3.5,9883
2025-02-26 13:42:00,3.49,3.49,3.49,3.49,1200
2025-02-26 13:44:00,3.41,3.41,3.4,3.4,15427
2025-02-26 13:57:00,3.47,3.47,3.47,3.47,500
2025-02-26 14:00:00,3.6,3.9,3.45,3.9,30896
2025-02-26 14:02:00,3.4,3.41,3.4,3.4,66448
2025-02-26 14:03:00,3.4,3.4,3.4,3.4,316
2025-02-26 14:04:00,3.34,3.34,3.34,3.34,3000
2025-02-26 14:05:00,3.4,3.4,3.2,3.27,21247
2025-02-26 14:07:00,3.46,3.5,3.46,3.5,5014
2025-02-26 14:10:00,3.3,3.32,3.3,3.32,861
2025-02-26 14:13:00,3.36,3.47,3.34,3.47,7018
2025-02-26 14:14:00,3.34,3.34,3.33,3.33,258
2025-02-26 14:15:00,3.4,3.4,3.4,3.4,223
2025-02-26 14:16:00,3.4,3.4,3.4,3.4,1037
2025-02-26 14:18:00,3.41,3.41,3.41,3.41,600
2025-02-26 14:20:00,3.41,3.47,3.41,3.47,1700
2025-02-26 14:21:00,3.4,3.4,3.4,3.4,7297
2025-02-26 14:22:00,3.39,3.4,3.33,3.33,2050
2025-02-26 14:35:00,3.39,3.4,3.39,3.4,32125
2025-02-26 14:36:00,3.4,3.4,3.38,3.38,1210
2025-02-26 14:37:00,3.4,3.4,3.37,3.37,640
2025-02-26 14:38:00,3.4,3.4,3.4,3.4,334
2025-02-26 14:40:00,3.4,3.4,3.4,3.4,2027
2025-02-26 14:44:00,3.36,3.36,3.36,3.36,176
2025-02-26 14:52:00,3.39,3.39,3.39,3.39,180
2025-02-26 14:56:00,3.4,3.4,3.4,3.4,1000
2025-02-26 14:57:00,3.36,3.36,3.36,3.36,265
2025-02-26 15:01:00,3.39,3.39,3.38,3.38,255
2025-02-26 15:02:00,3.38,3.38,3.38,3.38,103
2025-02-26 15:03:00,3.36,3.36,3.36,3.36,957
2025-02-26 15:06:00,3.37,3.37,3.33,3.33,4057
2025-02-26 15:07:00,3.35,3.39,3.35,3.39,400
2025-02-26 15:19:00,3.36,3.36,3.36,3.36,300
2025-02-26 15:20:00,3.3,3.3,3.3,3.3,4000
2025-02-26 15:21:00,3.3,3.3,3.3,3.3,9923
2025-02-26 15:22:00,3.31,3.31,3.3,3.3,16280
2025-02-26 15:25:00,3.35,3.39,3.35,3.39,662
2025-02-26 15:26:00,3.44,3.45,3.38,3.38,8802
2025-02-26 15:27:00,3.47,3.5,3.47,3.5,16039
2025-02-26 15:30:00,3.45,3.53,3.36,3.39,207645
2025-02-26 15:31:00,3.39,3.41,3.31,3.34,37064
2025-02-26 15:32:00,3.35,3.36,3.3,3.34,88186
2025-02-26 15:33:00,3.33,3.37,3.28,3.28,138373
2025-02-26 15:34:00,3.29,3.29,3.25,3.27,51325
2025-02-26 15:35:00,3.28,3.31,3.26,3.31,56484
2025-02-26 15:36:00,3.31,3.37,3.31,3.32,27376
2025-02-26 15:37:00,3.32,3.33,3.31,3.33,18825
2025-02-26 15:38:00,3.33,3.33,3.32,3.32,13145
2025-02-26 15:39:00,3.32,3.33,3.25,3.27,45250
2025-02-26 15:40:00,3.28,3.3,3.27,3.28,10589
2025-02-26 15:41:00,3.29,3.29,3.26,3.27,13367
2025-02-26 15:42:00,3.26,3.26,3.24,3.24,29424
2025-02-26 15:43:00,3.24,3.26,3.22,3.24,49055
2025-02-26 15:44:00,3.24,3.25,3.22,3.24,27611
2025-02-26 15:45:00,3.25,3.26,3.24,3.25,8394
2025-02-26 15:46:00,3.26,3.26,3.24,3.26,11180
2025-02-26 15:47:00,3.26,3.28,3.26,3.26,18693
2025-02-26 15:48:00,3.26,3.3,3.26,3.3,32424
2025-02-26 15:49:00,3.3,3.31,3.3,3.3,45350
2025-02-26 15:50:00,3.3,3.3,3.28,3.29,7778
2025-02-26 15:51:00,3.28,3.28,3.26,3.26,5806
2025-02-26 15:52:00,3.27,3.27,3.25,3.26,28401
2025-02-26 15:53:00,3.26,3.26,3.26,3.26,31293
2025-02-26 15:54:00,3.26,3.26,3.25,3.25,17157
2025-02-26 15:55:00,3.26,3.26,3.17,3.2,128006
2025-02-26 15:56:00,3.2,3.2,3.16,3.16,36251
2025-02-26 15:57:00,3.16,3.19,3.16,3.18,17618
2025-02-26 15:58:00,3.19,3.19,3.17,3.18,3923
2025-02-26 15:59:00,3.18,3.18,3.18,3.18,3307
2025-02-26 16:00:00,3.18,3.18,3.16,3.18,15943
2025-02-26 16:01:00,3.18,3.18,3.15,3.16,48668
2025-02-26 16:02:00,3.16,3.17,3.14,3.15,34531
2025-02-26 16:03:00,3.14,3.16,3.14,3.16,25656
2025-02-26 16:04:00,3.15,3.16,3.14,3.15,16809
2025-02-26 16:05:00,3.15,3.15,3.13,3.14,36844
2025-02-26 16:06:00,3.14,3.14,3.11,3.11,169443
2025-02-26 16:07:00,3.11,3.12,3.02,3.06,375679
2025-02-26 16:08:00,3.06,3.06,3.0,3.0,137592
2025-02-26 16:09:00,3.0,3.01,2.95,3.0,322960
