Date,Open,High,Low,Close,Volume
2025-02-26 10:04:00,3.55,3.55,3.55,3.55,193
2025-02-26 10:34:00,3.44,3.44,3.38,3.42,1100
2025-02-26 10:36:00,3.53,3.55,3.53,3.55,650
2025-02-26 10:37:00,3.71,3.71,3.71,3.71,1087
2025-02-26 10:38:00,3.67,3.7,3.67,3.7,700
2025-02-26 10:40:00,3.64,3.64,3.64,3.64,154
2025-02-26 10:45:00,3.66,3.66,3.66,3.66,100
2025-02-26 10:59:00,3.65,3.65,3.65,3.65,145
2025-02-26 11:13:00,3.63,3.63,3.63,3.63,200
2025-02-26 11:27:00,3.68,3.68,3.68,3.68,100
2025-02-26 12:31:00,3.66,3.66,3.66,3.66,100
2025-02-26 12:33:00,3.65,3.66,3.65,3.66,366
2025-02-26 12:35:00,3.65,3.65,3.65,3.65,250
2025-02-26 12:47:00,3.66,3.66,3.66,3.66,500
2025-02-26 12:48:00,3.63,3.64,3.62,3.62,768
2025-02-26 12:49:00,3.64,3.64,3.64,3.64,250
2025-02-26 12:50:00,3.63,3.63,3.63,3.63,200
2025-02-26 14:10:00,5.25,9.0,3.71,7.38,564526
2025-02-26 14:11:00,7.38,8.19,7.27,7.66,344622
2025-02-26 14:12:00,7.65,8.71,7.41,8.68,497994
2025-02-26 14:13:00,8.63,8.7,8.19,8.49,486214
2025-02-26 14:14:00,8.47,8.56,7.75,8.03,324421
2025-02-26 14:15:00,8.0,8.18,7.52,8.03,298172
2025-02-26 14:16:00,8.03,8.29,7.83,7.97,187113
2025-02-26 14:17:00,7.92,8.05,7.58,7.66,184243
2025-02-26 14:18:00,7.69,7.69,6.76,6.98,455993
2025-02-26 14:19:00,6.98,6.99,6.5,6.82,338088
2025-02-26 14:20:00,6.81,7.1,6.58,6.59,227244
2025-02-26 14:21:00,6.64,6.97,6.57,6.92,104034
2025-02-26 14:22:00,6.88,7.17,6.87,7.06,154699
2025-02-26 14:23:00,7.04,7.07,6.85,6.88,98941
2025-02-26 14:24:00,6.88,6.91,6.7,6.79,109278
2025-02-26 14:25:00,6.79,6.9,6.64,6.75,108638
2025-02-26 14:26:00,6.76,6.78,6.54,6.69,146350
2025-02-26 14:27:00,6.69,6.74,6.6,6.73,59262
2025-02-26 14:28:00,6.74,7.17,6.55,7.06,333792
2025-02-26 14:29:00,7.09,7.32,7.0,7.16,234229
2025-02-26 14:30:00,7.15,7.32,7.11,7.2,160505
2025-02-26 14:31:00,7.19,7.21,6.76,6.88,196749
2025-02-26 14:32:00,6.88,6.9,6.63,6.86,143817
2025-02-26 14:33:00,6.81,6.84,6.73,6.74,46323
2025-02-26 14:34:00,6.74,6.92,6.67,6.81,78613
2025-02-26 14:35:00,6.83,6.84,6.75,6.77,42962
2025-02-26 14:36:00,6.77,6.81,6.65,6.78,58646
2025-02-26 14:37:00,6.78,7.11,6.75,6.88,150167
2025-02-26 14:38:00,6.9,7.17,6.9,7.16,138285
2025-02-26 14:39:00,7.14,7.8,7.14,7.65,591032
2025-02-26 14:40:00,7.66,7.89,7.59,7.83,432669
2025-02-26 14:41:00,7.81,7.84,7.6,7.7,173755
2025-02-26 14:42:00,7.66,7.87,7.48,7.75,337898
2025-02-26 14:43:00,7.75,7.8,7.55,7.6,154622
2025-02-26 14:44:00,7.6,7.74,7.55,7.65,133176
2025-02-26 14:45:00,7.67,8.06,7.62,7.97,505346
2025-02-26 14:46:00,7.92,8.18,7.85,7.88,417155
2025-02-26 14:47:00,7.85,7.88,7.5,7.64,284449
2025-02-26 14:48:00,7.65,7.67,7.54,7.67,108481
2025-02-26 14:49:00,7.65,7.81,7.57,7.57,103805
2025-02-26 14:50:00,7.58,7.66,7.25,7.31,124919
2025-02-26 14:51:00,7.32,7.34,7.11,7.3,214429
