Date,Open,High,Low,Close,Volume
2025-02-26 10:19:00,5.53,5.53,5.53,5.53,130
2025-02-26 13:35:00,5.96,5.96,5.96,5.96,344
2025-02-26 13:36:00,5.92,5.92,5.92,5.92,542
2025-02-26 13:37:00,5.92,6.73,5.92,6.31,4096
2025-02-26 13:40:00,6.2,6.2,6.2,6.2,393
2025-02-26 13:41:00,6.28,6.73,6.22,6.73,3887
2025-02-26 13:42:00,6.38,6.38,6.38,6.38,251
2025-02-26 13:43:00,6.22,6.29,6.2,6.2,3083
2025-02-26 13:44:00,6.29,6.29,6.23,6.23,313
2025-02-26 13:45:00,6.38,6.38,6.38,6.38,201
2025-02-26 13:46:00,6.3,6.3,6.3,6.3,301
2025-02-26 13:47:00,6.31,6.31,6.31,6.31,438
2025-02-26 13:48:00,6.42,6.42,6.35,6.35,1030
2025-02-26 13:53:00,6.34,6.34,6.34,6.34,125
2025-02-26 14:00:00,6.31,6.73,5.99,6.16,9426
2025-02-26 14:01:00,6.11,6.11,5.6,5.6,3205
2025-02-26 14:02:00,5.99,5.99,5.79,5.79,1550
2025-02-26 14:05:00,5.88,5.88,5.88,5.88,328
2025-02-26 14:07:00,6.07,6.07,6.07,6.07,266
2025-02-26 14:09:00,5.93,5.93,5.93,5.93,287
2025-02-26 14:11:00,5.9,5.92,5.9,5.92,1638
2025-02-26 14:12:00,5.93,5.93,5.92,5.93,1287
2025-02-26 14:13:00,5.95,5.95,5.95,5.95,162
2025-02-26 14:14:00,6.02,6.02,6.02,6.02,120
2025-02-26 14:15:00,6.1,6.1,6.1,6.1,1046
2025-02-26 14:16:00,6.09,6.1,5.9,5.9,2383
2025-02-26 14:21:00,6.05,6.05,6.05,6.05,325
2025-02-26 14:33:00,5.95,5.95,5.95,5.95,484
2025-02-26 14:34:00,5.81,5.81,5.81,5.81,166
2025-02-26 14:37:00,5.79,6.0,5.79,5.94,1392
2025-02-26 14:38:00,6.05,6.05,6.05,6.05,1800
2025-02-26 14:39:00,6.0,6.0,6.0,6.0,173
2025-02-26 14:40:00,5.94,5.94,5.94,5.94,600
2025-02-26 14:42:00,5.94,5.94,5.94,5.94,321
2025-02-26 14:43:00,5.94,5.94,5.94,5.94,640
2025-02-26 14:44:00,5.95,5.95,5.95,5.95,200
2025-02-26 15:13:00,6.1,6.1,5.95,5.95,353
2025-02-26 15:14:00,5.99,5.99,5.99,5.99,250
2025-02-26 15:18:00,6.1,6.16,6.1,6.16,890
2025-02-26 15:20:00,6.16,6.16,6.1,6.1,218
2025-02-26 15:25:00,5.94,5.94,5.94,5.94,388
2025-02-26 15:26:00,5.88,5.95,5.88,5.9,1122
2025-02-26 15:27:00,5.88,5.88,5.88,5.88,1686
2025-02-26 15:28:00,5.88,5.88,5.88,5.88,3654
2025-02-26 15:29:00,5.75,5.75,5.75,5.75,751
2025-02-26 15:30:00,5.79,5.98,5.79,5.79,9376
2025-02-26 15:34:00,5.8,5.85,5.74,5.85,11333
2025-02-26 15:35:00,5.97,5.97,5.84,5.85,800
2025-02-26 15:36:00,5.85,5.85,5.85,5.85,392
2025-02-26 15:37:00,5.86,5.86,5.86,5.86,506
2025-02-26 15:38:00,5.96,5.96,5.96,5.96,110
2025-02-26 15:39:00,5.92,5.92,5.86,5.86,220
2025-02-26 15:40:00,5.87,5.95,5.76,5.92,5749
2025-02-26 15:41:00,5.9,5.98,5.9,5.94,2436
2025-02-26 15:42:00,5.97,5.98,5.96,5.98,900
2025-02-26 15:43:00,5.98,5.98,5.92,5.92,910
2025-02-26 15:45:00,5.84,5.84,5.84,5.84,171
2025-02-26 15:47:00,5.96,5.96,5.96,5.96,110
2025-02-26 15:48:00,5.84,5.84,5.84,5.84,132
2025-02-26 15:49:00,5.98,5.98,5.98,5.98,1013
2025-02-26 15:50:00,5.89,5.89,5.85,5.85,407
2025-02-26 15:52:00,5.97,5.97,5.84,5.85,840
2025-02-26 15:54:00,5.85,5.85,5.85,5.85,1020
2025-02-26 15:56:00,5.97,5.97,5.85,5.96,1131
2025-02-26 15:59:00,5.95,6.18,5.95,6.18,6969
2025-02-26 16:00:00,6.1,6.1,6.1,6.1,206
2025-02-26 16:01:00,6.05,6.06,6.05,6.06,420
2025-02-26 16:02:00,6.07,6.18,6.07,6.18,1027
2025-02-26 16:03:00,6.2,6.34,6.2,6.3,1197
2025-02-26 16:04:00,6.2,6.2,6.2,6.2,172
2025-02-26 16:05:00,6.3,6.3,6.18,6.18,1635
2025-02-26 16:06:00,6.29,6.29,6.29,6.29,119
2025-02-26 16:11:00,6.18,6.18,6.18,6.18,314
2025-02-26 16:12:00,6.18,6.29,6.18,6.29,4825
2025-02-26 16:13:00,6.2,6.2,6.2,6.2,251
2025-02-26 16:15:00,6.2,6.26,6.2,6.26,1442
2025-02-26 16:16:00,6.28,6.3,6.2,6.3,1832
2025-02-26 16:17:00,6.28,6.28,6.28,6.28,175
2025-02-26 16:19:00,6.36,6.36,6.36,6.36,2064
2025-02-26 16:20:00,6.4,6.4,6.13,6.3,7030
2025-02-26 16:21:00,6.36,6.36,6.3,6.3,554
2025-02-26 16:24:00,6.4,6.4,6.4,6.4,254
2025-02-26 16:25:00,6.4,6.49,6.32,6.49,11166
2025-02-26 16:26:00,6.42,6.42,6.32,6.32,1644
2025-02-26 16:27:00,6.5,6.5,6.4,6.4,855
2025-02-26 16:28:00,6.45,6.5,6.45,6.5,3572
2025-02-26 16:29:00,6.44,6.5,6.44,6.5,1753
2025-02-26 16:30:00,6.52,6.52,6.4,6.4,240
2025-02-26 16:31:00,6.5,6.56,6.5,6.56,2300
2025-02-26 16:34:00,6.57,6.58,6.57,6.58,966
2025-02-26 16:36:00,6.62,6.62,6.62,6.62,110
2025-02-26 16:37:00,6.62,6.63,6.62,6.63,432
2025-02-26 16:38:00,6.68,6.73,6.57,6.68,7117
2025-02-26 16:39:00,6.8,6.9,6.71,6.84,7072
2025-02-26 16:40:00,6.82,7.17,6.7,7.17,28492
2025-02-26 16:41:00,7.12,7.22,7.01,7.01,10666
2025-02-26 16:42:00,7.01,7.08,6.86,6.99,10420
2025-02-26 16:43:00,6.8,6.86,6.8,6.86,413
2025-02-26 16:44:00,6.88,6.88,6.88,6.88,372
2025-02-26 16:45:00,6.89,7.0,6.89,6.95,1492
2025-02-26 16:46:00,7.0,7.0,6.79,6.79,10599
2025-02-26 16:47:00,6.8,7.0,6.8,7.0,1227
2025-02-26 16:48:00,6.79,6.84,6.72,6.84,3624
2025-02-26 16:49:00,6.72,6.99,6.71,6.89,6082
2025-02-26 16:50:00,6.7,6.71,6.67,6.67,2445
2025-02-26 16:51:00,6.55,6.68,6.51,6.66,5775
2025-02-26 16:52:00,6.7,6.82,6.7,6.82,1357
2025-02-26 16:53:00,6.7,6.79,6.7,6.79,1117
2025-02-26 16:54:00,6.88,6.99,6.7,6.7,2117
2025-02-26 16:55:00,7.0,7.0,6.88,6.9,11257
2025-02-26 16:56:00,6.9,6.98,6.9,6.98,3303
2025-02-26 16:57:00,7.03,7.03,6.9,6.9,595
2025-02-26 16:58:00,6.99,7.0,6.9,6.9,4491
2025-02-26 16:59:00,6.99,6.99,6.8,6.9,1450
2025-02-26 17:00:00,6.89,6.89,6.89,6.89,382
2025-02-26 17:01:00,6.98,6.98,6.9,6.9,825
2025-02-26 17:02:00,6.9,6.9,6.9,6.9,727
2025-02-26 17:03:00,6.93,7.03,6.81,6.94,4387
2025-02-26 17:04:00,6.9,7.05,6.9,7.05,256
2025-02-26 17:05:00,7.03,7.03,6.96,6.96,347
2025-02-26 17:06:00,6.86,6.86,6.86,6.86,570
2025-02-26 17:08:00,6.86,7.0,6.85,6.86,992
2025-02-26 17:10:00,6.84,6.96,6.84,6.96,256
2025-02-26 17:11:00,6.96,6.96,6.92,6.92,330
2025-02-26 17:12:00,6.9,6.96,6.9,6.96,1210
2025-02-26 17:14:00,6.78,6.88,6.78,6.84,6637
