Date,Open,High,Low,Close,Volume
2025-02-25 15:27:00,1.7,1.7,1.7,1.7,230
2025-02-25 15:30:00,1.69,1.69,1.69,1.69,1054
2025-02-25 15:38:00,1.7,1.7,1.7,1.7,175
2025-02-25 15:40:00,1.7,1.7,1.66,1.66,1000
2025-02-25 15:41:00,1.67,1.67,1.64,1.64,1134
2025-02-25 15:42:00,1.61,1.62,1.56,1.56,8078
2025-02-25 15:43:00,1.56,1.56,1.56,1.56,2220
2025-02-25 15:44:00,1.56,1.56,1.56,1.56,1606
2025-02-25 15:48:00,1.6,1.6,1.6,1.6,627
2025-02-25 15:52:00,1.6,1.6,1.58,1.58,200
2025-02-25 15:53:00,1.58,1.58,1.58,1.58,200
2025-02-25 15:54:00,1.57,1.57,1.57,1.57,400
2025-02-25 15:55:00,1.56,1.56,1.55,1.55,1205
2025-02-25 15:56:00,1.51,1.51,1.51,1.51,310
2025-02-25 15:57:00,1.52,1.52,1.4,1.4,2012
2025-02-25 15:58:00,1.49,1.49,1.49,1.49,100
2025-02-25 16:07:00,1.5,1.52,1.5,1.5,2001
2025-02-25 16:41:00,1.52,1.52,1.52,1.52,1095
2025-02-25 16:48:00,1.57,1.57,1.57,1.57,100
2025-02-25 16:50:00,1.54,1.54,1.54,1.54,100
2025-02-25 16:55:00,1.54,1.54,1.54,1.54,179
2025-02-25 17:02:00,1.52,1.52,1.52,1.52,125
2025-02-25 17:03:00,1.51,1.52,1.51,1.52,1025
2025-02-25 17:06:00,1.53,1.53,1.53,1.53,100
2025-02-25 17:17:00,1.5,1.5,1.5,1.5,1050
2025-02-25 17:25:00,1.51,1.51,1.51,1.51,300
2025-02-25 17:51:00,1.51,1.51,1.51,1.51,100
2025-02-25 17:55:00,1.5,1.5,1.5,1.5,200
2025-02-25 17:59:00,1.5,1.5,1.5,1.5,1500
2025-02-25 18:01:00,1.52,1.52,1.52,1.52,600
2025-02-25 18:08:00,1.52,1.52,1.52,1.52,910
2025-02-25 18:42:00,1.52,1.52,1.52,1.52,800
2025-02-25 18:43:00,1.5,1.5,1.5,1.5,313
2025-02-25 19:02:00,1.51,1.51,1.51,1.51,300
2025-02-25 19:20:00,1.51,1.52,1.51,1.52,2800
2025-02-25 19:25:00,1.52,1.52,1.51,1.51,3000
2025-02-25 19:26:00,1.52,1.52,1.52,1.52,169
2025-02-25 20:14:00,1.51,1.51,1.51,1.51,1000
2025-02-25 21:00:00,1.51,1.51,1.51,1.51,1000
2025-02-25 21:05:00,1.51,1.51,1.51,1.51,500
2025-02-25 21:28:00,1.51,1.51,1.51,1.51,1002
2025-02-25 21:46:00,1.5,1.5,1.44,1.44,10264
2025-02-25 21:47:00,1.46,1.46,1.41,1.41,1475
2025-02-25 21:48:00,1.45,1.45,1.45,1.45,5300
2025-02-25 21:49:00,1.45,1.45,1.45,1.45,600
2025-02-25 21:50:00,1.47,1.47,1.47,1.47,408
2025-02-25 21:51:00,1.44,1.44,1.42,1.42,556
2025-02-25 21:53:00,1.41,1.41,1.41,1.41,1075
2025-02-25 21:55:00,1.42,1.42,1.42,1.42,800
2025-02-25 21:56:00,1.4,1.4,1.4,1.4,100
2025-02-25 21:59:00,1.42,1.42,1.4,1.41,595
2025-02-25 22:38:00,1.49,1.49,1.49,1.49,375
