Date,Open,High,Low,Close,Volume
2025-02-25 15:25:00,0.93,1.07,0.93,0.96,23246
2025-02-25 15:26:00,0.96,1.0,0.89,0.89,12423
2025-02-25 15:27:00,0.9,0.91,0.88,0.91,2710
2025-02-25 15:28:00,0.91,0.91,0.91,0.91,106
2025-02-25 15:29:00,0.91,0.96,0.84,0.86,1869
2025-02-25 15:30:00,0.9,0.93,0.9,0.9,2771
2025-02-25 15:32:00,0.89,0.89,0.89,0.89,502
2025-02-25 15:37:00,0.89,0.89,0.89,0.89,458
2025-02-25 15:41:00,0.89,0.89,0.89,0.89,500
2025-02-25 15:48:00,0.89,0.89,0.89,0.89,400
2025-02-25 15:49:00,0.89,0.9,0.88,0.9,2200
2025-02-25 15:50:00,0.88,0.88,0.88,0.88,100
2025-02-25 15:51:00,0.88,0.88,0.88,0.88,862
2025-02-25 16:08:00,0.9,0.9,0.9,0.9,1000
2025-02-25 16:09:00,0.88,0.88,0.88,0.88,600
2025-02-25 16:32:00,0.91,0.91,0.88,0.88,3872
2025-02-25 16:57:00,0.93,0.93,0.93,0.93,100
2025-02-25 17:00:00,0.89,0.89,0.89,0.89,100
2025-02-25 17:20:00,0.89,0.89,0.89,0.89,10000
2025-02-25 17:23:00,0.89,0.89,0.89,0.89,315
2025-02-25 17:44:00,0.89,0.89,0.89,0.89,250
2025-02-25 18:22:00,0.89,0.89,0.89,0.89,190
2025-02-25 18:23:00,0.88,0.88,0.88,0.88,100
2025-02-25 18:25:00,0.88,0.88,0.88,0.88,100
2025-02-25 18:30:00,0.88,0.88,0.88,0.88,100
2025-02-25 18:52:00,0.89,0.89,0.88,0.89,2415
2025-02-25 20:47:00,0.9,0.9,0.9,0.9,405
2025-02-25 20:52:00,0.91,0.91,0.91,0.91,2000
2025-02-25 20:53:00,0.9,0.92,0.9,0.92,24045
2025-02-25 21:04:00,0.93,0.96,0.93,0.96,6600
2025-02-25 21:29:00,0.96,0.96,0.96,0.96,1044
2025-02-25 21:30:00,0.98,0.98,0.98,0.98,100
2025-02-25 21:32:00,0.99,0.99,0.99,0.99,175
2025-02-25 21:39:00,0.97,0.97,0.96,0.96,2072
2025-02-25 21:50:00,0.96,0.96,0.96,0.96,308
2025-02-25 21:52:00,0.99,0.99,0.99,0.99,200
2025-02-25 22:02:00,0.98,0.98,0.98,0.98,281
2025-02-26 01:01:00,1.02,1.02,1.02,1.02,150
