Date,Open,High,Low,Close,Volume
2025-02-28 10:05:00,0.82,0.82,0.82,0.82,112
2025-02-28 10:47:00,0.82,0.83,0.82,0.83,913
2025-02-28 11:18:00,0.88,0.88,0.88,0.88,154
2025-02-28 11:34:00,0.85,0.85,0.85,0.85,900
2025-02-28 14:19:00,0.82,0.82,0.82,0.82,367
2025-02-28 15:01:00,0.8,0.8,0.8,0.8,241
2025-02-28 15:28:00,0.82,0.82,0.8,0.8,3143
2025-02-28 15:29:00,0.82,0.82,0.82,0.82,2000
2025-02-28 15:30:00,0.81,0.82,0.81,0.82,2787
2025-02-28 15:31:00,0.83,0.83,0.83,0.83,102
2025-02-28 15:32:00,0.83,0.83,0.83,0.83,1785
2025-02-28 15:35:00,0.81,0.81,0.81,0.81,769
2025-02-28 15:41:00,0.8,0.8,0.8,0.8,5001
2025-02-28 15:45:00,0.8,0.81,0.8,0.81,32794
2025-02-28 15:46:00,0.8,0.8,0.77,0.78,106248
2025-02-28 15:47:00,0.77,0.77,0.77,0.77,4889
2025-02-28 15:48:00,0.77,0.78,0.77,0.78,611
2025-02-28 15:50:00,0.79,0.79,0.79,0.79,127
2025-02-28 15:53:00,0.78,0.78,0.78,0.78,100
2025-02-28 15:54:00,0.79,0.79,0.79,0.79,1000
2025-02-28 15:55:00,0.79,0.79,0.79,0.79,9571
2025-02-28 15:56:00,0.78,0.78,0.78,0.78,1380
2025-02-28 15:58:00,0.79,0.79,0.79,0.79,905
2025-02-28 16:01:00,0.79,0.79,0.79,0.79,176
2025-02-28 16:05:00,0.79,0.79,0.79,0.79,100
2025-02-28 16:13:00,0.79,0.79,0.79,0.79,899
2025-02-28 16:14:00,0.79,0.79,0.79,0.79,200
2025-02-28 16:15:00,0.79,0.79,0.79,0.79,1015
2025-02-28 16:16:00,0.79,0.79,0.79,0.79,600
2025-02-28 16:17:00,0.79,0.79,0.79,0.79,1211
2025-02-28 16:18:00,0.79,0.79,0.79,0.79,300
2025-02-28 16:23:00,0.79,0.79,0.78,0.78,9600
2025-02-28 16:24:00,0.78,0.78,0.78,0.78,2501
2025-02-28 16:25:00,0.77,0.77,0.77,0.77,630
2025-02-28 16:28:00,0.77,0.78,0.77,0.78,617
2025-02-28 16:31:00,0.77,0.77,0.77,0.77,108
2025-02-28 16:32:00,0.78,0.78,0.78,0.78,700
2025-02-28 16:37:00,0.77,0.77,0.77,0.77,3000
2025-02-28 16:38:00,0.78,0.78,0.77,0.77,690
2025-02-28 16:41:00,0.77,0.77,0.77,0.77,600
2025-02-28 16:42:00,0.78,0.78,0.78,0.78,635
2025-02-28 16:44:00,0.78,0.78,0.78,0.78,100
2025-02-28 16:45:00,0.78,0.78,0.78,0.78,1296
2025-02-28 16:46:00,0.78,0.78,0.78,0.78,196
2025-02-28 16:47:00,0.78,0.78,0.78,0.78,600
2025-02-28 16:48:00,0.78,0.78,0.78,0.78,305
2025-02-28 16:49:00,0.77,0.77,0.77,0.77,5000
2025-02-28 16:51:00,0.78,0.78,0.78,0.78,103
2025-02-28 16:58:00,0.77,0.77,0.77,0.77,2963
2025-02-28 17:03:00,0.77,0.77,0.76,0.76,301
2025-02-28 17:04:00,0.77,0.77,0.77,0.77,2701
2025-02-28 17:06:00,0.78,0.78,0.77,0.77,608
2025-02-28 17:07:00,0.77,0.78,0.77,0.78,1318
2025-02-28 17:13:00,0.77,0.77,0.77,0.77,651
2025-02-28 17:14:00,0.76,0.77,0.76,0.77,696
2025-02-28 17:17:00,0.76,0.76,0.76,0.76,11172
2025-02-28 17:18:00,0.77,0.77,0.77,0.77,10000
2025-02-28 17:19:00,0.77,0.77,0.77,0.77,3292
2025-02-28 17:22:00,0.76,0.76,0.76,0.76,120
2025-02-28 17:24:00,0.76,0.76,0.76,0.76,178
2025-02-28 17:30:00,0.76,0.76,0.76,0.76,145
2025-02-28 17:31:00,0.77,0.77,0.77,0.77,5090
2025-02-28 17:32:00,0.76,0.76,0.76,0.76,5216
2025-02-28 17:33:00,0.76,0.76,0.76,0.76,5200
2025-02-28 17:34:00,0.77,0.77,0.76,0.76,11572
