Date,Open,High,Low,Close,Volume
2025-02-28 10:32:00,0.58,0.58,0.58,0.58,170
2025-02-28 13:57:00,0.59,0.59,0.59,0.59,100
2025-02-28 14:05:00,0.6,0.67,0.6,0.65,264257
2025-02-28 14:06:00,0.66,0.7,0.65,0.67,308708
2025-02-28 14:07:00,0.67,0.69,0.65,0.68,323416
2025-02-28 14:08:00,0.68,0.71,0.66,0.71,478556
2025-02-28 14:09:00,0.71,0.74,0.68,0.73,405785
2025-02-28 14:10:00,0.73,0.77,0.72,0.76,590626
2025-02-28 14:11:00,0.76,0.77,0.74,0.75,699506
2025-02-28 14:12:00,0.75,0.75,0.7,0.71,741942
2025-02-28 14:13:00,0.71,0.71,0.65,0.66,817798
2025-02-28 14:14:00,0.66,0.68,0.65,0.67,307108
2025-02-28 14:15:00,0.67,0.67,0.63,0.64,339527
2025-02-28 14:16:00,0.64,0.65,0.64,0.65,145908
2025-02-28 14:17:00,0.65,0.65,0.62,0.62,400005
2025-02-28 14:18:00,0.62,0.63,0.62,0.63,189482
2025-02-28 14:19:00,0.63,0.64,0.62,0.63,159352
2025-02-28 14:20:00,0.63,0.63,0.62,0.63,68786
2025-02-28 14:21:00,0.63,0.63,0.63,0.63,34882
2025-02-28 14:22:00,0.63,0.65,0.63,0.64,88116
2025-02-28 14:23:00,0.64,0.65,0.64,0.65,90077
2025-02-28 14:24:00,0.64,0.65,0.63,0.64,46660
2025-02-28 14:25:00,0.64,0.64,0.63,0.64,16786
2025-02-28 14:26:00,0.64,0.64,0.63,0.63,38545
2025-02-28 14:27:00,0.63,0.63,0.6,0.6,200695
2025-02-28 14:28:00,0.6,0.6,0.57,0.58,222277
2025-02-28 14:29:00,0.58,0.58,0.55,0.55,129378
2025-02-28 14:30:00,0.56,0.56,0.55,0.55,132717
2025-02-28 14:31:00,0.55,0.55,0.53,0.55,99389
2025-02-28 14:32:00,0.55,0.56,0.55,0.56,123118
2025-02-28 14:33:00,0.56,0.57,0.55,0.56,42682
2025-02-28 14:34:00,0.56,0.58,0.56,0.56,24294
2025-02-28 14:35:00,0.57,0.57,0.56,0.56,9527
2025-02-28 14:36:00,0.56,0.56,0.55,0.56,16752
2025-02-28 14:37:00,0.56,0.56,0.55,0.55,19088
2025-02-28 14:38:00,0.55,0.55,0.54,0.54,22965
2025-02-28 14:39:00,0.54,0.54,0.52,0.53,57580
2025-02-28 14:40:00,0.53,0.54,0.53,0.53,17215
2025-02-28 14:41:00,0.53,0.55,0.53,0.54,25589
2025-02-28 14:42:00,0.54,0.56,0.54,0.55,17077
2025-02-28 14:43:00,0.55,0.56,0.55,0.55,13159
2025-02-28 14:44:00,0.55,0.55,0.54,0.54,13263
2025-02-28 14:45:00,0.54,0.55,0.54,0.54,2449
2025-02-28 14:46:00,0.54,0.54,0.54,0.54,15666
2025-02-28 14:47:00,0.54,0.55,0.54,0.55,1455
2025-02-28 14:48:00,0.55,0.55,0.54,0.55,8926
2025-02-28 14:49:00,0.54,0.54,0.54,0.54,5616
2025-02-28 14:50:00,0.54,0.54,0.53,0.53,14029
2025-02-28 14:51:00,0.53,0.54,0.53,0.53,19702
2025-02-28 14:52:00,0.53,0.53,0.53,0.53,23588
2025-02-28 14:53:00,0.53,0.54,0.53,0.53,10202
2025-02-28 14:54:00,0.53,0.54,0.53,0.54,4104
2025-02-28 14:55:00,0.54,0.54,0.53,0.54,1206
2025-02-28 14:56:00,0.54,0.54,0.53,0.54,11845
2025-02-28 14:57:00,0.54,0.54,0.54,0.54,2679
2025-02-28 14:58:00,0.54,0.55,0.54,0.54,13726
2025-02-28 14:59:00,0.54,0.55,0.54,0.55,3578
2025-02-28 15:00:00,0.54,0.54,0.54,0.54,310
2025-02-28 15:01:00,0.55,0.55,0.55,0.55,3484
2025-02-28 15:02:00,0.54,0.55,0.54,0.55,5778
2025-02-28 15:03:00,0.55,0.55,0.55,0.55,1259
2025-02-28 15:04:00,0.55,0.55,0.55,0.55,3947
2025-02-28 15:05:00,0.56,0.56,0.55,0.55,4459
2025-02-28 15:06:00,0.54,0.55,0.54,0.55,6255
2025-02-28 15:07:00,0.54,0.54,0.54,0.54,10990
2025-02-28 15:08:00,0.54,0.54,0.53,0.53,15553
2025-02-28 15:09:00,0.53,0.54,0.53,0.53,14972
2025-02-28 15:10:00,0.53,0.54,0.53,0.54,17434
2025-02-28 15:11:00,0.55,0.55,0.54,0.55,2350
2025-02-28 15:12:00,0.55,0.56,0.55,0.56,8761
2025-02-28 15:13:00,0.55,0.55,0.55,0.55,1952
2025-02-28 15:14:00,0.56,0.56,0.56,0.56,176
2025-02-28 15:15:00,0.55,0.55,0.55,0.55,4470
2025-02-28 15:16:00,0.54,0.54,0.54,0.54,3369
2025-02-28 15:17:00,0.54,0.54,0.54,0.54,4623
2025-02-28 15:18:00,0.53,0.53,0.53,0.53,6410
2025-02-28 15:19:00,0.54,0.54,0.54,0.54,544
2025-02-28 15:20:00,0.53,0.54,0.53,0.53,9083
2025-02-28 15:21:00,0.54,0.54,0.53,0.53,4711
2025-02-28 15:22:00,0.53,0.53,0.53,0.53,246
2025-02-28 15:24:00,0.53,0.53,0.53,0.53,1410
2025-02-28 15:25:00,0.53,0.54,0.53,0.54,4213
2025-02-28 15:26:00,0.54,0.54,0.54,0.54,7064
2025-02-28 15:27:00,0.54,0.54,0.53,0.53,3796
2025-02-28 15:28:00,0.53,0.54,0.53,0.54,5749
2025-02-28 15:29:00,0.53,0.54,0.53,0.54,8684
2025-02-28 15:30:00,0.54,0.55,0.54,0.54,20433
2025-02-28 15:31:00,0.53,0.53,0.52,0.53,51324
2025-02-28 15:32:00,0.53,0.53,0.51,0.51,17990
2025-02-28 15:33:00,0.51,0.51,0.46,0.5,114102
2025-02-28 15:34:00,0.5,0.51,0.5,0.5,21301
2025-02-28 15:35:00,0.51,0.52,0.5,0.52,24558
2025-02-28 15:36:00,0.54,0.54,0.52,0.53,9834
2025-02-28 15:37:00,0.53,0.55,0.53,0.55,5103
2025-02-28 15:38:00,0.53,0.53,0.53,0.53,3814
2025-02-28 15:39:00,0.53,0.53,0.52,0.53,5257
2025-02-28 15:40:00,0.52,0.52,0.52,0.52,301
2025-02-28 15:41:00,0.52,0.53,0.51,0.53,11804
2025-02-28 15:42:00,0.52,0.53,0.52,0.53,3890
2025-02-28 15:43:00,0.53,0.55,0.52,0.55,8692
2025-02-28 15:44:00,0.53,0.55,0.53,0.54,8300
2025-02-28 15:45:00,0.52,0.53,0.52,0.53,3735
2025-02-28 15:46:00,0.53,0.53,0.52,0.53,1180
2025-02-28 15:47:00,0.53,0.54,0.52,0.54,2660
2025-02-28 15:49:00,0.53,0.53,0.51,0.51,41002
2025-02-28 15:50:00,0.52,0.54,0.51,0.53,7759
2025-02-28 15:51:00,0.53,0.53,0.53,0.53,7221
2025-02-28 15:52:00,0.53,0.53,0.53,0.53,6820
2025-02-28 15:53:00,0.53,0.53,0.53,0.53,3064
2025-02-28 15:54:00,0.51,0.51,0.51,0.51,5282
2025-02-28 15:55:00,0.51,0.52,0.51,0.51,1868
2025-02-28 15:56:00,0.53,0.53,0.52,0.52,1211
2025-02-28 15:57:00,0.53,0.53,0.53,0.53,725
2025-02-28 16:00:00,0.52,0.57,0.52,0.57,37593
2025-02-28 16:01:00,0.57,0.57,0.54,0.55,20217
2025-02-28 16:02:00,0.55,0.56,0.54,0.55,10863
2025-02-28 16:04:00,0.55,0.55,0.54,0.54,2352
2025-02-28 16:05:00,0.54,0.54,0.53,0.53,9749
2025-02-28 16:06:00,0.53,0.53,0.51,0.52,27213
2025-02-28 16:07:00,0.52,0.53,0.52,0.53,25056
2025-02-28 16:08:00,0.53,0.53,0.51,0.52,4023
2025-02-28 16:09:00,0.52,0.52,0.52,0.52,6475
2025-02-28 16:10:00,0.52,0.53,0.52,0.53,5377
2025-02-28 16:11:00,0.52,0.53,0.52,0.52,3581
2025-02-28 16:12:00,0.53,0.53,0.52,0.52,1605
2025-02-28 16:13:00,0.53,0.54,0.52,0.54,15217
2025-02-28 16:14:00,0.53,0.53,0.53,0.53,502
2025-02-28 16:15:00,0.53,0.53,0.53,0.53,612
2025-02-28 16:16:00,0.54,0.54,0.54,0.54,2000
2025-02-28 16:19:00,0.53,0.53,0.53,0.53,200
2025-02-28 16:20:00,0.54,0.54,0.54,0.54,5144
2025-02-28 16:21:00,0.53,0.54,0.53,0.54,1505
2025-02-28 16:22:00,0.54,0.54,0.54,0.54,700
2025-02-28 16:23:00,0.54,0.55,0.54,0.55,4575
2025-02-28 16:24:00,0.54,0.55,0.54,0.55,1643
2025-02-28 16:25:00,0.54,0.54,0.54,0.54,1804
2025-02-28 16:26:00,0.54,0.54,0.54,0.54,4087
2025-02-28 16:27:00,0.54,0.54,0.54,0.54,1000
2025-02-28 16:28:00,0.54,0.54,0.54,0.54,681
2025-02-28 16:29:00,0.55,0.55,0.54,0.54,1431
2025-02-28 16:31:00,0.55,0.55,0.55,0.55,520
2025-02-28 16:32:00,0.54,0.55,0.54,0.54,9668
2025-02-28 16:33:00,0.54,0.54,0.54,0.54,276
2025-02-28 16:34:00,0.54,0.54,0.54,0.54,16012
2025-02-28 16:35:00,0.54,0.56,0.54,0.56,32335
2025-02-28 16:36:00,0.56,0.56,0.56,0.56,1600
2025-02-28 16:37:00,0.56,0.56,0.56,0.56,12312
2025-02-28 16:39:00,0.56,0.56,0.56,0.56,2319
2025-02-28 16:40:00,0.56,0.56,0.56,0.56,1501
2025-02-28 16:41:00,0.56,0.56,0.56,0.56,7758
2025-02-28 16:42:00,0.56,0.56,0.56,0.56,329
2025-02-28 16:43:00,0.56,0.56,0.56,0.56,2411
2025-02-28 16:44:00,0.56,0.56,0.56,0.56,1000
2025-02-28 16:45:00,0.56,0.56,0.56,0.56,472
2025-02-28 16:47:00,0.56,0.56,0.56,0.56,5644
2025-02-28 16:48:00,0.56,0.56,0.56,0.56,1835
2025-02-28 16:49:00,0.56,0.56,0.56,0.56,10850
2025-02-28 16:51:00,0.56,0.56,0.56,0.56,13295
2025-02-28 16:52:00,0.56,0.56,0.56,0.56,20190
2025-02-28 16:53:00,0.56,0.56,0.56,0.56,27022
2025-02-28 16:54:00,0.56,0.56,0.56,0.56,2227
2025-02-28 16:55:00,0.56,0.56,0.56,0.56,4957
2025-02-28 16:58:00,0.56,0.56,0.56,0.56,1000
2025-02-28 16:59:00,0.56,0.56,0.56,0.56,206
2025-02-28 17:00:00,0.56,0.56,0.56,0.56,1550
2025-02-28 17:01:00,0.56,0.56,0.56,0.56,896
