Date,Open,High,Low,Close,Volume
2025-02-28 13:44:00,0.52,0.52,0.52,0.52,200
2025-02-28 13:56:00,0.52,0.54,0.52,0.54,1031
2025-02-28 14:00:00,0.52,0.54,0.52,0.52,14112
2025-02-28 14:07:00,0.54,0.54,0.54,0.54,280
2025-02-28 15:30:00,0.54,0.54,0.54,0.54,603
2025-02-28 15:35:00,0.53,0.53,0.53,0.53,190
2025-02-28 15:53:00,0.53,0.53,0.53,0.53,100
2025-02-28 15:55:00,0.54,0.54,0.54,0.54,400
2025-02-28 16:11:00,0.52,0.54,0.52,0.54,4200
2025-02-28 16:16:00,0.52,0.52,0.52,0.52,170
2025-02-28 16:25:00,0.53,0.53,0.53,0.53,185
2025-02-28 16:37:00,0.52,0.52,0.52,0.52,150
2025-02-28 16:40:00,0.52,0.52,0.52,0.52,700
2025-02-28 16:53:00,0.53,0.53,0.52,0.52,500
2025-02-28 16:54:00,0.53,0.53,0.53,0.53,100
2025-02-28 17:27:00,0.53,0.53,0.53,0.53,100
2025-02-28 17:31:00,0.53,0.53,0.53,0.53,8466
2025-02-28 17:53:00,0.53,0.54,0.53,0.54,3694
2025-02-28 18:17:00,0.54,0.54,0.54,0.54,150
2025-02-28 18:18:00,0.53,0.53,0.53,0.53,5001
2025-02-28 18:20:00,0.54,0.54,0.54,0.54,3500
2025-02-28 18:21:00,0.54,0.55,0.54,0.55,709
2025-02-28 18:23:00,0.55,0.55,0.55,0.55,600
2025-02-28 18:43:00,0.54,0.54,0.54,0.54,532
2025-02-28 18:44:00,0.54,0.55,0.54,0.55,7000
2025-02-28 18:55:00,0.56,0.56,0.53,0.55,9329
2025-02-28 19:25:00,0.53,0.53,0.53,0.53,576
2025-02-28 19:26:00,0.54,0.54,0.52,0.52,2129
2025-02-28 19:28:00,0.56,0.56,0.56,0.56,1500
2025-02-28 19:38:00,0.53,0.53,0.52,0.52,14883
2025-02-28 19:39:00,0.52,0.56,0.52,0.56,3000
2025-02-28 19:40:00,0.56,0.56,0.56,0.56,1003
2025-02-28 19:45:00,0.56,0.56,0.56,0.56,100
2025-02-28 19:55:00,0.54,0.54,0.54,0.54,1750
2025-02-28 20:02:00,0.53,0.53,0.53,0.53,100
2025-02-28 20:20:00,0.53,0.54,0.53,0.54,4500
2025-02-28 20:30:00,0.55,0.55,0.55,0.55,190
2025-02-28 21:00:00,0.53,0.53,0.53,0.53,2045
2025-02-28 21:01:00,0.53,0.53,0.52,0.53,21200
2025-02-28 21:02:00,0.52,0.53,0.52,0.53,2389
2025-02-28 21:11:00,0.54,0.54,0.54,0.54,100
2025-02-28 21:19:00,0.55,0.55,0.55,0.55,1015
2025-02-28 21:34:00,0.53,0.53,0.53,0.53,461
2025-02-28 21:45:00,0.55,0.55,0.55,0.55,1501
2025-02-28 21:59:00,0.55,0.55,0.55,0.55,101
2025-02-28 22:12:00,0.51,0.51,0.51,0.51,100
2025-03-01 01:15:00,0.53,0.53,0.5,0.5,3000
