Date,Open,High,Low,Close,Volume
2025-02-26 14:04:00,2.35,2.35,2.35,2.35,201
2025-02-26 16:04:00,2.25,2.37,2.23,2.23,1680
2025-02-26 16:12:00,2.4,2.4,2.37,2.37,700
2025-02-26 16:24:00,2.4,2.4,2.4,2.4,100
2025-02-26 16:54:00,2.4,2.4,2.4,2.4,300
2025-02-26 18:21:00,2.38,2.38,2.38,2.38,67816
2025-02-26 19:54:00,2.4,2.4,2.4,2.4,133
2025-02-26 19:56:00,2.38,2.4,2.38,2.4,1087
2025-02-26 20:14:00,2.44,2.44,2.44,2.44,200
2025-02-26 20:35:00,2.44,2.44,2.44,2.44,998
2025-02-26 20:37:00,2.43,2.43,2.43,2.43,313
2025-02-26 21:59:00,2.39,2.39,2.39,2.39,259
