Date,Open,High,Low,Close,Volume
2025-02-26 15:30:00,2.49,2.5,2.49,2.5,14020
2025-02-26 15:32:00,2.38,2.55,2.38,2.55,1100
2025-02-26 15:33:00,2.49,2.49,2.49,2.49,100
2025-02-26 15:42:00,2.38,2.53,2.38,2.53,350
2025-02-26 16:00:00,2.33,2.46,2.33,2.46,800
2025-02-26 19:18:00,2.45,2.45,2.45,2.45,150
2025-02-26 20:44:00,2.38,2.38,2.38,2.38,200
2025-02-26 20:45:00,2.38,2.42,2.38,2.42,300
2025-02-26 20:56:00,2.34,2.44,2.34,2.44,2300
2025-02-26 21:21:00,2.44,2.44,2.44,2.44,509
2025-02-26 21:57:00,2.43,2.43,2.43,2.43,127
