Date,Open,High,Low,Close,Volume
2025-02-26 10:05:00,0.71,0.71,0.71,0.71,210
2025-02-26 10:06:00,0.7,0.7,0.7,0.7,240
2025-02-26 10:07:00,0.69,0.69,0.69,0.69,143
2025-02-26 12:16:00,0.7,0.7,0.7,0.7,400
2025-02-26 14:00:00,0.73,0.75,0.73,0.75,531
2025-02-26 15:16:00,0.75,0.75,0.75,0.75,108
2025-02-26 15:17:00,0.77,0.79,0.75,0.79,3863
2025-02-26 15:18:00,0.73,0.75,0.73,0.75,774
2025-02-26 15:19:00,0.77,0.77,0.77,0.77,3351
2025-02-26 15:20:00,0.77,0.77,0.75,0.75,3150
2025-02-26 15:21:00,0.75,0.75,0.75,0.75,292
2025-02-26 15:22:00,0.75,0.75,0.75,0.75,745
2025-02-26 15:23:00,0.77,0.8,0.77,0.8,408
2025-02-26 15:24:00,0.8,0.82,0.8,0.82,500
2025-02-26 15:25:00,0.8,0.84,0.79,0.79,4362
2025-02-26 15:27:00,0.79,0.79,0.79,0.79,171
2025-02-26 15:28:00,0.77,0.79,0.77,0.79,2848
2025-02-26 15:29:00,0.79,0.79,0.79,0.79,609
2025-02-26 15:30:00,0.75,0.79,0.74,0.74,11700
2025-02-26 15:31:00,0.76,0.76,0.76,0.76,488
2025-02-26 15:33:00,0.74,0.76,0.74,0.76,568
2025-02-26 15:34:00,0.74,0.74,0.74,0.74,251
2025-02-26 15:40:00,0.78,0.78,0.78,0.78,963
2025-02-26 15:41:00,0.78,0.78,0.78,0.78,175
2025-02-26 15:51:00,0.75,0.75,0.74,0.74,1286
2025-02-26 15:52:00,0.74,0.74,0.74,0.74,643
2025-02-26 16:20:00,0.74,0.74,0.74,0.74,425
2025-02-26 16:22:00,0.76,0.76,0.76,0.76,517
2025-02-26 16:23:00,0.76,0.76,0.76,0.76,600
2025-02-26 16:24:00,0.78,0.78,0.78,0.78,505
2025-02-26 16:30:00,0.78,0.78,0.78,0.78,1266
2025-02-26 16:31:00,0.77,0.77,0.77,0.77,100
2025-02-26 16:41:00,0.78,0.78,0.77,0.78,2885
2025-02-26 16:47:00,0.78,0.78,0.78,0.78,500
2025-02-26 16:49:00,0.76,0.77,0.76,0.76,589
2025-02-26 16:53:00,0.77,0.77,0.77,0.77,100
2025-02-26 16:56:00,0.76,0.76,0.76,0.76,2000
2025-02-26 16:59:00,0.77,0.77,0.77,0.77,2200
2025-02-26 17:09:00,0.77,0.77,0.77,0.77,1000
2025-02-26 17:12:00,0.76,0.76,0.76,0.76,100
2025-02-26 17:43:00,0.78,0.78,0.78,0.78,180
2025-02-26 17:53:00,0.76,0.76,0.76,0.76,679
2025-02-26 17:54:00,0.76,0.77,0.76,0.77,1861
2025-02-26 18:16:00,0.78,0.78,0.78,0.78,100
2025-02-26 18:53:00,0.78,0.78,0.78,0.78,670
2025-02-26 19:41:00,0.79,0.79,0.79,0.79,500
2025-02-26 20:02:00,0.78,0.79,0.78,0.79,4000
2025-02-26 20:47:00,0.78,0.78,0.78,0.78,500
2025-02-26 21:16:00,0.79,0.79,0.79,0.79,100
2025-02-26 21:31:00,0.78,0.78,0.78,0.78,200
2025-02-26 21:43:00,0.79,0.79,0.79,0.79,200
2025-02-26 21:50:00,0.77,0.77,0.76,0.76,2795
2025-02-26 21:53:00,0.76,0.76,0.76,0.76,1100
2025-02-26 21:54:00,0.76,0.77,0.76,0.77,2403
2025-02-26 21:55:00,0.76,0.77,0.76,0.76,1917
2025-02-26 21:58:00,0.77,0.77,0.77,0.77,820
2025-02-26 21:59:00,0.77,0.77,0.77,0.77,320
2025-02-26 22:03:00,0.74,0.74,0.74,0.74,1204
2025-02-27 01:17:00,0.74,0.74,0.74,0.74,500
