Date,Open,High,Low,Close,Volume
2025-02-26 13:45:00,1.0,1.0,1.0,1.0,502
2025-02-26 14:00:00,1.0,1.0,1.0,1.0,1000
2025-02-26 16:44:00,1.02,1.02,1.02,1.02,100
2025-02-26 17:13:00,0.99,0.99,0.99,0.99,1321
2025-02-26 17:37:00,1.01,1.01,1.01,1.01,200
2025-02-26 18:04:00,1.0,1.0,1.0,1.0,160
2025-02-26 18:14:00,1.0,1.0,1.0,1.0,750
2025-02-26 18:24:00,1.0,1.0,1.0,1.0,531
2025-02-26 18:49:00,1.0,1.0,1.0,1.0,109
2025-02-26 20:01:00,0.99,1.0,0.98,0.99,6600
2025-02-26 20:31:00,0.99,0.99,0.99,0.99,590
2025-02-26 20:38:00,0.99,0.99,0.99,0.99,500
2025-02-26 20:41:00,0.99,0.99,0.99,0.99,500
2025-02-26 20:45:00,0.98,0.98,0.98,0.98,1000
2025-02-26 20:47:00,0.98,0.98,0.98,0.98,651
