Date,Open,High,Low,Close,Volume
2025-02-25 17:18:00,1.59,1.59,1.44,1.44,7247
2025-02-25 17:19:00,1.45,1.52,1.34,1.34,3893
2025-02-25 17:20:00,1.33,1.33,1.27,1.31,2592
2025-02-25 17:21:00,1.29,1.29,1.24,1.24,5110
2025-02-25 17:22:00,1.26,1.36,1.26,1.36,4356
2025-02-25 17:23:00,1.35,1.4,1.35,1.4,1104
2025-02-25 17:24:00,1.43,1.43,1.41,1.41,1244
2025-02-25 17:31:00,1.39,1.39,1.38,1.38,286
2025-02-25 17:32:00,1.38,1.4,1.38,1.38,2608
2025-02-25 20:04:00,1.49,1.49,1.49,1.49,145
2025-02-25 21:29:00,1.55,1.6,1.55,1.59,934
2025-02-25 21:31:00,1.42,1.42,1.38,1.4,3845
2025-02-25 21:33:00,1.6,1.6,1.59,1.59,2701
2025-02-25 21:34:00,1.64,1.67,1.58,1.67,1889
2025-02-25 21:35:00,1.6,1.63,1.6,1.63,2975
2025-02-25 21:36:00,1.64,1.64,1.4,1.41,1853
2025-02-25 21:37:00,1.41,1.52,1.41,1.5,1806
2025-02-25 21:38:00,1.66,1.66,1.66,1.66,159
2025-02-25 21:39:00,1.79,1.79,1.68,1.68,797
2025-02-25 21:40:00,1.7,1.85,1.7,1.85,705
2025-02-25 21:42:00,1.79,1.79,1.67,1.67,2204
2025-02-25 21:43:00,1.72,1.72,1.7,1.7,1535
2025-02-25 21:44:00,1.6,1.6,1.55,1.56,1189
2025-02-25 21:46:00,1.59,1.76,1.58,1.76,2660
2025-02-25 21:48:00,1.66,1.66,1.66,1.66,145
2025-02-25 21:49:00,1.61,1.79,1.61,1.79,1202
2025-02-25 21:50:00,1.71,1.76,1.64,1.64,513
2025-02-25 21:58:00,1.61,1.79,1.61,1.73,2265
2025-02-25 21:59:00,1.77,1.79,1.69,1.7,2083
