Date,Open,High,Low,Close,Volume
2025-02-25 15:07:00,3.15,3.15,3.15,3.15,998
2025-02-25 15:10:00,3.3,3.4,3.3,3.4,2689
2025-02-25 15:11:00,3.4,3.4,3.33,3.33,1079
2025-02-25 15:13:00,3.34,3.38,3.34,3.37,623
2025-02-25 15:14:00,3.38,3.38,3.3,3.38,597
2025-02-25 15:15:00,3.22,3.22,3.22,3.22,314
2025-02-25 15:16:00,3.38,3.38,3.38,3.38,107
2025-02-25 15:18:00,3.37,3.38,3.37,3.38,2623
2025-02-25 15:19:00,3.31,3.31,3.31,3.31,393
2025-02-25 15:23:00,3.38,3.38,3.38,3.38,700
2025-02-25 15:25:00,3.25,3.25,3.25,3.25,575
2025-02-25 15:27:00,3.37,3.37,3.37,3.37,547
2025-02-25 15:28:00,3.35,3.48,3.35,3.47,3557
2025-02-25 15:29:00,3.47,3.48,3.47,3.47,1058
2025-02-25 15:30:00,3.41,3.5,3.4,3.5,9658
2025-02-25 15:31:00,3.49,3.56,3.45,3.56,29059
2025-02-25 15:32:00,3.55,3.65,3.46,3.55,18734
2025-02-25 15:33:00,3.54,3.74,3.54,3.55,14952
2025-02-25 15:34:00,3.55,3.6,3.41,3.48,15622
2025-02-25 15:35:00,3.48,3.48,3.44,3.44,1929
2025-02-25 15:36:00,3.44,3.58,3.44,3.45,2115
2025-02-25 15:37:00,3.57,3.57,3.57,3.57,350
2025-02-25 15:38:00,3.46,3.52,3.45,3.45,2325
2025-02-25 15:39:00,3.5,3.5,3.5,3.5,1018
2025-02-25 15:40:00,3.46,3.46,3.45,3.45,297
2025-02-25 15:41:00,3.45,3.45,3.4,3.4,6212
2025-02-25 15:42:00,3.55,3.55,3.55,3.55,260
2025-02-25 15:43:00,3.41,3.44,3.41,3.44,450
2025-02-25 15:44:00,3.59,3.59,3.5,3.5,3957
2025-02-25 15:45:00,3.5,3.5,3.44,3.44,822
2025-02-25 15:46:00,3.57,3.57,3.45,3.45,1980
2025-02-25 15:47:00,3.45,3.46,3.45,3.46,443
2025-02-25 15:48:00,3.52,3.52,3.45,3.45,433
2025-02-25 15:49:00,3.59,3.59,3.46,3.46,1993
2025-02-25 15:50:00,3.46,3.46,3.46,3.46,201
2025-02-25 15:51:00,3.46,3.46,3.46,3.46,106
2025-02-25 15:52:00,3.45,3.45,3.44,3.44,4060
2025-02-25 15:53:00,3.48,3.48,3.48,3.48,372
2025-02-25 15:54:00,3.4,3.41,3.4,3.41,505
2025-02-25 15:55:00,3.4,3.4,3.4,3.4,3034
2025-02-25 15:56:00,3.4,3.4,3.4,3.4,227
2025-02-25 15:57:00,3.41,3.41,3.25,3.25,11178
2025-02-25 15:58:00,3.27,3.27,3.26,3.26,1049
2025-02-25 15:59:00,3.26,3.26,3.26,3.26,261
2025-02-25 16:00:00,3.32,3.32,3.32,3.32,443
2025-02-25 16:02:00,3.27,3.27,3.27,3.27,600
2025-02-25 16:03:00,3.32,3.32,3.32,3.32,100
2025-02-25 16:04:00,3.27,3.27,3.26,3.26,433
2025-02-25 16:05:00,3.25,3.25,3.25,3.25,677
2025-02-25 16:08:00,3.2,3.32,3.17,3.2,2639
2025-02-25 16:09:00,3.27,3.27,3.26,3.26,489
2025-02-25 16:10:00,3.41,3.41,3.33,3.41,2170
2025-02-25 16:11:00,3.41,3.41,3.31,3.31,2559
2025-02-25 16:12:00,3.3,3.41,3.21,3.41,1904
2025-02-25 16:14:00,3.32,3.32,3.32,3.32,105
2025-02-25 16:15:00,3.36,3.44,3.27,3.44,3059
2025-02-25 16:16:00,3.43,3.48,3.43,3.48,1238
2025-02-25 16:17:00,3.52,3.52,3.41,3.41,1342
2025-02-25 16:18:00,3.47,3.49,3.4,3.49,867
2025-02-25 16:19:00,3.5,3.5,3.4,3.41,2048
2025-02-25 16:20:00,3.41,3.41,3.41,3.41,1210
2025-02-25 16:21:00,3.4,3.41,3.4,3.4,2030
2025-02-25 16:22:00,3.41,3.47,3.41,3.47,3134
2025-02-25 16:23:00,3.45,3.45,3.38,3.38,1476
2025-02-25 16:24:00,3.37,3.37,3.37,3.37,101
2025-02-25 16:28:00,3.43,3.43,3.36,3.36,978
2025-02-25 16:30:00,3.36,3.36,3.36,3.36,115
2025-02-25 16:34:00,3.43,3.43,3.43,3.43,111
2025-02-25 16:35:00,3.37,3.37,3.31,3.31,366
2025-02-25 16:41:00,3.34,3.41,3.34,3.4,928
2025-02-25 16:42:00,3.36,3.41,3.36,3.41,662
2025-02-25 16:43:00,3.37,3.4,3.37,3.4,1256
2025-02-25 16:45:00,3.4,3.4,3.39,3.39,2050
2025-02-25 16:46:00,3.4,3.4,3.4,3.4,250
2025-02-25 16:48:00,3.38,3.42,3.37,3.42,3337
2025-02-25 16:49:00,3.42,3.42,3.42,3.42,150
2025-02-25 16:50:00,3.41,3.41,3.3,3.3,1500
2025-02-25 16:51:00,3.42,3.42,3.42,3.42,150
2025-02-25 16:55:00,3.3,3.39,3.3,3.39,3514
2025-02-25 16:57:00,3.34,3.34,3.34,3.34,2000
2025-02-25 16:58:00,3.3,3.3,3.3,3.3,251
2025-02-25 17:00:00,3.34,3.34,3.34,3.34,138
2025-02-25 17:02:00,3.34,3.34,3.34,3.34,156
2025-02-25 17:14:00,3.38,3.38,3.36,3.38,5991
2025-02-25 17:15:00,3.39,3.39,3.39,3.39,705
2025-02-25 17:16:00,3.39,3.4,3.38,3.4,1068
2025-02-25 17:25:00,3.36,3.36,3.36,3.36,149
2025-02-25 17:28:00,3.36,3.36,3.36,3.36,202
2025-02-25 17:32:00,3.42,3.42,3.42,3.42,301
2025-02-25 17:35:00,3.38,3.38,3.35,3.35,1003
2025-02-25 17:37:00,3.38,3.38,3.38,3.38,501
2025-02-25 17:39:00,3.4,3.4,3.36,3.36,1000
2025-02-25 17:40:00,3.35,3.35,3.35,3.35,477
2025-02-25 17:41:00,3.34,3.34,3.34,3.34,100
2025-02-25 17:50:00,3.36,3.36,3.36,3.36,703
2025-02-25 17:54:00,3.31,3.31,3.3,3.3,452
2025-02-25 17:57:00,3.32,3.32,3.32,3.32,623
2025-02-25 17:58:00,3.31,3.31,3.31,3.31,250
2025-02-25 17:59:00,3.33,3.33,3.33,3.33,245
2025-02-25 18:05:00,3.31,3.31,3.31,3.31,2288
2025-02-25 18:12:00,3.35,3.35,3.35,3.35,1000
2025-02-25 18:13:00,3.37,3.37,3.37,3.37,1028
2025-02-25 18:16:00,3.37,3.37,3.37,3.37,173
2025-02-25 18:18:00,3.3,3.3,3.3,3.3,1429
2025-02-25 18:19:00,3.34,3.35,3.34,3.35,270
2025-02-25 18:23:00,3.3,3.3,3.3,3.3,200
2025-02-25 18:24:00,3.3,3.3,3.3,3.3,240
2025-02-25 18:30:00,3.33,3.33,3.33,3.33,1000
2025-02-25 18:34:00,3.3,3.3,3.3,3.3,1542
2025-02-25 18:44:00,3.29,3.29,3.29,3.29,170
2025-02-25 18:47:00,3.29,3.29,3.29,3.29,4000
2025-02-25 18:48:00,3.32,3.32,3.3,3.3,1153
2025-02-25 18:49:00,3.3,3.3,3.3,3.3,447
2025-02-25 18:51:00,3.3,3.3,3.3,3.3,346
2025-02-25 18:55:00,3.31,3.31,3.31,3.31,175
2025-02-25 18:58:00,3.3,3.3,3.3,3.3,200
2025-02-25 19:01:00,3.31,3.31,3.31,3.31,100
2025-02-25 19:07:00,3.32,3.32,3.32,3.32,1201
2025-02-25 19:12:00,3.34,3.34,3.34,3.34,990
2025-02-25 19:20:00,3.3,3.3,3.3,3.3,394
2025-02-25 19:31:00,3.31,3.31,3.31,3.31,100
2025-02-25 19:34:00,3.3,3.3,3.3,3.3,100
2025-02-25 19:36:00,3.3,3.32,3.3,3.3,301
2025-02-25 19:59:00,3.29,3.29,3.29,3.29,2777
2025-02-25 20:02:00,3.31,3.31,3.3,3.3,3030
2025-02-25 20:05:00,3.29,3.29,3.29,3.29,303
2025-02-25 20:11:00,3.3,3.31,3.28,3.28,2385
2025-02-25 20:18:00,3.28,3.28,3.28,3.28,189
2025-02-25 20:24:00,3.3,3.3,3.3,3.3,1062
2025-02-25 20:26:00,3.3,3.3,3.3,3.3,308
2025-02-25 20:33:00,3.3,3.3,3.3,3.3,200
2025-02-25 20:34:00,3.3,3.3,3.3,3.3,200
2025-02-25 20:39:00,3.3,3.3,3.3,3.3,100
2025-02-25 21:15:00,3.29,3.3,3.28,3.28,7221
2025-02-25 21:17:00,3.28,3.28,3.28,3.28,165
2025-02-25 21:19:00,3.28,3.28,3.28,3.28,220
2025-02-25 21:20:00,3.28,3.3,3.28,3.28,1217
2025-02-25 21:21:00,3.28,3.28,3.28,3.28,227
2025-02-25 21:23:00,3.28,3.28,3.28,3.28,139
2025-02-25 21:26:00,3.27,3.28,3.27,3.28,1536
2025-02-25 21:31:00,3.3,3.3,3.3,3.3,987
2025-02-25 21:33:00,3.3,3.32,3.29,3.3,4790
2025-02-25 21:37:00,3.31,3.31,3.31,3.31,215
2025-02-25 21:40:00,3.32,3.32,3.32,3.32,501
2025-02-25 21:41:00,3.32,3.32,3.32,3.32,403
2025-02-25 21:42:00,3.3,3.31,3.26,3.3,3249
2025-02-25 21:44:00,3.28,3.28,3.28,3.28,215
2025-02-25 21:49:00,3.26,3.26,3.26,3.26,310
2025-02-25 21:50:00,3.25,3.25,3.25,3.25,1421
2025-02-25 21:54:00,3.27,3.29,3.25,3.26,2244
2025-02-25 21:55:00,3.25,3.27,3.25,3.27,3075
2025-02-25 21:56:00,3.25,3.25,3.25,3.25,436
2025-02-25 21:58:00,3.28,3.28,3.26,3.26,988
2025-02-25 21:59:00,3.25,3.29,3.25,3.29,2023
2025-02-25 22:40:00,3.1,3.11,3.1,3.11,300
2025-02-25 22:43:00,3.11,3.11,3.11,3.11,100
2025-02-25 22:53:00,3.11,3.11,3.11,3.11,200
2025-02-25 23:55:00,3.26,3.26,3.26,3.26,198
2025-02-26 01:23:00,3.2,3.2,3.2,3.2,100
2025-02-26 01:24:00,3.2,3.2,3.2,3.2,300
