Date,Open,High,Low,Close,Volume
2025-02-25 10:11:00,0.34,0.34,0.34,0.34,100
2025-02-25 10:19:00,0.34,0.34,0.34,0.34,210
2025-02-25 10:27:00,0.36,0.36,0.36,0.36,150
2025-02-25 10:50:00,0.34,0.34,0.34,0.34,200
2025-02-25 11:52:00,0.34,0.34,0.34,0.34,160
2025-02-25 13:15:00,0.34,0.34,0.34,0.34,150
2025-02-25 14:12:00,0.34,0.34,0.34,0.34,150
2025-02-25 14:13:00,0.34,0.34,0.34,0.34,1185
2025-02-25 14:46:00,0.34,0.34,0.31,0.31,46715
2025-02-25 14:52:00,0.31,0.31,0.31,0.31,1000
2025-02-25 15:08:00,0.32,0.32,0.32,0.32,988
2025-02-25 15:19:00,0.32,0.32,0.32,0.32,100
2025-02-25 15:29:00,0.32,0.32,0.32,0.32,102
2025-02-25 15:30:00,0.32,0.32,0.32,0.32,8921
2025-02-25 15:33:00,0.33,0.33,0.33,0.33,100
2025-02-25 15:35:00,0.33,0.33,0.33,0.33,400
2025-02-25 15:39:00,0.33,0.33,0.33,0.33,200
2025-02-25 15:42:00,0.33,0.33,0.32,0.33,5099
2025-02-25 15:44:00,0.32,0.33,0.32,0.32,2450
2025-02-25 15:47:00,0.32,0.32,0.32,0.32,3500
2025-02-25 15:51:00,0.32,0.32,0.32,0.32,250
2025-02-25 15:55:00,0.32,0.32,0.32,0.32,3533
2025-02-25 15:56:00,0.32,0.32,0.32,0.32,31259
2025-02-25 15:58:00,0.32,0.32,0.32,0.32,7400
2025-02-25 16:01:00,0.32,0.32,0.32,0.32,500
2025-02-25 16:07:00,0.32,0.32,0.32,0.32,100
2025-02-25 16:08:00,0.32,0.32,0.32,0.32,100
2025-02-25 16:10:00,0.32,0.32,0.32,0.32,1000
2025-02-25 16:13:00,0.32,0.32,0.32,0.32,2000
2025-02-25 16:16:00,0.32,0.32,0.32,0.32,965
2025-02-25 16:18:00,0.32,0.32,0.32,0.32,1145
2025-02-25 16:22:00,0.32,0.32,0.32,0.32,2413
2025-02-25 16:23:00,0.32,0.32,0.32,0.32,200
2025-02-25 16:29:00,0.32,0.32,0.32,0.32,2359
2025-02-25 16:42:00,0.32,0.32,0.32,0.32,204
2025-02-25 16:53:00,0.32,0.32,0.32,0.32,100
2025-02-25 17:01:00,0.32,0.32,0.32,0.32,100
2025-02-25 17:11:00,0.32,0.32,0.31,0.32,44583
2025-02-25 17:12:00,0.32,0.32,0.31,0.31,7202
2025-02-25 17:13:00,0.32,0.32,0.32,0.32,101
2025-02-25 17:15:00,0.32,0.32,0.32,0.32,2555
2025-02-25 17:19:00,0.32,0.32,0.32,0.32,5000
2025-02-25 17:29:00,0.32,0.32,0.32,0.32,100
2025-02-25 17:33:00,0.32,0.32,0.32,0.32,700
2025-02-25 17:39:00,0.32,0.32,0.32,0.32,1211
2025-02-25 17:42:00,0.32,0.32,0.32,0.32,251
2025-02-25 17:47:00,0.32,0.32,0.32,0.32,200
2025-02-25 17:54:00,0.32,0.32,0.32,0.32,100
2025-02-25 17:57:00,0.32,0.32,0.32,0.32,100
2025-02-25 18:02:00,0.32,0.32,0.32,0.32,250
2025-02-25 18:06:00,0.32,0.32,0.32,0.32,100
2025-02-25 18:10:00,0.32,0.32,0.32,0.32,2000
2025-02-25 18:22:00,0.32,0.32,0.32,0.32,100
2025-02-25 18:46:00,0.32,0.32,0.32,0.32,100
2025-02-25 18:51:00,0.32,0.32,0.32,0.32,100
2025-02-25 19:19:00,0.32,0.32,0.32,0.32,100
2025-02-25 19:23:00,0.32,0.32,0.32,0.32,100
2025-02-25 19:26:00,0.32,0.32,0.32,0.32,603
2025-02-25 19:34:00,0.32,0.32,0.32,0.32,100
2025-02-25 20:14:00,0.32,0.32,0.32,0.32,100
2025-02-25 20:15:00,0.32,0.32,0.32,0.32,100
2025-02-25 20:27:00,0.32,0.32,0.32,0.32,200
2025-02-25 20:30:00,0.32,0.32,0.32,0.32,200
2025-02-25 20:33:00,0.32,0.32,0.32,0.32,2500
2025-02-25 20:39:00,0.32,0.32,0.32,0.32,100
2025-02-25 20:56:00,0.32,0.32,0.32,0.32,181
2025-02-25 21:08:00,0.32,0.32,0.31,0.31,1106
2025-02-25 21:21:00,0.32,0.32,0.32,0.32,177
2025-02-25 21:23:00,0.31,0.32,0.31,0.32,200
2025-02-25 21:26:00,0.31,0.31,0.31,0.31,804
2025-02-25 21:27:00,0.31,0.31,0.31,0.31,300
2025-02-25 21:51:00,0.31,0.31,0.31,0.31,261
2025-02-25 22:51:00,0.31,0.31,0.31,0.31,129
2025-02-25 23:52:00,0.32,0.33,0.32,0.33,200
2025-02-26 00:01:00,0.33,0.33,0.33,0.33,1950
2025-02-26 00:02:00,0.33,0.33,0.33,0.33,949
2025-02-26 00:14:00,0.35,0.35,0.35,0.35,100
2025-02-26 00:15:00,0.34,0.34,0.34,0.34,100
